,timestamp,open,high,low,close,volume
0,2022-04-12,107.13,108.47,105.06,105.8,643598
1,2022-04-11,106.31,107.79,106.21,106.52,570278
2,2022-04-08,108.32,108.38,106.005,106.7,672968
3,2022-04-07,106.11,109.06,106.0,108.45,1006873
4,2022-04-06,108.47,109.14,106.47,106.97,1026631
5,2022-04-05,110.71,111.77,109.68,110.13,459992
6,2022-04-04,111.28,111.72,109.72,111.3,389941
7,2022-04-01,110.79,111.69,109.05,111.52,602745
8,2022-03-31,112.95,113.15,109.76,109.78,814299
9,2022-03-30,114.58,115.87,112.85,113.35,742835
10,2022-03-29,115.01,115.72,113.29,115.05,704423
11,2022-03-28,112.0,113.76,111.51,113.48,432860
12,2022-03-25,112.63,112.78,111.19,112.3,511082
13,2022-03-24,113.62,113.62,111.68,112.59,607612
14,2022-03-23,116.9,116.9,112.94,113.19,501920
15,2022-03-22,117.44,118.19,116.9,117.47,488961
16,2022-03-21,117.63,118.93,116.09,117.25,597824
17,2022-03-18,117.83,118.38,116.15,118.14,873422
18,2022-03-17,115.51,118.67,114.785,117.79,575270
19,2022-03-16,115.27,117.71,114.15,116.44,633394
20,2022-03-15,112.35,114.929,111.94,114.47,611490
21,2022-03-14,112.15,113.625,110.01,111.95,629897
22,2022-03-11,113.77,113.985,111.28,111.31,432817
23,2022-03-10,113.08,114.285,111.81,112.9,526367
24,2022-03-09,113.37,116.17,113.37,114.54,652728
25,2022-03-08,115.25,116.73,111.33,111.43,1080121
26,2022-03-07,117.47,118.59,114.72,114.73,853663
27,2022-03-04,116.49,117.96,116.15,117.29,1045555
28,2022-03-03,118.53,119.26,117.54,117.71,1074763
29,2022-03-02,115.86,118.4,115.23,117.37,772786
30,2022-03-01,113.98,115.87,112.13,114.63,926495
31,2022-02-28,114.35,115.12,112.87,114.52,995087
32,2022-02-25,111.78,115.35,111.32,115.1,754719
33,2022-02-24,107.41,111.93,106.829,111.7,1107963
34,2022-02-23,113.91,114.42,109.0,109.56,997097
35,2022-02-22,113.74,115.22,112.51,113.51,589694
36,2022-02-18,114.42,115.7,113.31,114.13,539739
37,2022-02-17,114.37,116.84,113.83,114.59,956239
38,2022-02-16,116.03,117.36,113.22,115.24,1991358
39,2022-02-15,113.6,120.125,113.6,117.09,1449038
40,2022-02-14,119.19,119.995,116.67,118.33,727467
41,2022-02-11,120.87,122.19,117.98,118.87,570208
42,2022-02-10,122.66,123.68,120.03,120.69,854760
43,2022-02-09,123.65,125.39,122.51,125.18,970374
44,2022-02-08,120.72,122.545,119.99,121.72,497217
45,2022-02-07,120.24,122.31,119.25,120.46,1114556
46,2022-02-04,116.14,120.0,115.59,119.25,1293857
47,2022-02-03,119.31,120.16,115.885,116.11,1116248
48,2022-02-02,120.31,122.0,119.08,120.18,729872
49,2022-02-01,122.63,123.565,118.97,120.0,720583
50,2022-01-31,120.36,122.86,119.77,122.73,649065
51,2022-01-28,119.78,121.26,117.68,121.21,765107
52,2022-01-27,121.7,123.365,119.3449,120.51,700290
53,2022-01-26,121.49,124.28,119.67,120.39,955664
54,2022-01-25,121.19,121.93,118.75,120.68,688162
55,2022-01-24,119.23,124.04,118.3,123.55,1124085
56,2022-01-21,120.9,122.62,119.65,121.28,629480
57,2022-01-20,123.26,124.66,120.58,120.75,591899
58,2022-01-19,124.35,125.21,122.74,122.93,577658
59,2022-01-18,123.25,124.52,122.12,123.89,635453
60,2022-01-14,124.56,125.61,121.775,124.46,658313
61,2022-01-13,128.13,129.93,125.86,126.12,449799
62,2022-01-12,128.41,129.365,127.12,127.58,531024
