,timestamp,open,high,low,close,volume
0,2022-04-12,176.57,179.25,174.7101,175.54,4348860
1,2022-04-11,181.06,182.44,177.25,177.57,4816967
2,2022-04-08,183.0,186.72,181.93,183.7,3075707
3,2022-04-07,181.52,183.265,179.11,182.39,4062440
4,2022-04-06,184.49,184.87,181.73,183.71,3143308
5,2022-04-05,187.49,190.84,184.8,185.4,2973162
6,2022-04-04,187.62,188.5,185.59,187.66,2971519
7,2022-04-01,188.2,189.4158,186.28,187.17,2646976
8,2022-03-31,189.53,191.1087,186.94,187.0,3801799
9,2022-03-30,191.39,192.1,188.4,189.76,2278190
10,2022-03-29,192.33,194.0,190.36,190.94,2764127
11,2022-03-28,189.95,189.95,186.29,189.7,3043718
12,2022-03-25,190.41,191.26,189.0,190.28,1853855
13,2022-03-24,186.61,189.37,185.7,188.89,2424574
14,2022-03-23,188.83,189.62,185.18,186.02,3664595
15,2022-03-22,190.5,194.35,190.06,191.33,2935827
16,2022-03-21,190.77,191.5,187.56,189.09,3149290
17,2022-03-18,188.69,191.0,184.84,190.72,8673962
18,2022-03-17,180.18,187.71,180.06,186.97,6398861
19,2022-03-16,179.18,182.76,176.3,180.61,5239264
20,2022-03-15,173.59,178.295,173.37,176.04,3827346
21,2022-03-14,171.33,174.71,169.71,172.79,4614621
22,2022-03-11,171.75,172.31,167.63,167.9,3000007
23,2022-03-10,165.59,170.96,164.83,169.6,3841129
24,2022-03-09,168.02,170.73,166.71,168.65,4788406
25,2022-03-08,160.52,166.29,155.72,160.05,7058862
26,2022-03-07,170.13,170.755,159.08,159.13,7760413
27,2022-03-04,176.62,176.83,170.8205,172.95,5349824
28,2022-03-03,182.11,183.45,178.73,179.89,3339910
29,2022-03-02,179.79,182.24,178.1,180.31,4058834
30,2022-03-01,194.67,194.77,176.77,178.06,8562503
31,2022-02-28,189.63,195.13,189.23,194.54,5787757
32,2022-02-25,189.66,194.25,189.46,193.71,5426163
33,2022-02-24,180.47,188.5,179.05,188.35,5886604
34,2022-02-23,194.35,194.45,188.55,188.95,3562094
35,2022-02-22,195.18,196.15,191.75,192.44,3361897
36,2022-02-18,194.92,197.75,194.2,194.88,2806269
37,2022-02-17,195.63,197.38,194.27,195.71,3051685
38,2022-02-16,197.5,199.55,197.24,198.38,4122642
39,2022-02-15,194.65,198.36,194.18,197.98,4135150
40,2022-02-14,192.26,194.15,190.92,192.35,3841257
41,2022-02-11,195.43,197.2,190.45,191.81,4834921
42,2022-02-10,196.36,198.23,194.61,195.51,4511139
43,2022-02-09,194.3,198.72,194.3,196.4,4614173
44,2022-02-08,188.08,194.53,187.61,194.0,5133918
45,2022-02-07,185.63,188.91,184.75,187.87,3260818
46,2022-02-04,184.91,188.68,184.18,185.85,4075775
47,2022-02-03,184.8,185.8,182.3201,184.04,3381027
48,2022-02-02,182.51,184.58,181.64,184.16,2841396
49,2022-02-01,179.92,184.04,179.0,183.54,3471202
50,2022-01-31,175.91,180.13,175.22,179.82,5524258
51,2022-01-28,171.76,177.21,169.77,177.06,4271532
52,2022-01-27,176.7,178.2,170.63,171.9,3651426
53,2022-01-26,176.95,179.2247,173.03,175.32,8257282
54,2022-01-25,166.14,174.4696,159.66,173.11,13320820
55,2022-01-24,155.82,159.45,152.85,158.93,5406501
56,2022-01-21,159.95,161.8799,157.68,158.74,3779077
57,2022-01-20,161.12,164.57,159.462,160.92,4205598
58,2022-01-19,166.73,166.73,161.17,161.39,3547440
59,2022-01-18,167.91,168.94,164.84,166.17,4111163
60,2022-01-14,168.71,168.71,164.71,168.4,6508504
61,2022-01-13,174.92,176.375,172.85,173.29,3808846
62,2022-01-12,176.23,176.82,174.17,174.47,3224454
63,2022-01-11,174.54,175.72,172.49,175.38,2756586
64,2022-01-10,176.21,176.21,170.5,173.74,4269577
65,2022-01-07,172.49,175.36,171.8601,174.38,3043017
66,2022-01-06,172.54,173.69,169.75,172.9,2649471
67,2022-01-05,174.71,176.31,171.5,171.76,4491937
68,2022-01-04,169.72,174.05,169.6,173.61,4799729
69,2022-01-03,164.51,168.4,164.4,168.21,3126302
70,2021-12-31,164.1,165.17,163.25,163.6,1715404
71,2021-12-30,164.62,165.8,164.0,164.16,1633032
72,2021-12-29,164.62,164.93,163.26,163.83,2082161
73,2021-12-28,163.6,166.13,163.6,164.41,2035328
74,2021-12-27,165.0,165.0,162.5301,164.39,1688149
75,2021-12-23,163.86,166.3963,163.59,164.19,3140482
76,2021-12-22,160.53,163.17,160.45,162.47,2877654
77,2021-12-21,157.75,161.05,157.5201,160.91,3722732
78,2021-12-20,157.0,158.21,153.78,155.89,3839553
79,2021-12-17,161.0,161.315,156.95,160.01,9581837
80,2021-12-16,164.0,165.18,161.9,163.0,4900140
81,2021-12-15,162.71,163.05,158.53,162.24,5012982
82,2021-12-14,162.14,165.26,161.06,162.85,2964201
83,2021-12-13,166.4,166.4,161.9937,163.3,3477606
84,2021-12-10,169.38,170.58,165.96,167.03,2768512
85,2021-12-09,167.85,168.8299,166.55,168.02,2245342
86,2021-12-08,167.98,170.54,167.28,168.93,4042446
87,2021-12-07,164.5,169.16,164.16,166.95,5124476
88,2021-12-06,159.07,162.74,158.05,160.68,4141873
89,2021-12-03,158.08,158.33,153.63,155.94,4069252
90,2021-12-02,151.68,157.91,151.46,156.77,6289250
91,2021-12-01,156.1,157.07,149.89,150.06,6159348
92,2021-11-30,155.09,155.87,151.7,152.3,7444938
93,2021-11-29,160.75,161.41,154.3401,157.86,6258548
94,2021-11-26,165.09,165.24,154.495,156.82,6804152
95,2021-11-24,168.48,171.98,167.9,171.61,3590757
96,2021-11-23,171.3,171.95,167.83,170.85,5890532
97,2021-11-22,174.99,175.25,170.89,170.9,4653291
98,2021-11-19,173.73,175.265,171.84,173.54,4456843
99,2021-11-18,180.0,180.37,175.84,176.21,4015517
100,2021-11-17,181.18,181.74,178.2,179.61,3543517
101,2021-11-16,183.4,183.4,179.74,180.92,3299192
