,timestamp,open,high,low,close,volume
0,2022-04-12,78.2,79.565,77.95,78.07,3045059
1,2022-04-11,80.0,80.58,78.6,78.77,3590804
2,2022-04-08,77.85,80.31,77.85,80.0,4260863
3,2022-04-07,76.63,78.263,76.55,78.01,2976352
4,2022-04-06,76.04,77.09,75.78,77.0,3513175
5,2022-04-05,75.32,78.0,75.32,76.49,4251711
6,2022-04-04,76.15,77.02,75.42,75.47,5406794
7,2022-04-01,77.68,78.62,76.94,78.58,3183359
8,2022-03-31,79.05,79.68,77.19,77.54,4662151
9,2022-03-30,79.62,80.04,78.595,79.38,2861093
10,2022-03-29,79.65,80.72,78.92,79.51,6771044
11,2022-03-28,77.35,78.93,76.75,78.92,3536719
12,2022-03-25,77.6,78.33,76.76,77.21,2980602
13,2022-03-24,77.375,78.0,76.86,77.68,7617417
14,2022-03-23,78.03,78.11,76.92,77.07,4620611
15,2022-03-22,79.26,79.27,78.01,78.01,4162354
16,2022-03-21,79.01,79.923,78.85,79.05,2976081
17,2022-03-18,79.52,79.63,77.785,79.12,3760384
18,2022-03-17,78.7,79.595,77.97,79.44,2662884
19,2022-03-16,79.14,79.7,77.98,78.96,2288898
20,2022-03-15,78.59,78.935,77.95,78.67,1720681
21,2022-03-14,77.45,78.81,77.2,77.99,2452711
22,2022-03-11,79.42,79.42,76.67,76.85,3832975
23,2022-03-10,78.86,79.56,77.69,78.98,2751018
24,2022-03-09,81.33,81.76,79.26,79.74,3453652
25,2022-03-08,84.52,84.63,80.44,80.45,3159821
26,2022-03-07,85.62,85.62,83.82,84.98,3204688
27,2022-03-04,84.14,86.15,84.1,86.02,1984036
28,2022-03-03,85.47,85.93,84.91,85.19,1540465
29,2022-03-02,84.55,86.18,84.37,85.23,2454158
30,2022-03-01,84.82,85.7996,83.48,84.14,2961677
31,2022-02-28,85.25,86.44,84.375,84.97,4376194
32,2022-02-25,84.76,86.96,84.47,86.26,3174161
33,2022-02-24,84.92,85.09,83.41,84.65,5266910
34,2022-02-23,84.51,86.09,84.19,85.74,3153246
35,2022-02-22,82.5,84.76,81.94,84.46,3851718
36,2022-02-18,82.39,83.14,81.18,82.35,5028951
37,2022-02-17,80.8,83.79,79.56,82.8,5189271
38,2022-02-16,85.27,85.39,83.8,85.13,2879709
39,2022-02-15,86.23,86.62,85.26,85.59,1705849
40,2022-02-14,85.59,85.81,84.33,85.45,2384860
41,2022-02-11,87.35,87.68,85.82,85.91,3490011
42,2022-02-10,88.9,89.24,87.57,87.75,3295114
43,2022-02-09,88.84,89.7,88.6,89.45,2887942
44,2022-02-08,86.87,88.45,86.76,88.41,4744306
45,2022-02-07,86.98,87.325,86.06,86.87,2676230
46,2022-02-04,85.66,87.25,85.1,86.71,3673162
47,2022-02-03,85.44,86.21,84.96,86.1,4585098
48,2022-02-02,84.56,85.67,83.97,85.55,3203511
49,2022-02-01,85.59,85.59,83.79,84.93,3340717
50,2022-01-31,85.29,85.55,84.41,85.44,2568460
51,2022-01-28,84.93,85.35,83.17,85.29,2588553
52,2022-01-27,84.61,86.19,84.06,84.63,2665391
53,2022-01-26,84.79,85.54,83.93,84.27,3887964
54,2022-01-25,84.92,85.93,83.91,85.07,2697904
55,2022-01-24,85.19,86.05,84.03,85.96,3510623
56,2022-01-21,86.65,86.82,85.51,86.28,2348357
57,2022-01-20,85.76,87.565,85.71,85.99,2504881
58,2022-01-19,85.99,86.38,85.2,85.6,1826953
59,2022-01-18,85.59,86.33,85.18,85.86,2258469
60,2022-01-14,85.64,86.07,84.32,85.74,2246669
61,2022-01-13,86.36,86.7,85.47,85.89,2568416
62,2022-01-12,86.0,86.83,85.59,86.44,2169386
63,2022-01-11,86.29,86.58,84.81,86.36,2403327
64,2022-01-10,87.37,87.69,85.935,86.31,2912755
65,2022-01-07,87.31,88.005,87.13,87.45,1750609
66,2022-01-06,87.96,88.18,86.75,86.78,1507317
67,2022-01-05,88.01,88.91,87.75,87.86,2963841
68,2022-01-04,86.98,88.01,86.55,88.0,3346329
69,2022-01-03,85.52,86.93,85.19,86.87,1899802
70,2021-12-31,86.26,86.72,85.82,85.84,1770857
71,2021-12-30,87.41,87.51,86.37,86.45,1346611
72,2021-12-29,86.87,87.425,86.61,87.19,1280338
73,2021-12-28,86.63,87.1,86.405,86.75,1227801
74,2021-12-27,85.8,86.67,85.49,86.6,1220802
75,2021-12-23,85.55,86.08,85.33,85.55,2033694
76,2021-12-22,84.12,85.39,83.53,85.32,2301037
77,2021-12-21,82.75,84.36,82.6,83.87,2730972
78,2021-12-20,83.13,83.26,81.9,82.51,2631655
79,2021-12-17,84.35,85.085,83.24,83.63,4688054
80,2021-12-16,82.59,84.1,82.16,83.91,3076050
81,2021-12-15,82.77,83.18,81.54,82.7,2300468
82,2021-12-14,83.23,83.76,82.305,82.51,2662684
83,2021-12-13,80.97,83.77,80.42,83.2,3103761
84,2021-12-10,80.91,81.25,80.42,80.86,2131317
85,2021-12-09,80.47,81.27,79.825,80.56,1935455
86,2021-12-08,80.06,80.95,79.82,80.61,1886704
87,2021-12-07,79.52,80.94,79.44,79.88,2793589
88,2021-12-06,78.39,80.6,78.22,79.24,3046369
89,2021-12-03,76.65,78.14,76.46,78.05,2510353
90,2021-12-02,74.89,76.61,74.78,76.23,2726861
91,2021-12-01,74.85,76.61,74.52,75.08,2502412
92,2021-11-30,75.9,76.16,74.32,74.57,3440648
93,2021-11-29,76.32,76.975,75.99,76.03,2506632
94,2021-11-26,77.73,77.995,76.05,76.29,1281137
95,2021-11-24,78.43,78.74,77.4,77.62,1338775
96,2021-11-23,78.93,79.07,78.06,78.41,1707333
97,2021-11-22,79.4,79.93,78.79,79.25,1708040
98,2021-11-19,79.42,79.63,78.76,79.26,2381380
99,2021-11-18,80.0,80.03,79.09,79.11,2098959
100,2021-11-17,79.22,80.15,78.71,79.58,2249733
101,2021-11-16,79.32,79.95,79.19,79.31,1978075
102,2021-11-15,79.58,79.71,78.66,79.55,1609672
103,2021-11-12,79.57,79.71,79.01,79.46,1202240
104,2021-11-11,79.06,79.34,78.675,79.16,1776084
105,2021-11-10,77.79,79.57,77.79,79.02,2494438
106,2021-11-09,78.65,78.7,77.56,77.7,2348309
107,2021-11-08,78.32,79.09,77.82,78.74,1626382
108,2021-11-05,78.15,79.3,77.76,78.04,2606832
109,2021-11-04,80.09,80.23,77.845,78.31,2638885
110,2021-11-03,80.36,80.94,79.58,80.04,1648924
111,2021-11-02,80.17,80.82,79.34,80.29,2147028
112,2021-11-01,79.2,80.16,78.86,79.82,3371907
113,2021-10-29,78.11,79.41,77.56,78.96,7995514
