,timestamp,open,high,low,close,volume
0,2022-04-12,296.57,296.57,283.48,286.65,498785
1,2022-04-11,302.39,302.39,288.84,290.67,448436
2,2022-04-08,299.95,308.15,298.77,302.4,567417
3,2022-04-07,286.51,303.835,284.48,302.02,647444
4,2022-04-06,287.16,287.16,276.94,286.02,462772
5,2022-04-05,288.27,291.325,283.59,288.66,674518
6,2022-04-04,288.59,291.21,286.0,287.27,293620
7,2022-04-01,286.12,291.025,283.97,288.66,305583
8,2022-03-31,289.48,292.26,283.93,283.97,375591
9,2022-03-30,290.02,292.25,288.165,289.86,360465
10,2022-03-29,287.59,292.81,287.59,290.95,363745
11,2022-03-28,278.65,282.7,276.415,282.68,340242
12,2022-03-25,282.77,283.06,273.0,279.1,342247
13,2022-03-24,280.17,281.79,275.67,281.05,279548
14,2022-03-23,292.505,292.505,277.63,278.71,406876
15,2022-03-22,286.35,297.49,285.99,295.38,620185
16,2022-03-21,284.58,289.06,283.01,286.61,340933
17,2022-03-18,280.85,291.6,279.68,286.77,730954
18,2022-03-17,269.55,281.86,269.31,281.7,548099
19,2022-03-16,262.85,271.51,260.01,270.77,477217
20,2022-03-15,257.58,260.15,253.81,259.23,599898
21,2022-03-14,261.2,268.045,255.34,255.51,457301
22,2022-03-11,270.31,270.845,259.33,259.54,644245
23,2022-03-10,262.63,267.93,259.28,266.57,411299
24,2022-03-09,265.35,271.61,263.2671,268.49,671965
25,2022-03-08,266.65,266.65,251.3,256.66,841855
26,2022-03-07,280.96,280.96,261.82,266.47,812388
27,2022-03-04,283.05,285.51,274.88,278.0,549258
28,2022-03-03,290.25,290.25,281.05,284.15,531799
29,2022-03-02,286.05,289.82,283.78,286.99,693772
30,2022-03-01,288.83,292.75,282.46,284.44,542004
31,2022-02-28,293.16,293.93,285.33,291.16,640721
32,2022-02-25,287.53,296.16,286.04,296.16,486892
33,2022-02-24,277.12,291.94,276.33,290.03,602413
34,2022-02-23,292.75,296.126,283.182,283.57,1030720
35,2022-02-22,291.05,293.34,285.37,289.58,585982
36,2022-02-18,293.32,299.92,290.13,293.61,654501
37,2022-02-17,306.0,306.54,289.02,291.63,947662
38,2022-02-16,294.0,308.13,286.97,305.28,1286569
39,2022-02-15,333.18,334.63,307.68,312.63,1293474
40,2022-02-14,329.25,331.3,324.62,327.44,457977
41,2022-02-11,337.94,344.51,329.6939,330.96,374181
42,2022-02-10,338.87,348.5,336.66,339.6,265896
43,2022-02-09,342.49,349.84,342.49,346.96,272717
44,2022-02-08,331.4,341.82,331.4,337.05,416951
45,2022-02-07,336.48,340.7,333.71,334.77,228751
46,2022-02-04,335.0,337.995,330.55,335.65,368229
47,2022-02-03,337.2,342.485,335.45,337.05,308748
48,2022-02-02,336.05,346.79,334.18,343.08,463634
49,2022-02-01,331.99,337.02,327.33,335.49,300179
50,2022-01-31,322.9,329.99,322.87,329.76,402157
51,2022-01-28,312.83,321.96,308.12,321.73,281050
52,2022-01-27,315.59,319.435,312.08,312.24,443425
53,2022-01-26,322.42,324.36,308.5,310.88,444581
54,2022-01-25,323.18,323.92,315.13,317.85,444531
55,2022-01-24,321.54,330.77,307.35,330.09,480640
56,2022-01-21,334.94,335.05,324.03,324.66,381314
57,2022-01-20,339.75,345.3248,331.61,332.1,425681
58,2022-01-19,343.06,349.0,336.1422,336.68,383745
59,2022-01-18,349.06,350.58,337.26,340.23,437244
60,2022-01-14,349.7,356.34,347.1416,355.01,464132
61,2022-01-13,356.65,359.04,346.71,351.85,448731
62,2022-01-12,358.0,366.01,355.85,359.86,516365
63,2022-01-11,338.68,360.24,338.68,357.95,1002300
64,2022-01-10,323.85,334.52,319.2,334.11,489517
65,2022-01-07,333.63,338.74,328.515,328.68,549180
66,2022-01-06,334.01,339.57,330.17,333.94,585054
67,2022-01-05,347.59,348.06,333.77,335.32,544100
68,2022-01-04,358.06,360.0,340.99,347.77,601911
69,2022-01-03,376.61,376.78,356.775,362.11,433693
70,2021-12-31,374.32,379.65,374.32,376.78,287608
71,2021-12-30,373.59,379.08,373.59,375.88,163224
72,2021-12-29,372.62,375.2666,370.9998,373.42,136836
73,2021-12-28,377.0,377.0,367.06,371.96,224825
74,2021-12-27,371.18,376.1499,369.31,375.34,184699
75,2021-12-23,369.74,371.59,366.17,369.2,227697
76,2021-12-22,362.67,369.895,359.895,369.56,247177
77,2021-12-21,360.16,361.92,352.93,361.03,217724
78,2021-12-20,360.85,362.95,352.2723,358.16,360902
79,2021-12-17,359.51,367.41,355.77,362.95,600906
80,2021-12-16,363.59,368.0,358.84,360.88,327970
81,2021-12-15,354.75,362.93,350.845,362.92,301242
82,2021-12-14,357.22,358.11,347.74,353.56,402093
83,2021-12-13,358.43,365.47,357.125,361.03,321714
84,2021-12-10,356.71,365.05,356.46,357.74,251899
85,2021-12-09,366.05,369.25,356.5,357.05,420708
86,2021-12-08,367.15,371.05,363.18,365.96,297928
87,2021-12-07,357.53,367.595,356.985,366.75,317275
88,2021-12-06,357.32,358.09,348.0,351.38,381146
89,2021-12-03,368.32,368.65,353.36,357.38,314873
90,2021-12-02,360.0,370.8,356.341,365.96,363635
91,2021-12-01,365.71,373.305,359.31,361.15,485805
92,2021-11-30,375.97,378.62,365.06,365.87,411082
93,2021-11-29,378.35,381.12,374.34,375.31,211610
94,2021-11-26,379.43,385.105,374.13,375.28,192276
95,2021-11-24,367.33,377.84,362.79,377.51,383042
96,2021-11-23,370.83,374.2812,365.57,369.98,394741
97,2021-11-22,379.41,379.41,370.01,374.85,382971
98,2021-11-19,389.98,396.14,378.14,379.88,519425
99,2021-11-18,394.34,395.57,386.89,387.51,339034
100,2021-11-17,395.0,395.482,387.75,393.1,380174
101,2021-11-16,385.66,397.77,383.93,394.71,301275
102,2021-11-15,384.45,390.705,383.42,384.54,335162
103,2021-11-12,391.75,393.51,382.33,385.91,241563
