,timestamp,open,high,low,close,volume
0,2022-04-12,104.4,105.03,103.76,104.64,4127874
1,2022-04-11,106.36,107.73,104.17,104.45,6368583
2,2022-04-08,104.4,107.52,103.56,106.61,7756111
3,2022-04-07,101.96,103.99,101.27,103.61,5731750
4,2022-04-06,99.97,102.2868,99.69,102.06,6590236
5,2022-04-05,99.34,101.28,99.18,99.46,7057903
6,2022-04-04,100.49,100.54,98.66,100.0,6958888
7,2022-04-01,101.21,102.19,100.3,101.09,6344493
8,2022-03-31,102.0,102.77,101.18,101.21,8521110
9,2022-03-30,104.1,105.36,102.32,103.55,7971590
10,2022-03-29,106.79,107.29,103.91,104.68,8510748
11,2022-03-28,108.0,108.2499,106.9199,108.04,3774593
12,2022-03-25,107.75,108.865,107.3398,108.56,3763059
13,2022-03-24,106.4,108.07,106.06,108.05,3618148
14,2022-03-23,107.48,107.77,106.15,106.2,3182484
15,2022-03-22,108.0,108.2,106.33,107.23,3305237
16,2022-03-21,107.78,109.69,106.87,107.39,4665185
17,2022-03-18,108.5,108.62,106.55,107.3,6771085
18,2022-03-17,106.65,108.64,105.715,108.56,5583149
19,2022-03-16,107.0,107.3224,105.5,107.11,5183029
20,2022-03-15,105.0,107.4465,104.59,106.98,6845078
21,2022-03-14,103.93,104.59,101.09,104.49,5750436
22,2022-03-11,104.17,105.18,103.39,103.47,4799006
23,2022-03-10,103.1,104.26,102.57,104.08,3595063
24,2022-03-09,104.54,104.9338,102.37,103.6,4937009
25,2022-03-08,105.07,105.87,102.245,102.36,6801050
26,2022-03-07,104.49,106.8099,103.74,104.56,6424192
27,2022-03-04,102.71,105.28,102.0722,105.19,5347945
28,2022-03-03,104.49,105.705,103.48,104.54,5741927
29,2022-03-02,103.01,105.03,101.95,104.43,5031794
30,2022-03-01,103.21,103.5,100.9602,102.05,5643053
31,2022-02-28,101.29,103.73,101.29,103.65,6678141
32,2022-02-25,101.4,104.86,101.19,104.3,6573395
33,2022-02-24,100.26,100.95,98.46,100.77,7055518
34,2022-02-23,102.54,103.48,101.97,102.24,4947687
35,2022-02-22,102.16,102.78,101.03,101.92,4627127
36,2022-02-18,102.55,102.99,101.22,102.13,4850747
37,2022-02-17,103.65,103.94,102.06,102.3,4635556
38,2022-02-16,103.05,104.24,102.83,103.94,5624043
39,2022-02-15,103.86,104.52,102.53,102.97,4442985
40,2022-02-14,104.07,104.15,102.03,103.0,7663408
41,2022-02-11,105.49,106.14,104.0802,104.24,5923053
42,2022-02-10,104.6,106.64,104.46,105.32,8605711
43,2022-02-09,106.46,108.27,104.12,104.79,15269816
44,2022-02-08,108.89,111.25,108.88,110.83,7793373
45,2022-02-07,108.99,109.82,107.91,109.41,5450512
46,2022-02-04,107.58,109.52,107.15,108.49,5473000
47,2022-02-03,109.95,110.15,108.22,108.72,6612956
48,2022-02-02,105.82,109.07,105.63,108.9,8771778
49,2022-02-01,106.27,107.18,105.21,106.27,7040165
50,2022-01-31,108.22,108.5,105.4298,106.51,8540096
51,2022-01-28,106.675,109.34,106.16,109.27,10339518
52,2022-01-27,105.38,107.6097,105.0,106.79,12386028
53,2022-01-26,103.6,105.32,103.24,104.86,10827916
54,2022-01-25,102.47,103.41,100.9,103.1,7472319
55,2022-01-24,100.9,104.07,99.69,103.51,13770622
56,2022-01-21,102.93,103.42,101.0,101.56,7822766
57,2022-01-20,102.66,103.89,102.24,102.39,6694665
58,2022-01-19,104.95,105.76,103.4204,103.45,6631837
59,2022-01-18,105.8,106.14,104.0201,104.51,7944004
60,2022-01-14,105.71,106.47,105.03,106.22,6706664
61,2022-01-13,105.25,105.97,104.175,105.34,6511038
62,2022-01-12,105.47,106.45,105.09,105.78,4933767
63,2022-01-11,106.07,107.26,105.26,106.04,8392706
64,2022-01-10,104.21,105.22,103.19,105.06,6105477
65,2022-01-07,102.45,104.79,101.33,104.19,6862180
66,2022-01-06,105.37,105.735,102.41,102.59,9847594
67,2022-01-05,104.32,106.5,104.32,105.81,6957452
68,2022-01-04,104.45,105.44,103.8,104.29,6090020
69,2022-01-03,102.81,104.34,102.3,104.16,4951868
70,2021-12-31,103.48,103.76,103.13,103.16,3250650
71,2021-12-30,103.99,104.5599,103.4501,103.68,2484575
72,2021-12-29,103.1,103.84,103.03,103.7,2782690
73,2021-12-28,102.5,103.25,102.36,102.77,2732459
74,2021-12-27,101.76,102.42,101.5601,102.4,2597143
75,2021-12-23,101.07,101.87,101.07,101.31,3111211
76,2021-12-22,100.76,101.3199,100.03,100.9,4318370
77,2021-12-21,100.79,101.435,100.42,100.79,5040324
78,2021-12-20,99.91,100.47,98.64,100.32,5233155
79,2021-12-17,101.38,101.64,99.29,100.36,9412932
80,2021-12-16,100.52,102.2206,100.24,101.22,7360847
81,2021-12-15,98.78,100.64,98.3401,100.55,7052655
82,2021-12-14,99.47,100.97,98.63,98.78,6282749
83,2021-12-13,98.98,99.33,97.92,98.9,4986106
84,2021-12-10,97.7,99.1299,97.05,98.86,9217317
85,2021-12-09,94.85,97.7666,94.19,97.31,14096769
86,2021-12-08,93.33,94.285,92.49,93.1,5767935
87,2021-12-07,93.01,93.45,92.64,92.93,3965653
88,2021-12-06,91.63,93.44,91.59,92.65,6039358
89,2021-12-03,90.64,91.59,90.11,90.87,5660427
90,2021-12-02,89.13,91.18,88.81,89.99,5992663
91,2021-12-01,90.18,91.06,88.77,88.78,6224384
92,2021-11-30,91.27,91.66,88.91,89.06,9051659
93,2021-11-29,91.99,92.7184,91.0863,92.02,5215577
94,2021-11-26,91.47,92.25,90.9,91.52,4240998
95,2021-11-24,93.27,93.84,92.22,92.65,6109424
96,2021-11-23,93.11,94.45,92.2,93.64,6626536
97,2021-11-22,93.1,94.455,92.95,92.99,4335603
98,2021-11-19,95.06,95.06,92.32,93.16,6446434
99,2021-11-18,93.06,95.68,92.74,95.34,8621773
100,2021-11-17,92.63,93.0612,92.08,92.73,3878425
101,2021-11-16,93.93,94.17,92.82,92.89,4038623
102,2021-11-15,94.11,94.3,93.43,93.49,3602100
103,2021-11-12,94.58,95.34,93.35,94.02,3778048
104,2021-11-11,92.68,94.53,92.54,94.21,4273335
105,2021-11-10,93.29,94.4,92.4201,92.96,4966410
106,2021-11-09,93.88,93.97,92.56,92.76,4287602
107,2021-11-08,94.0,94.59,93.42,93.76,3982095
108,2021-11-05,94.68,95.88,93.0,93.78,7437309
109,2021-11-04,96.28,96.3,94.035,94.49,7417787
110,2021-11-03,92.51,96.57,92.2,96.34,16937994
111,2021-11-02,90.92,91.4505,90.18,91.15,6921124
112,2021-11-01,89.77,91.12,89.58,90.65,7591549
113,2021-10-29,88.27,89.53,88.06,89.28,5335605
114,2021-10-28,88.4,88.84,87.9,88.62,4394890
115,2021-10-27,88.53,88.78,87.7,88.09,5211497
116,2021-10-26,87.99,88.635,86.59,88.32,6215333
117,2021-10-25,87.72,88.0,87.02,87.68,5774073
118,2021-10-22,86.48,87.59,86.2443,87.52,5035902
119,2021-10-21,85.84,86.89,85.71,86.86,5347274
120,2021-10-20,85.1,86.83,85.0,86.55,5023253
121,2021-10-19,84.97,85.305,84.62,84.89,3833023
122,2021-10-18,85.75,85.75,84.115,84.48,4822106
123,2021-10-15,85.03,86.29,84.94,85.84,5449036
124,2021-10-14,84.34,85.45,82.92,84.56,7284590
125,2021-10-13,83.58,83.61,82.2,83.16,4262205
126,2021-10-12,84.27,84.67,83.56,83.79,2916173
127,2021-10-11,84.62,85.32,84.03,84.28,3283373
128,2021-10-08,84.5,84.74,83.86,84.37,2990686
129,2021-10-07,83.36,84.66,83.36,84.2,4261959
130,2021-10-06,83.0,83.45,81.78,83.15,5205254
131,2021-10-05,83.97,84.885,83.48,83.64,4848783
132,2021-10-04,84.0,85.47,83.11,83.81,4768064
133,2021-10-01,84.8,84.905,82.36,84.07,6888529
134,2021-09-30,87.1,87.53,84.79,84.86,6027184
135,2021-09-29,85.53,87.2516,85.44,86.79,4827012
136,2021-09-28,85.65,86.335,85.24,85.66,6257751
137,2021-09-27,84.51,86.44,84.51,85.74,5255081
138,2021-09-24,84.99,85.34,84.5,84.71,2888351
139,2021-09-23,84.14,85.62,83.87,84.86,3875823
140,2021-09-22,84.52,84.885,83.81,83.86,3919477
141,2021-09-21,84.95,85.62,83.84,83.93,5052923
142,2021-09-20,84.63,85.45,83.565,84.58,5336971
143,2021-09-17,84.99,85.83,84.8351,85.51,8733065
144,2021-09-16,85.98,86.33,84.57,85.35,4169153
145,2021-09-15,83.86,85.98,83.66,85.54,6352625
146,2021-09-14,85.05,85.07,83.675,83.89,3882746
147,2021-09-13,84.14,85.19,84.02,84.51,4495181
148,2021-09-10,85.8,85.81,83.36,83.79,6454390
149,2021-09-09,85.92,86.035,85.21,85.41,4076636
150,2021-09-08,86.34,86.62,85.29,86.22,3553477
151,2021-09-07,87.2,87.4,85.86,86.58,4627405
152,2021-09-03,87.11,87.79,86.63,87.47,4937188
153,2021-09-02,85.75,87.5,85.73,86.96,5223603
154,2021-09-01,86.1,86.205,83.89,85.71,6689071
155,2021-08-31,84.77,86.88,84.61,86.39,8277338
156,2021-08-30,83.94,84.69,83.41,84.6,5479986
157,2021-08-27,83.32,83.78,83.04,83.71,3903215
158,2021-08-26,83.79,83.79,82.49,83.03,3914435
159,2021-08-25,83.58,84.185,82.96,83.57,3158527
160,2021-08-24,84.49,84.51,83.78,83.81,3269899
161,2021-08-23,85.39,85.84,84.51,84.6,3708535
162,2021-08-20,84.1,84.965,83.735,84.85,3992674
163,2021-08-19,83.96,84.93,83.525,84.23,5192152
164,2021-08-18,86.29,86.5298,84.53,84.59,4501623
165,2021-08-17,85.12,86.73,85.05,86.47,6132620
166,2021-08-16,84.27,85.5,83.87,85.39,4502804
167,2021-08-13,85.25,85.49,84.23,84.36,3631539
168,2021-08-12,85.21,85.5,84.2,85.14,6540714
169,2021-08-11,83.56,85.15,83.56,84.95,7758212
170,2021-08-10,81.65,83.31,81.2333,83.24,5908371
171,2021-08-09,81.2,81.917,80.82,81.65,4570567
172,2021-08-06,80.52,81.73,80.15,81.25,7020914
173,2021-08-05,81.36,81.75,79.335,80.05,11322468
174,2021-08-04,80.25,83.2,80.01,81.55,14338447
175,2021-08-03,82.76,84.17,81.64,84.0,7620337
176,2021-08-02,82.36,82.92,82.02,82.41,4678994
177,2021-07-30,82.96,83.47,82.13,82.36,5996393
178,2021-07-29,83.99,84.15,82.8,83.06,4268328
179,2021-07-28,83.63,83.7299,82.5,83.3,3282146
180,2021-07-27,82.55,83.7,82.31,83.64,4297986
181,2021-07-26,83.43,84.28,82.72,82.87,4784393
182,2021-07-23,83.0,83.625,82.79,83.27,4090793
183,2021-07-22,82.71,82.82,81.93,82.63,4675008
184,2021-07-21,82.44,83.23,82.05,83.06,6804483
185,2021-07-20,80.89,82.89,80.8,81.8,6382501
186,2021-07-19,81.12,81.55,79.56,80.67,5135329
187,2021-07-16,82.18,82.505,81.43,81.72,5462937
188,2021-07-15,81.76,82.37,81.51,82.07,3622577
189,2021-07-14,81.95,82.685,81.5601,82.42,6308539
190,2021-07-13,82.01,82.34,81.515,81.66,3083473
191,2021-07-12,80.89,82.11,80.43,81.82,4014359
192,2021-07-09,80.91,81.68,80.8744,81.32,3471901
193,2021-07-08,80.59,80.87,79.78,80.22,5416963
194,2021-07-07,80.96,82.3794,80.44,81.34,6878885
195,2021-07-06,82.13,82.13,80.2515,81.18,6544421
196,2021-07-02,82.16,82.72,81.46,82.43,5591475
197,2021-07-01,83.71,83.73,81.96,82.22,9737613
198,2021-06-30,83.26,83.68,82.84,83.44,5038857
199,2021-06-29,84.62,85.13,83.41,83.49,4926776
200,2021-06-28,83.67,84.23,83.11,84.12,4194954
201,2021-06-25,84.0,84.75,83.78,84.08,3743954
202,2021-06-24,83.9,83.99,82.81,83.77,4867017
203,2021-06-23,83.79,84.23,83.26,83.73,3396380
204,2021-06-22,84.02,84.36,83.58,83.81,3550609
205,2021-06-21,82.61,84.23,82.44,84.02,4531827
206,2021-06-18,83.52,83.6899,82.33,82.4,8800824
207,2021-06-17,85.05,85.09,83.67,84.23,4943130
208,2021-06-16,85.5,86.14,84.66,84.74,5666798
209,2021-06-15,85.16,86.105,84.48,85.4,5473306
210,2021-06-14,85.17,85.19,83.555,84.62,5089818
211,2021-06-11,85.85,86.13,85.235,85.47,2698090
212,2021-06-10,85.51,86.06,85.29,85.5,4690429
213,2021-06-09,85.77,86.25,84.8324,84.95,5782545
214,2021-06-08,86.06,86.115,85.125,85.81,4270306
215,2021-06-07,86.65,87.13,86.185,86.33,3952413
216,2021-06-04,87.06,87.11,86.201,86.47,4606691
217,2021-06-03,85.99,87.3,85.66,87.06,4679873
218,2021-06-02,86.32,86.48,85.71,85.99,4104955
219,2021-06-01,86.5,86.57,85.2701,85.87,6109826
220,2021-05-28,86.675,87.3,86.38,86.44,6810416
221,2021-05-27,87.78,88.08,86.12,86.42,8985344
222,2021-05-26,88.65,88.9,85.27,87.32,14402288
223,2021-05-25,89.71,89.82,88.615,88.7,5895046
224,2021-05-24,90.06,90.6137,89.64,89.71,5639717
225,2021-05-21,89.29,90.2,89.1101,89.81,8361482
226,2021-05-20,89.22,89.8,88.36,89.07,9058704
227,2021-05-19,88.5,90.09,87.67,89.21,20077265
228,2021-05-18,86.47,88.65,85.97,88.61,17674503
229,2021-05-17,84.11,85.2,84.11,84.56,4472886
230,2021-05-14,84.63,84.74,84.01,84.33,5738824
231,2021-05-13,83.61,84.79,83.12,84.27,4612538
232,2021-05-12,84.61,85.33,83.24,83.38,6437325
233,2021-05-11,85.53,86.01,84.05,84.37,7935085
234,2021-05-10,85.61,87.18,85.43,85.85,7926724
235,2021-05-07,83.92,85.35,83.71,85.11,8206262
236,2021-05-06,82.64,83.75,81.76,83.7,9412633
237,2021-05-05,81.5,83.3,80.42,83.04,15365700
238,2021-05-04,79.0,81.35,78.75,81.12,19634135
239,2021-05-03,77.0,78.22,76.7,77.69,9558601
240,2021-04-30,76.44,77.13,76.23,76.4,6153353
241,2021-04-29,75.79,76.49,75.67,76.37,5086320
242,2021-04-28,75.41,75.9299,75.22,75.4,3581214
243,2021-04-27,75.48,75.7,74.97,75.11,3766710
244,2021-04-26,76.2,76.3,75.6001,75.75,5617564
245,2021-04-23,75.93,76.42,75.27,76.05,4197578
246,2021-04-22,76.31,76.44,75.24,76.18,5641933
247,2021-04-21,76.22,77.44,76.145,76.7,6222796
248,2021-04-20,75.73,76.2,75.343,75.91,7660774
249,2021-04-19,76.18,76.72,75.41,75.75,6666894
250,2021-04-16,76.15,76.2,75.56,75.88,8513895
251,2021-04-15,75.26,76.0,74.64,75.78,5037701
252,2021-04-14,74.0,75.18,73.98,75.08,3968735
253,2021-04-13,74.06,74.35,73.3,74.02,3934139
254,2021-04-12,74.33,74.93,74.25,74.46,4233352
255,2021-04-09,74.0,74.1999,73.59,74.07,4662725
256,2021-04-08,74.3,74.36,73.61,73.79,5180145
257,2021-04-07,74.87,74.92,74.1416,74.49,5137442
258,2021-04-06,75.18,75.18,74.38,74.62,6746488
259,2021-04-05,74.17,75.4,74.13,75.04,6063774
260,2021-04-01,75.23,75.3,73.91,74.3,6965253
261,2021-03-31,75.96,76.17,75.2,75.23,6320526
262,2021-03-30,76.17,76.81,75.73,76.08,5733039
263,2021-03-29,75.7,76.87,75.51,76.3,6135842
264,2021-03-26,74.36,76.0,74.12,75.96,9051172
265,2021-03-25,73.25,74.25,72.29,74.07,5506788
266,2021-03-24,72.12,74.3,71.7,73.21,7555533
267,2021-03-23,73.11,73.44,71.8,71.9,7192349
268,2021-03-22,72.92,73.57,72.35,73.47,6819861
269,2021-03-19,74.5,74.65,73.17,73.18,10426954
270,2021-03-18,74.01,75.29,73.81,74.48,6860922
271,2021-03-17,73.74,74.39,72.88,74.01,7926712
272,2021-03-16,75.0,75.25,74.15,75.07,5756283
273,2021-03-15,73.89,75.21,73.58,74.97,7141300
274,2021-03-12,72.69,74.05,72.498,73.92,6286685
275,2021-03-11,72.95,73.43,72.32,72.35,5536079
276,2021-03-10,71.71,73.09,71.13,72.7,7402180
277,2021-03-09,72.35,73.05,71.18,71.23,8697300
278,2021-03-08,71.29,72.54,70.78,71.73,9007387
279,2021-03-05,69.4,70.95,69.16,70.63,8295616
280,2021-03-04,68.96,70.04,68.415,69.17,7396709
281,2021-03-03,68.97,69.51,68.28,69.03,6192109
282,2021-03-02,69.49,69.6399,68.87,68.94,5251815
283,2021-03-01,68.42,69.57,68.26,69.28,5659548
284,2021-02-26,69.27,69.325,68.02,68.13,9525793
285,2021-02-25,69.98,70.65,69.16,69.33,5222657
286,2021-02-24,69.89,70.54,69.39,70.4,5826060
287,2021-02-23,69.72,70.8,69.46,69.64,8150567
288,2021-02-22,70.3,70.6396,69.373,70.48,5882503
289,2021-02-19,71.4,71.42,70.29,70.42,6530765
290,2021-02-18,72.65,72.97,71.32,71.52,7334086
291,2021-02-17,70.25,72.85,70.12,72.71,13221491
292,2021-02-16,75.27,75.394,70.185,70.53,18932649
293,2021-02-12,73.57,74.56,73.5401,74.21,5870585
294,2021-02-11,74.0,74.08,72.92,73.6,4725502
295,2021-02-10,73.95,74.16,72.81,73.83,4715019
296,2021-02-09,73.24,74.14,72.85,73.49,8063452
297,2021-02-08,72.47,72.99,72.17,72.98,5826863
298,2021-02-05,73.23,73.3639,71.93,72.18,6421832
299,2021-02-04,73.4,74.04,72.79,73.0,8117511
300,2021-02-03,71.74,73.67,71.34,73.24,6128221
301,2021-02-02,71.7,72.645,71.2,71.83,5525099
302,2021-02-01,72.08,72.47,71.34,71.46,5156523
303,2021-01-29,72.52,73.3,71.04,71.65,6469460
304,2021-01-28,72.44,73.79,72.22,72.61,5019999
305,2021-01-27,73.53,74.19,72.19,72.42,6279780
306,2021-01-26,73.37,74.38,73.28,74.23,4667577
307,2021-01-25,73.5,73.53,72.16,73.21,7554762
308,2021-01-22,73.73,74.3,73.0215,74.12,4183588
309,2021-01-21,74.7,74.86,73.5443,74.08,5033225
310,2021-01-20,75.42,75.4607,74.59,75.25,4764352
311,2021-01-19,77.0,77.0,75.305,75.4,5918982
312,2021-01-15,75.02,76.45,74.85,76.26,8110331
313,2021-01-14,75.0,75.68,74.34,75.05,5088112
314,2021-01-13,75.95,76.12,74.52,74.92,6223766
315,2021-01-12,76.04,77.2302,75.535,76.26,5601341
316,2021-01-11,74.25,76.48,74.25,76.07,6678576
317,2021-01-08,75.0,76.33,74.416,74.86,11254684
318,2021-01-07,73.05,74.42,72.2801,73.99,7962258
319,2021-01-06,70.0,73.03,69.95,72.56,10142352
320,2021-01-05,70.33,71.02,69.38,70.46,8012150
321,2021-01-04,68.68,70.29,68.13,69.99,11367241
322,2020-12-31,67.7,68.41,67.08,68.3,5386942
323,2020-12-30,68.08,68.09,67.43,67.75,4967334
324,2020-12-29,68.4,69.3126,67.72,67.9,4389801
325,2020-12-28,68.24,68.99,67.715,68.08,4785710
326,2020-12-24,68.17,68.17,67.4867,67.97,2117597
327,2020-12-23,67.53,68.48,67.49,68.01,4924123
328,2020-12-22,68.43,68.55,67.06,67.22,5694732
329,2020-12-21,68.7,68.96,67.96,68.71,6988393
330,2020-12-18,69.74,69.79,68.82,69.55,12530490
331,2020-12-17,69.45,69.89,68.69,69.59,7497569
332,2020-12-16,69.15,69.6299,68.35,69.32,7380700
333,2020-12-15,70.08,70.19,68.8,69.89,7812787
334,2020-12-14,72.31,72.33,69.6815,69.72,7157555
335,2020-12-11,72.0,72.11,70.65,71.58,6515800
336,2020-12-10,72.77,73.16,72.08,72.21,6003142
337,2020-12-09,74.38,74.44,72.86,73.53,6825909
338,2020-12-08,72.73,73.94,72.6233,73.86,6044156
339,2020-12-07,74.23,74.64,72.43,73.63,6867975
340,2020-12-04,72.72,74.52,72.57,74.5,11964676
341,2020-12-03,69.71,72.63,69.23,72.52,13270240
342,2020-12-02,67.55,70.2938,67.45,69.63,8138469
343,2020-12-01,68.39,69.33,67.355,67.54,8226562
344,2020-11-30,67.81,68.0884,67.2,67.79,8242633
