,timestamp,open,high,low,close,volume
0,2022-04-12,131.81,133.21,130.1528,130.84,7885640
1,2022-04-11,130.04,132.43,130.04,130.65,9915280
2,2022-04-08,132.0,133.12,130.63,131.87,6701966
3,2022-04-07,133.01,133.21,130.02,131.87,9858728
4,2022-04-06,133.75,133.93,130.81,132.57,11679732
5,2022-04-05,137.74,139.2,135.13,135.62,8570632
6,2022-04-04,136.97,139.261,136.89,138.58,8182004
7,2022-04-01,137.34,138.1,135.53,137.0,10341044
8,2022-03-31,140.14,140.88,137.11,137.16,12306461
9,2022-03-30,141.31,143.2675,140.08,140.96,7922426
10,2022-03-29,140.96,144.46,140.96,142.38,11280683
11,2022-03-28,138.88,139.6274,136.2816,138.72,8456087
12,2022-03-25,139.28,140.38,138.12,139.14,5865018
13,2022-03-24,138.58,139.2699,137.41,138.96,5858789
14,2022-03-23,139.07,139.76,137.54,137.64,8761269
15,2022-03-22,139.06,142.19,138.9,140.11,8255320
16,2022-03-21,138.9,139.3,136.88,138.62,8902219
17,2022-03-18,139.55,140.725,138.3,140.3,11006750
18,2022-03-17,137.44,139.47,136.56,139.47,6816024
19,2022-03-16,135.65,138.98,134.94,138.14,10638735
20,2022-03-15,129.74,134.56,129.51,134.2,9834809
21,2022-03-14,130.98,133.07,128.38,129.03,9971526
22,2022-03-11,135.08,136.16,131.57,131.75,7058388
23,2022-03-10,132.36,134.2,131.62,133.64,8447238
24,2022-03-09,135.49,135.5,133.36,133.65,14673081
25,2022-03-08,133.02,135.485,129.29,131.75,16552011
26,2022-03-07,140.28,140.89,133.44,133.5,14549670
27,2022-03-04,144.01,144.26,139.55,140.72,12925361
28,2022-03-03,147.31,148.65,144.45,145.57,8048440
29,2022-03-02,146.31,148.465,145.92,147.34,7851027
30,2022-03-01,147.86,148.146,143.779,145.7,8943991
31,2022-02-28,147.83,149.48,146.46,148.46,10834719
32,2022-02-25,149.56,150.28,147.22,149.53,10149515
33,2022-02-24,140.0,149.57,140.0,149.4,12475485
34,2022-02-23,149.5,149.74,145.5,145.87,9300697
35,2022-02-22,150.19,150.79,147.61,148.09,11623499
36,2022-02-18,152.91,153.6755,150.05,151.36,10785503
37,2022-02-17,154.69,155.3612,152.61,152.95,8110299
38,2022-02-16,154.98,156.73,153.75,156.35,10656352
39,2022-02-15,153.54,154.85,152.51,154.72,12730923
40,2022-02-14,149.37,153.73,149.21,150.85,14694683
41,2022-02-11,153.54,154.69,148.56,149.47,17975207
42,2022-02-10,156.02,157.5,151.11,152.16,42500322
43,2022-02-09,144.37,147.355,143.25,147.23,22877397
44,2022-02-08,141.79,142.8879,140.74,142.48,9231697
45,2022-02-07,143.39,144.09,141.61,142.51,10937517
46,2022-02-04,140.04,143.19,139.53,142.02,8061075
47,2022-02-03,140.0,142.04,139.25,140.03,9820585
48,2022-02-02,144.19,144.59,141.38,142.62,9529884
49,2022-02-01,143.02,144.69,142.25,144.49,8573340
50,2022-01-31,138.86,143.15,138.47,142.97,10185499
51,2022-01-28,135.21,138.69,133.56,138.63,10011666
52,2022-01-27,135.07,137.91,134.02,135.42,11913900
53,2022-01-26,137.707,138.2,132.26,133.6,14569916
54,2022-01-25,135.29,137.75,132.38,136.51,14694413
55,2022-01-24,134.82,137.68,129.26,137.46,31523846
56,2022-01-21,141.23,141.87,136.6319,137.38,34491847
57,2022-01-20,150.905,152.66,147.15,147.62,11760374
58,2022-01-19,150.84,152.86,149.955,150.11,10098063
59,2022-01-18,151.11,153.13,149.83,152.27,10020466
60,2022-01-14,152.35,152.62,148.415,151.94,16831957
61,2022-01-13,157.7,158.53,155.17,155.44,9680583
62,2022-01-12,158.5,158.99,156.33,157.8,6995649
63,2022-01-11,156.62,158.22,155.9455,157.89,8001932
64,2022-01-10,157.98,158.27,154.65,156.6,8672855
65,2022-01-07,156.9,159.3,156.29,157.83,9554622
66,2022-01-06,156.24,157.77,153.6791,156.9,11095326
67,2022-01-05,156.52,159.38,155.1,155.19,12272097
68,2022-01-04,158.59,160.32,155.55,155.73,16582041
69,2022-01-03,155.83,157.56,155.36,156.76,10228257
70,2021-12-31,155.87,156.57,154.74,154.89,6189861
71,2021-12-30,155.71,157.07,155.515,155.93,7228438
72,2021-12-29,154.56,155.92,154.18,154.87,8737004
73,2021-12-28,152.62,156.5,152.41,155.2,12198679
74,2021-12-27,152.88,154.02,151.4,152.8,7765470
75,2021-12-23,152.32,154.1899,151.93,153.63,6572351
76,2021-12-22,150.42,152.2,149.87,151.88,7820439
77,2021-12-21,147.56,151.425,147.39,151.05,10781406
78,2021-12-20,146.98,147.73,145.08,146.47,11201921
79,2021-12-17,148.51,149.84,146.57,148.76,13878798
80,2021-12-16,151.35,152.06,148.58,148.75,11145624
81,2021-12-15,148.76,150.92,147.35,150.4,12231479
82,2021-12-14,149.26,151.62,148.52,149.1,10872028
83,2021-12-13,152.12,152.5,149.29,150.43,10195818
84,2021-12-10,153.58,154.66,151.45,152.71,10247891
85,2021-12-09,152.27,154.29,151.7,152.94,11862333
86,2021-12-08,150.91,153.655,150.56,153.34,12886261
87,2021-12-07,151.84,152.76,149.72,150.81,14661067
88,2021-12-06,147.28,150.7399,146.67,150.37,14333932
89,2021-12-03,147.81,148.315,144.32,146.22,14975619
90,2021-12-02,142.84,147.65,142.77,147.2,18177709
91,2021-12-01,146.7,148.37,142.04,142.15,16503227
92,2021-11-30,146.72,147.28,143.11,144.9,26011109
93,2021-11-29,148.81,149.3,144.25,147.81,21231323
94,2021-11-26,146.8,148.85,145.85,148.11,12027675
95,2021-11-24,150.69,151.41,148.8,151.34,14123739
96,2021-11-23,153.84,154.25,150.19,151.03,17382893
97,2021-11-22,153.225,155.8232,152.57,154.16,12790408
98,2021-11-19,155.02,155.21,152.77,154.0,16776492
99,2021-11-18,157.09,157.3,153.71,155.58,14487740
100,2021-11-17,158.73,158.89,156.75,157.33,14695528
101,2021-11-16,159.06,160.24,158.55,158.83,15516161
102,2021-11-15,160.09,160.72,157.66,158.43,21285347
103,2021-11-12,163.52,163.61,158.93,159.63,25453485
104,2021-11-11,162.89,163.96,158.33,162.11,62366499
105,2021-11-10,174.69,176.87,173.87,174.45,11045826
106,2021-11-09,176.95,177.1198,173.21,175.11,7177368
107,2021-11-08,178.69,179.25,176.1018,176.87,10584586
108,2021-11-05,173.5,176.99,172.33,175.63,16859184
109,2021-11-04,170.03,170.42,168.67,170.28,7505507
110,2021-11-03,169.7,170.19,168.37,170.08,6829310
111,2021-11-02,170.03,170.85,168.98,169.83,6394900
112,2021-11-01,169.21,171.25,169.09,170.19,8036472
113,2021-10-29,169.02,170.4599,168.15,169.07,7598849
114,2021-10-28,169.48,170.35,168.6,169.68,7884519
115,2021-10-27,171.77,172.04,169.43,169.55,7054716
116,2021-10-26,172.95,173.115,170.71,172.04,5850210
117,2021-10-25,169.9,172.57,169.025,172.01,9798688
118,2021-10-22,170.57,170.8,168.6,169.42,7854323
119,2021-10-21,170.2,172.5,170.1,171.34,7508956
120,2021-10-20,170.97,171.02,169.88,170.55,9737626
121,2021-10-19,171.44,171.58,170.18,171.18,9669482
122,2021-10-18,172.36,173.34,169.8,171.14,20494788
123,2021-10-15,175.69,178.89,174.1,176.46,13943894
124,2021-10-14,174.07,176.02,174.0,174.41,7453306
125,2021-10-13,173.63,173.7,170.94,172.96,8918152
126,2021-10-12,173.62,174.49,172.545,173.13,5188380
127,2021-10-11,176.02,176.52,173.48,173.52,8046270
128,2021-10-08,177.93,178.6,176.4029,176.74,4132182
129,2021-10-07,177.7,179.63,177.33,177.71,7779997
130,2021-10-06,173.0,175.71,171.5501,175.48,6005169
131,2021-10-05,173.83,176.24,173.61,174.61,6798224
132,2021-10-04,175.56,175.96,172.665,173.46,7200589
133,2021-10-01,172.28,177.32,171.97,176.01,12165022
134,2021-09-30,173.1,173.68,169.1,169.17,13977983
135,2021-09-29,174.25,174.96,172.59,172.68,6240771
136,2021-09-28,177.75,178.0,173.86,174.52,9133118
137,2021-09-27,176.63,179.4502,175.96,178.26,7754953
138,2021-09-24,175.3,176.7,175.0772,176.0,5712778
139,2021-09-23,174.94,177.19,174.37,176.25,8052869
140,2021-09-22,172.94,175.341,171.66,173.65,14214525
141,2021-09-21,180.32,182.23,169.03,171.17,23216027
142,2021-09-20,179.74,180.88,176.55,178.61,8056648
143,2021-09-17,182.91,185.9,182.73,183.47,10039204
144,2021-09-16,183.97,184.64,182.12,183.34,5678224
145,2021-09-15,182.06,184.66,181.103,184.41,5933400
146,2021-09-14,184.96,185.13,182.15,182.4,6185890
147,2021-09-13,185.115,185.8,183.5,184.98,6818241
148,2021-09-10,186.36,187.1,184.01,184.12,5572248
149,2021-09-09,185.15,187.5799,184.57,185.91,7190666
150,2021-09-08,184.34,187.46,183.92,185.15,8633959
151,2021-09-07,181.02,185.55,180.05,184.34,10704995
152,2021-09-03,181.82,181.82,179.13,181.0,6848827
153,2021-09-02,184.16,185.3,181.55,181.86,6497070
