,timestamp,open,high,low,close,volume
0,2022-04-12,123.37,124.55,122.95,123.57,2581850
1,2022-04-11,123.22,124.72,122.33,122.58,1793128
2,2022-04-08,122.88,124.57,122.23,123.48,1282430
3,2022-04-07,124.94,125.34,122.53,123.4,1758031
4,2022-04-06,125.26,126.99,124.36,124.85,1972003
5,2022-04-05,127.15,128.73,125.5,125.86,992032
6,2022-04-04,125.81,128.56,125.4501,128.02,1522626
7,2022-04-01,126.85,127.19,123.34,125.23,2193977
8,2022-03-31,128.18,128.19,125.85,126.51,1750974
9,2022-03-30,128.03,128.87,127.13,127.68,1096969
10,2022-03-29,129.23,129.72,127.3,128.83,1495354
11,2022-03-28,127.67,128.12,126.15,128.04,1065951
12,2022-03-25,126.03,127.51,125.3,127.32,1297213
13,2022-03-24,125.06,125.57,123.63,125.57,2273433
14,2022-03-23,127.38,128.06,124.06,124.64,2158381
15,2022-03-22,125.95,128.18,124.75,127.93,1643153
16,2022-03-21,125.09,126.4,124.6377,125.56,1218560
17,2022-03-18,124.27,126.48,123.39,126.28,2589657
18,2022-03-17,123.44,125.24,122.67,125.18,1297256
19,2022-03-16,121.29,123.89,121.13,123.8,1627844
20,2022-03-15,119.14,121.11,117.58,120.8,1815930
21,2022-03-14,122.18,122.43,118.24,119.13,1968240
22,2022-03-11,124.63,125.46,122.17,122.33,1195222
23,2022-03-10,124.63,125.9762,122.66,123.68,1222004
24,2022-03-09,124.04,125.96,123.29,125.52,2139504
25,2022-03-08,125.48,125.87,122.2,122.67,2211699
26,2022-03-07,126.47,128.55,125.07,126.26,2060195
27,2022-03-04,126.78,127.69,126.24,126.49,1845592
28,2022-03-03,130.19,130.3957,127.43,127.84,1305810
29,2022-03-02,128.24,129.72,127.62,129.26,1641760
30,2022-03-01,130.55,131.592,127.53,128.15,1420351
31,2022-02-28,127.76,131.49,127.76,130.09,3489109
32,2022-02-25,128.34,129.03,126.86,128.71,2058616
33,2022-02-24,123.91,127.67,123.8,127.5,2083595
34,2022-02-23,127.88,129.25,126.48,126.72,1908796
35,2022-02-22,128.05,129.635,126.6,127.09,2152572
36,2022-02-18,130.01,131.17,128.92,129.33,2002007
37,2022-02-17,133.07,133.07,129.925,130.4,1735704
38,2022-02-16,133.75,134.6,131.455,133.29,2369315
39,2022-02-15,134.4,135.46,133.36,134.5,1739105
40,2022-02-14,133.8806,134.46,132.44,133.4,1680483
41,2022-02-11,134.98,136.42,133.8,134.1,1647896
42,2022-02-10,133.19,136.9,133.19,134.98,1718625
43,2022-02-09,135.76,135.9999,132.58,135.79,1955847
44,2022-02-08,136.32,137.25,134.25,134.37,2264932
45,2022-02-07,138.0,138.08,135.6,136.4,1726078
46,2022-02-04,135.35,138.38,134.69,137.71,2397235
47,2022-02-03,135.28,139.61,134.29,137.29,3409361
48,2022-02-02,125.72,137.59,125.61,137.17,5723709
49,2022-02-01,133.08,133.46,129.0701,129.94,3827957
50,2022-01-31,131.15,135.7379,129.24,132.66,4471167
51,2022-01-28,131.16,132.23,129.58,131.92,2155020
52,2022-01-27,130.77,134.04,130.65,131.06,1782104
53,2022-01-26,131.07,132.33,128.83,129.98,2334031
54,2022-01-25,133.57,134.02,129.54,131.01,2386389
55,2022-01-24,137.09,139.4,131.9,135.2,4262190
56,2022-01-21,138.28,140.69,138.09,139.01,3120019
57,2022-01-20,137.85,141.99,137.85,138.88,3116937
58,2022-01-19,135.52,138.22,134.7,136.91,3774250
59,2022-01-18,138.435,142.55,133.45,133.91,8746824
60,2022-01-14,130.04,130.75,128.72,130.44,1633377
