,timestamp,open,high,low,close,volume
0,2022-04-12,96.09,97.98,95.7,97.8,2667289
1,2022-04-11,97.13,97.85,96.21,96.6,1861180
2,2022-04-08,98.0,98.19,96.52,97.91,1546288
3,2022-04-07,98.4,98.65,97.12,97.56,1955977
4,2022-04-06,96.59,98.54,96.09,98.4,1835058
5,2022-04-05,95.5,97.0,95.5,96.15,1541140
6,2022-04-04,95.72,95.72,93.99,95.45,1893283
7,2022-04-01,94.36,96.11,93.6,96.11,1906898
8,2022-03-31,94.68,95.74,94.44,94.68,2073802
9,2022-03-30,93.65,94.75,93.21,94.73,1352313
10,2022-03-29,93.09,93.69,92.51,93.52,1284208
11,2022-03-28,92.83,93.13,91.75,93.05,1185112
12,2022-03-25,91.68,92.95,91.5,92.68,1560799
13,2022-03-24,90.46,91.43,89.8405,91.41,1462876
14,2022-03-23,89.51,90.515,88.65,89.94,1265191
15,2022-03-22,89.83,89.87,88.45,89.29,1441487
16,2022-03-21,89.2,90.4031,89.145,89.57,1247125
17,2022-03-18,89.95,90.0,88.1,88.7,3373596
18,2022-03-17,89.77,90.54,89.08,90.01,1913822
19,2022-03-16,90.14,90.34,88.43,89.64,1651575
20,2022-03-15,90.43,90.81,89.75,90.4,1545197
21,2022-03-14,90.04,90.38,88.8,89.52,1443355
22,2022-03-11,89.31,90.62,89.16,89.34,1405856
23,2022-03-10,88.05,89.7,88.02,89.47,1353228
24,2022-03-09,89.53,89.83,88.16,88.38,1524231
25,2022-03-08,90.45,90.9797,88.74,88.75,1545968
26,2022-03-07,89.92,90.28,88.68,90.14,1809147
27,2022-03-04,88.0,89.9,87.84,89.88,1754268
28,2022-03-03,87.0,88.41,86.97,88.29,1700481
29,2022-03-02,85.51,87.58,85.51,86.91,1728722
30,2022-03-01,86.24,87.14,84.305,85.38,2122219
31,2022-02-28,85.09,86.13,84.9,85.77,2439444
32,2022-02-25,84.28,86.33,84.0,85.94,1883952
33,2022-02-24,83.95,84.4,81.54,83.31,2479429
34,2022-02-23,85.01,85.43,84.28,84.4,2387156
35,2022-02-22,84.72,85.29,83.29,84.75,2354597
36,2022-02-18,81.19,84.8,81.12,84.61,3880242
37,2022-02-17,81.27,81.89,80.405,81.45,1939100
38,2022-02-16,81.25,81.57,80.115,81.08,2466803
39,2022-02-15,82.62,82.89,80.92,81.36,1268734
40,2022-02-14,84.37,84.71,82.11,83.02,1902611
41,2022-02-11,84.22,84.939,83.75,84.26,1671256
42,2022-02-10,85.65,85.93,83.83,84.03,1592137
43,2022-02-09,86.87,87.18,86.2,86.38,1461706
44,2022-02-08,86.85,87.11,86.19,86.42,1602412
45,2022-02-07,86.21,86.91,85.39,86.6,1759033
46,2022-02-04,86.21,86.98,85.27,86.09,2578830
47,2022-02-03,86.98,87.67,86.651,86.99,1382698
48,2022-02-02,85.71,87.235,85.53,87.15,1798478
49,2022-02-01,86.77,87.2,85.13,86.05,2343364
50,2022-01-31,85.0,86.55,84.42,86.45,5553954
51,2022-01-28,82.76,84.74,82.2,84.63,2515684
52,2022-01-27,82.15,83.43,81.902,82.76,2890799
53,2022-01-26,81.81,82.45,80.78,81.38,4293131
54,2022-01-25,81.34,82.705,81.3,81.81,3044441
55,2022-01-24,82.5,83.34,80.115,81.99,3852217
56,2022-01-21,82.64,83.72,82.28,82.66,4222076
57,2022-01-20,81.88,82.8,81.43,82.04,2727086
58,2022-01-19,82.1,82.98,81.595,82.15,1976326
59,2022-01-18,82.81,82.94,81.35,81.99,3263145
60,2022-01-14,84.0,84.23,82.93,83.52,2202867
61,2022-01-13,83.14,84.26,82.84,83.94,1584702
62,2022-01-12,82.66,83.26,82.33,83.19,2147410
63,2022-01-11,84.75,85.09,82.1,83.07,2965201
