,timestamp,open,high,low,close,volume
0,2022-04-12,70.85,72.02,70.57,71.88,1645234
1,2022-04-11,72.03,72.03,70.65,70.8,2246617
2,2022-04-08,71.26,72.03,70.74,71.95,2260338
3,2022-04-07,71.45,71.45,70.17,70.69,1744670
4,2022-04-06,70.39,71.56,70.04,71.54,1812880
5,2022-04-05,70.97,71.94,70.05,70.29,1625847
6,2022-04-04,70.66,70.86,69.78,70.8,1441770
7,2022-04-01,70.25,71.07,69.38,71.04,1945072
8,2022-03-31,69.15,70.39,68.945,70.1,3184962
9,2022-03-30,69.3,69.47,68.87,69.46,1265284
10,2022-03-29,69.38,69.75,68.6612,69.73,1229806
11,2022-03-28,68.81,69.2199,68.37,69.21,1305335
12,2022-03-25,67.24,68.91,66.98,68.79,2221240
13,2022-03-24,66.69,67.47,66.53,66.96,2875777
14,2022-03-23,65.95,66.73,65.74,66.6,2657017
15,2022-03-22,65.85,66.275,65.35,65.94,2187721
16,2022-03-21,64.91,65.53,64.67,65.44,1392465
17,2022-03-18,65.95,66.29,64.54,64.65,4981935
18,2022-03-17,66.3,66.84,65.92,66.19,1409770
19,2022-03-16,66.25,66.79,65.41,66.31,1864194
20,2022-03-15,65.27,66.19,64.94,66.13,1375001
21,2022-03-14,65.53,65.807,64.34,64.62,1301519
22,2022-03-11,65.77,66.18,64.71,64.79,1085223
23,2022-03-10,65.14,65.94,65.1301,65.76,903693
24,2022-03-09,65.8,66.27,65.42,65.47,1601017
25,2022-03-08,66.36,66.56,65.15,65.17,1358892
26,2022-03-07,65.75,66.46,65.12,66.19,1676438
27,2022-03-04,65.0,65.66,64.44,65.59,2034315
28,2022-03-03,64.72,65.47,64.63,65.25,2603744
29,2022-03-02,63.95,65.19,63.71,64.49,2393999
30,2022-03-01,63.4,64.32,62.88,63.65,2216198
31,2022-02-28,62.25,63.71,61.97,63.42,2901053
32,2022-02-25,59.75,62.554,59.5,62.35,2452637
33,2022-02-24,58.78,59.22,57.86,59.16,1859398
34,2022-02-23,60.05,60.39,58.98,59.02,1222477
35,2022-02-22,60.14,60.675,59.67,60.08,1811496
36,2022-02-18,60.08,60.48,59.75,59.94,4279017
37,2022-02-17,59.93,60.58,59.56,60.25,1872451
38,2022-02-16,59.92,60.37,59.39,59.92,1756031
39,2022-02-15,60.36,60.62,59.42,59.84,1916480
40,2022-02-14,60.35,60.46,59.37,60.06,1546898
41,2022-02-11,60.72,61.445,60.06,60.25,1473236
42,2022-02-10,61.22,61.72,60.34,60.57,2658260
43,2022-02-09,61.89,62.14,61.54,61.77,1187431
44,2022-02-08,61.91,62.07,61.305,61.54,1795415
45,2022-02-07,61.06,61.71,60.945,61.56,1649153
46,2022-02-04,60.88,61.65,60.36,61.16,1646441
47,2022-02-03,61.82,62.14,61.39,61.39,1504953
48,2022-02-02,61.6,62.12,61.53,61.91,2195823
