,timestamp,open,high,low,close,volume
0,2022-04-12,137.27,142.09,137.27,139.18,1659758
1,2022-04-11,138.94,139.17,133.54,135.11,2391304
2,2022-04-08,136.38,142.39,136.38,141.99,2257254
3,2022-04-07,137.31,138.1699,132.93,136.95,1877330
4,2022-04-06,137.32,138.38,133.48,135.06,1650849
5,2022-04-05,139.12,142.99,135.1709,135.48,1821234
6,2022-04-04,140.0,140.93,137.5,139.59,1404805
7,2022-04-01,137.18,140.51,136.42,138.44,1825145
8,2022-03-31,137.64,141.21,137.08,137.08,1887869
9,2022-03-30,141.42,142.45,138.2,139.15,1563347
10,2022-03-29,135.83,139.14,133.3,138.73,2263646
11,2022-03-28,142.03,142.52,139.21,140.7,1948591
12,2022-03-25,141.92,147.99,141.92,146.51,2144211
13,2022-03-24,142.5,144.8,141.39,143.19,2042055
14,2022-03-23,140.22,142.85,138.25,142.64,2748800
15,2022-03-22,139.33,139.67,135.82,137.35,2865289
16,2022-03-21,135.0,140.49,134.27,139.88,4197232
17,2022-03-18,133.67,135.46,131.05,131.45,4779177
18,2022-03-17,128.78,134.83,128.72,133.88,3426899
19,2022-03-16,124.62,126.74,123.33,125.63,3209317
20,2022-03-15,120.8,126.1,119.4335,124.56,3328710
21,2022-03-14,127.87,128.67,122.65,126.19,2914952
22,2022-03-11,132.08,134.06,129.24,129.67,2354707
23,2022-03-10,130.96,134.605,129.3527,134.07,3019680
24,2022-03-09,132.85,132.85,125.89,130.05,4367393
25,2022-03-08,136.01,140.72,129.355,134.44,4156682
26,2022-03-07,139.11,140.23,130.37,134.44,4263156
27,2022-03-04,134.5,139.58,134.3,137.8,3084885
28,2022-03-03,133.845,135.9356,132.97,134.12,2327113
29,2022-03-02,140.19,140.225,135.435,136.67,2960664
30,2022-03-01,139.67,142.09,133.96,136.83,3782004
31,2022-02-28,132.25,138.47,131.26,138.1,3783453
32,2022-02-25,127.57,133.98,127.57,133.27,3169055
33,2022-02-24,133.12,133.17,123.16,127.89,4639512
34,2022-02-23,129.56,134.6,127.72,129.56,3943982
35,2022-02-22,134.95,136.32,126.25,128.03,4209667
36,2022-02-18,128.0,132.48,127.38,131.47,2856812
