,timestamp,open,high,low,close,volume
0,2022-04-12,251.19,253.2,250.22,250.74,394621
1,2022-04-11,249.39,252.07,247.8,250.17,314042
2,2022-04-08,249.14,252.95,247.43,250.5,1029592
3,2022-04-07,252.54,252.54,243.89,249.66,611417
4,2022-04-06,253.88,255.53,251.81,253.64,595323
5,2022-04-05,254.61,260.765,254.61,256.5,662298
6,2022-04-04,248.79,254.33,248.17,253.84,400958
7,2022-04-01,250.74,255.51,248.05,249.6,358381
8,2022-03-31,249.17,253.53,249.04,249.06,742089
9,2022-03-30,249.36,250.68,247.3,250.22,416321
10,2022-03-29,247.07,250.2,246.6,249.47,199306
11,2022-03-28,245.01,246.455,240.52,243.02,194266
12,2022-03-25,244.53,246.23,243.47,246.03,170022
13,2022-03-24,241.19,243.91,240.28,243.69,239067
14,2022-03-23,242.84,243.06,238.39,240.24,289302
15,2022-03-22,242.39,245.365,241.985,243.56,277315
16,2022-03-21,239.48,243.22,236.58,241.24,376718
17,2022-03-18,236.48,239.52,234.07,239.21,626496
18,2022-03-17,234.08,237.07,232.26,236.82,353237
19,2022-03-16,232.87,236.77,229.26,236.53,396611
20,2022-03-15,227.7,230.9,225.35,229.41,407586
21,2022-03-14,232.33,232.77,225.07,226.47,285438
22,2022-03-11,231.88,233.0,229.42,229.54,342172
23,2022-03-10,226.75,231.21,226.36,230.85,302368
24,2022-03-09,232.42,235.97,229.265,230.25,397657
25,2022-03-08,220.05,232.95,217.8,228.21,665527
26,2022-03-07,226.32,226.93,217.63,219.13,812197
27,2022-03-04,230.04,231.87,225.38,226.33,706975
28,2022-03-03,237.75,237.75,231.98,233.33,525727
29,2022-03-02,228.02,237.255,228.02,235.52,427325
30,2022-03-01,234.18,234.18,224.57,226.11,576857
31,2022-02-28,234.13,236.01,230.42,234.2,786143
32,2022-02-25,236.81,240.33,234.46,237.89,526845
33,2022-02-24,227.93,236.17,226.68,235.58,878351
34,2022-02-23,238.77,239.8,234.62,234.88,759168
35,2022-02-22,233.05,240.25,232.76,237.3,931258
36,2022-02-18,234.64,236.19,231.255,233.51,600846
37,2022-02-17,241.58,242.72,235.0,235.39,596235
38,2022-02-16,243.04,245.995,242.1,244.29,538188
39,2022-02-15,246.01,247.9,243.97,244.3,591249
40,2022-02-14,247.0,247.5458,244.44,244.69,714956
41,2022-02-11,246.59,249.195,243.99,246.47,694482
42,2022-02-10,248.39,252.43,245.54,247.43,668206
43,2022-02-09,248.08,254.2,246.0,252.0,1471537
44,2022-02-08,234.82,237.06,231.87,236.27,810677
45,2022-02-07,237.06,237.52,233.26,235.26,530623
46,2022-02-04,231.73,237.655,230.01,236.19,554744
47,2022-02-03,239.82,240.51,233.96,233.99,581563
48,2022-02-02,239.99,243.17,239.37,241.18,821199
49,2022-02-01,238.01,241.92,236.7,240.69,569165
50,2022-01-31,229.53,238.37,229.43,238.26,729817
51,2022-01-28,223.25,231.4,221.41,231.31,521712
52,2022-01-27,226.38,228.48,221.96,223.09,446874
53,2022-01-26,229.0,230.66,221.655,223.8,449041
54,2022-01-25,221.0,228.78,214.43,225.77,673691
55,2022-01-24,219.42,225.885,216.83,225.45,937920
56,2022-01-21,232.99,234.28,225.72,226.41,566206
57,2022-01-20,237.54,240.5,232.785,233.59,542602
58,2022-01-19,237.89,239.87,234.31,237.58,443801
59,2022-01-18,242.91,242.93,234.4,238.22,604480
60,2022-01-14,244.36,246.47,242.825,244.0,509534
61,2022-01-13,243.81,249.6,243.575,246.21,537197
62,2022-01-12,244.37,245.67,242.56,243.66,532256
63,2022-01-11,237.72,244.28,235.21,243.58,658385
64,2022-01-10,243.0,243.0,233.615,238.02,809668
65,2022-01-07,239.06,245.75,239.0,243.03,717428
66,2022-01-06,237.06,242.14,237.06,239.26,540920
67,2022-01-05,238.45,244.77,237.09,237.3,748280
68,2022-01-04,233.63,238.695,233.2,237.25,560036
69,2022-01-03,225.23,232.3,224.13,231.11,607309
70,2021-12-31,224.44,227.4924,223.69,223.84,294256
71,2021-12-30,226.46,228.59,225.48,225.65,301256
72,2021-12-29,223.62,226.89,223.62,225.82,351425
73,2021-12-28,221.12,228.09,221.12,224.81,376640
74,2021-12-27,223.66,224.33,220.58,223.13,223387
75,2021-12-23,223.87,225.59,222.985,223.69,269494
76,2021-12-22,219.33,223.06,218.76,222.79,408262
77,2021-12-21,213.79,220.25,213.6,219.91,537719
78,2021-12-20,210.14,212.36,207.41,211.2,565982
79,2021-12-17,215.03,217.845,211.17,214.26,1249404
80,2021-12-16,218.61,219.5208,214.914,216.39,756530
81,2021-12-15,217.0,217.0,212.6,215.21,630973
82,2021-12-14,216.32,222.11,215.92,216.17,572051
83,2021-12-13,220.86,221.005,214.66,217.22,536827
84,2021-12-10,223.13,224.22,218.87,222.81,460594
85,2021-12-09,222.04,224.54,219.645,221.95,611703
86,2021-12-08,220.94,224.02,219.89,223.05,609106
87,2021-12-07,219.25,224.39,219.25,220.15,900956
88,2021-12-06,210.045,219.72,208.69,217.26,660646
89,2021-12-03,208.58,208.58,203.6,208.07,665595
90,2021-12-02,203.04,209.4,201.02,207.87,954784
91,2021-12-01,211.24,211.78,200.78,200.83,672355
92,2021-11-30,210.66,213.97,205.99,207.13,657632
93,2021-11-29,217.68,217.68,211.35,212.98,740695
94,2021-11-26,222.13,224.42,214.755,215.15,557962
95,2021-11-24,224.55,230.95,224.54,228.27,600277
96,2021-11-23,223.94,227.11,223.7257,226.18,779577
97,2021-11-22,228.19,228.53,223.65,223.94,695189
98,2021-11-19,227.0,230.32,225.7,227.67,744781
99,2021-11-18,231.42,231.42,224.78,227.29,780582
100,2021-11-17,235.98,236.08,230.3,231.21,541504
101,2021-11-16,241.92,242.36,236.3,237.27,580431
102,2021-11-15,243.9,245.145,240.63,241.64,744346
103,2021-11-12,239.9,245.37,239.9,241.52,904986
104,2021-11-11,244.5,245.32,238.44,239.04,665216
105,2021-11-10,243.76,247.19,243.445,243.76,501156
106,2021-11-09,245.73,246.99,243.6,244.08,474243
107,2021-11-08,244.14,248.29,244.14,247.39,609865
108,2021-11-05,246.65,249.36,243.0115,244.76,812083
109,2021-11-04,241.63,253.99,237.69,241.75,1262380
110,2021-11-03,241.01,242.92,238.8,241.97,722926
111,2021-11-02,248.66,249.64,241.71,242.25,655381
112,2021-11-01,247.87,252.49,247.37,250.22,490186
113,2021-10-29,251.31,253.86,246.245,247.41,831632
114,2021-10-28,263.15,263.15,249.55,252.23,853717
115,2021-10-27,275.11,275.11,260.605,262.71,944542
116,2021-10-26,281.8,282.02,275.56,275.63,404628
117,2021-10-25,278.31,281.61,277.11,280.97,352759
118,2021-10-22,278.89,280.35,275.55,277.32,266453
119,2021-10-21,273.95,278.06,272.105,277.34,370653
120,2021-10-20,274.74,275.63,271.95,274.88,237566
121,2021-10-19,270.18,278.35,269.49,275.41,585741
122,2021-10-18,272.22,272.22,268.17,269.07,579797
123,2021-10-15,263.14,272.79,262.64,272.26,552858
124,2021-10-14,260.29,261.88,259.14,261.01,647209
125,2021-10-13,254.85,257.91,251.88,257.44,616557
126,2021-10-12,253.96,256.78,251.35,255.15,389862
127,2021-10-11,262.39,262.47,254.92,254.97,272488
128,2021-10-08,263.94,266.0,262.3,262.55,306513
129,2021-10-07,262.57,265.55,262.57,263.78,387407
130,2021-10-06,257.04,261.06,254.11,260.79,399988
131,2021-10-05,261.31,263.78,260.075,260.92,481774
132,2021-10-04,265.34,267.41,261.08,261.57,316081
133,2021-10-01,263.45,269.03,262.35,266.7,306406
134,2021-09-30,267.36,267.98,261.25,261.27,437996
135,2021-09-29,266.4,267.77,264.68,265.92,287343
136,2021-09-28,270.02,272.0574,266.22,266.76,463608
137,2021-09-27,268.27,272.33,267.97,270.32,604804
138,2021-09-24,264.39,267.97,263.75,267.11,385729
139,2021-09-23,258.32,265.17,258.32,264.52,456407
140,2021-09-22,254.84,257.71,253.51,256.89,379312
141,2021-09-21,256.79,256.79,251.18,252.29,284606
142,2021-09-20,254.23,255.52,251.66,255.04,302271
143,2021-09-17,260.86,260.99,257.21,258.24,591365
144,2021-09-16,260.15,262.5,258.18,261.38,293672
145,2021-09-15,255.61,259.99,252.98,259.83,580330
146,2021-09-14,260.76,261.66,253.94,255.75,586471
147,2021-09-13,262.88,264.42,259.93,260.01,553405
148,2021-09-10,266.68,267.61,260.495,260.75,491853
149,2021-09-09,263.15,267.5,262.955,264.6,316666
150,2021-09-08,260.28,263.84,259.84,263.58,319105
151,2021-09-07,261.87,262.55,259.73,260.24,274406
152,2021-09-03,261.76,262.675,260.44,261.92,339719
153,2021-09-02,264.4,265.0,261.28,262.56,295088
154,2021-09-01,264.81,265.95,263.31,263.86,289254
155,2021-08-31,259.97,263.49,259.97,263.28,454698
156,2021-08-30,262.91,262.91,259.09,260.09,586640
157,2021-08-27,257.93,262.43,257.305,261.84,382641
158,2021-08-26,262.26,262.26,256.67,256.81,369655
159,2021-08-25,263.27,264.46,260.8,262.29,446803
160,2021-08-24,261.72,265.63,261.41,263.86,606769
161,2021-08-23,259.63,261.78,259.11,261.23,263209
162,2021-08-20,254.67,258.03,253.37,257.83,459929
163,2021-08-19,256.3,258.35,252.885,255.15,556588
164,2021-08-18,261.07,264.32,258.4,258.46,520433
165,2021-08-17,259.4,262.01,256.96,261.4,526971
166,2021-08-16,260.64,262.07,257.32,261.12,536259
167,2021-08-13,259.48,265.24,258.24,262.49,765055
168,2021-08-12,256.89,261.285,253.29,259.0,971839
169,2021-08-11,243.22,258.52,240.17,257.86,1869656
170,2021-08-10,261.41,265.165,260.06,263.61,979730
171,2021-08-09,265.31,265.88,261.99,262.27,976321
172,2021-08-06,261.08,268.19,259.98,267.05,821763
173,2021-08-05,259.89,265.0,254.31,260.79,1052907
174,2021-08-04,249.64,251.3,245.79,247.6,712167
175,2021-08-03,255.83,255.83,245.94,251.29,615702
176,2021-08-02,260.27,261.89,253.59,253.98,503848
177,2021-07-30,256.15,260.8,256.15,258.22,453017
178,2021-07-29,256.8,263.215,256.8,259.98,506339
179,2021-07-28,257.98,259.16,255.02,256.79,584780
180,2021-07-27,254.76,259.612,254.47,256.94,424616
181,2021-07-26,256.67,257.46,255.525,256.55,391623
182,2021-07-23,256.51,259.965,255.47,257.08,557763
183,2021-07-22,255.68,256.55,251.24,254.19,498921
184,2021-07-21,252.68,256.135,251.9,254.83,581632
185,2021-07-20,246.63,252.73,246.63,250.59,407688
186,2021-07-19,251.0,251.985,242.38,245.6,1082976
187,2021-07-16,258.66,258.66,254.59,255.18,441502
188,2021-07-15,254.49,257.87,254.26,256.81,453332
189,2021-07-14,252.96,258.565,252.58,256.73,1194861
190,2021-07-13,251.89,253.73,250.88,251.31,567916
191,2021-07-12,251.11,255.29,250.64,253.0,741325
192,2021-07-09,253.33,254.25,252.32,253.03,573254
193,2021-07-08,253.37,254.86,250.37,250.97,708708
194,2021-07-07,256.88,258.42,252.4,256.69,694690
195,2021-07-06,259.33,260.49,254.455,256.46,1165829
196,2021-07-02,257.65,260.97,257.25,259.5,1325729
197,2021-07-01,257.51,258.91,255.65,256.51,1050501
198,2021-06-30,253.23,257.91,252.83,256.06,1344442
199,2021-06-29,256.5,256.885,253.0,253.55,763609
200,2021-06-28,262.99,262.99,253.24,255.08,660540
201,2021-06-25,257.17,263.99,256.49,262.34,3339496
202,2021-06-24,257.57,257.57,254.8,256.63,1329866
203,2021-06-23,262.61,262.97,255.15,255.2,949742
204,2021-06-22,263.98,264.61,259.75,262.2,1424037
205,2021-06-21,261.1,266.72,261.1,263.0,2437848
206,2021-06-18,260.46,262.81,259.03,260.0,979972
207,2021-06-17,265.79,268.5,262.99,263.0,990868
208,2021-06-16,272.24,273.275,265.775,266.19,833056
209,2021-06-15,270.23,273.84,269.13,272.71,626985
210,2021-06-14,271.85,271.85,268.93,270.05,550159
211,2021-06-11,273.39,273.44,271.63,271.88,292980
212,2021-06-10,272.79,272.79,270.06,271.42,330040
213,2021-06-09,272.79,273.54,271.22,271.23,215724
214,2021-06-08,272.8,272.94,270.49,271.43,404812
215,2021-06-07,276.77,278.41,271.5,272.51,333451
216,2021-06-04,278.53,278.745,275.51,277.0,208879
217,2021-06-03,275.81,277.76,274.1,277.29,249581
218,2021-06-02,279.37,281.09,277.97,278.45,316821
219,2021-06-01,277.17,278.43,276.01,276.6,372044
220,2021-05-28,275.64,276.39,273.09,274.44,372036
221,2021-05-27,271.98,274.95,270.85,274.29,1045080
222,2021-05-26,271.58,273.08,270.26,271.36,347842
223,2021-05-25,273.88,274.68,271.85,272.2,345084
224,2021-05-24,273.58,275.21,272.55,273.02,272130
225,2021-05-21,276.47,277.03,270.87,271.73,327910
226,2021-05-20,272.68,275.9,272.115,274.42,355901
227,2021-05-19,264.98,272.5165,264.39,272.08,652161
228,2021-05-18,271.68,273.75,268.65,268.9,488188
229,2021-05-17,271.61,272.46,268.8,272.07,287088
230,2021-05-14,270.19,274.88,270.12,272.93,349823
231,2021-05-13,268.5,271.845,267.03,268.7,511865
232,2021-05-12,277.11,278.77,267.84,268.02,1345127
233,2021-05-11,280.07,281.11,274.6636,277.91,1073679
234,2021-05-10,285.88,288.25,283.1,283.19,499783
235,2021-05-07,286.14,290.14,284.19,285.66,528194
236,2021-05-06,286.87,289.055,274.96,286.45,862841
237,2021-05-05,295.09,295.19,288.66,289.04,554600
238,2021-05-04,291.65,293.58,287.21,292.93,854033
239,2021-05-03,289.76,294.48,288.78,293.44,670205
240,2021-04-30,286.05,288.795,283.68,287.72,477206
241,2021-04-29,295.36,295.36,285.65,287.74,360488
242,2021-04-28,290.09,293.84,290.09,292.84,217291
243,2021-04-27,290.98,291.0,288.39,289.78,247192
244,2021-04-26,291.37,295.17,289.77,291.14,273649
245,2021-04-23,289.57,293.09,288.95,291.37,293352
246,2021-04-22,287.38,291.45,286.82,288.66,287810
247,2021-04-21,285.26,288.505,283.78,287.86,265063
248,2021-04-20,288.78,290.27,284.42,284.75,277188
249,2021-04-19,291.58,292.52,290.215,290.9,261860
250,2021-04-16,292.66,295.0,290.125,291.46,298202
251,2021-04-15,290.25,293.57,290.25,291.23,340717
252,2021-04-14,286.68,290.41,286.508,287.53,266588
253,2021-04-13,284.96,289.05,284.5377,286.26,300753
254,2021-04-12,286.68,288.35,284.61,286.96,302532
255,2021-04-09,283.28,286.58,282.735,286.42,372766
256,2021-04-08,281.93,285.3,281.84,283.29,305500
257,2021-04-07,279.46,283.78,279.405,281.27,337011
258,2021-04-06,279.56,280.92,278.17,279.12,299002
259,2021-04-05,282.07,283.76,279.48,280.95,392541
260,2021-04-01,273.32,279.67,271.755,279.5,507028
261,2021-03-31,276.41,278.86,268.535,268.63,696007
