,timestamp,open,high,low,close,volume
0,2022-04-12,137.02,139.0454,136.64,137.16,761256
1,2022-04-11,138.46,139.09,135.95,136.58,829004
2,2022-04-08,136.76,138.75,135.6125,138.4,960155
3,2022-04-07,134.62,136.43,133.73,135.83,748252
4,2022-04-06,134.18,135.079,132.7485,134.0,977128
5,2022-04-05,132.99,135.5,132.52,133.7,1573986
6,2022-04-04,131.52,132.66,129.58,132.21,928462
7,2022-04-01,132.74,133.62,130.12,131.13,1031965
8,2022-03-31,130.93,133.48,130.68,131.57,1793732
9,2022-03-30,131.01,136.4078,130.7,132.77,1387712
10,2022-03-29,134.0,135.345,128.14,130.7,2136829
11,2022-03-28,135.87,136.55,134.08,135.95,1074834
12,2022-03-25,133.68,136.63,133.68,136.55,905312
13,2022-03-24,132.0,134.13,131.37,133.85,1290442
14,2022-03-23,131.21,131.54,129.2,131.26,1141727
15,2022-03-22,130.4,132.79,130.2,130.53,1208347
16,2022-03-21,130.94,131.54,129.57,131.4,1449953
17,2022-03-18,129.55,129.72,127.235,129.44,1980833
18,2022-03-17,125.68,129.65,125.1954,129.64,1067321
19,2022-03-16,128.09,129.54,123.69,126.13,1830815
20,2022-03-15,126.17,127.92,125.605,127.68,1746556
21,2022-03-14,124.82,126.71,122.96,126.01,1640638
22,2022-03-11,123.65,126.13,123.22,123.27,893278
23,2022-03-10,119.12,124.94,118.51,124.42,1305541
24,2022-03-09,118.62,120.67,118.4,120.0,982005
25,2022-03-08,118.37,119.375,115.75,117.46,1014953
26,2022-03-07,121.85,122.83,117.98,118.91,1347486
27,2022-03-04,119.36,121.34,118.89,121.28,1023087
28,2022-03-03,120.35,121.33,119.01,120.65,723254
29,2022-03-02,117.24,120.45,116.39,119.56,1079412
30,2022-03-01,117.2,117.69,114.81,116.09,1158667
31,2022-02-28,115.76,117.27,114.6,117.25,1212958
32,2022-02-25,115.89,118.15,114.79,117.97,721191
33,2022-02-24,112.44,115.2,111.42,114.9,942327
34,2022-02-23,116.12,117.15,114.39,114.69,792825
35,2022-02-22,116.4,117.705,114.9285,116.16,557584
36,2022-02-18,118.4,119.88,116.84,116.89,840769
37,2022-02-17,118.33,119.91,117.67,118.11,454494
38,2022-02-16,117.63,119.71,117.16,119.59,702466
39,2022-02-15,116.75,118.16,115.92,117.78,556879
40,2022-02-14,117.51,118.0,114.63,115.75,610396
41,2022-02-11,117.44,119.325,116.795,117.87,913463
42,2022-02-10,117.64,120.57,116.94,117.3,1164537
43,2022-02-09,113.36,119.605,112.76,117.38,2106029
44,2022-02-08,108.73,111.26,108.23,111.18,1026968
45,2022-02-07,110.63,110.89,108.21,108.22,871456
46,2022-02-04,110.14,111.18,109.39,110.23,679868
47,2022-02-03,111.82,112.8,110.51,110.7,687364
48,2022-02-02,111.5,113.05,110.58,112.65,887481
49,2022-02-01,110.43,111.76,108.9,111.55,847511
50,2022-01-31,108.65,110.56,108.06,110.37,891927
51,2022-01-28,107.84,108.63,105.9,108.5,607245
52,2022-01-27,108.83,110.625,106.93,108.09,705037
53,2022-01-26,108.41,110.1,106.33,107.35,454648
54,2022-01-25,105.56,108.72,103.57,107.62,630356
55,2022-01-24,107.0,107.63,104.15,107.4,922420
56,2022-01-21,109.0,111.4,108.2,108.85,870078
57,2022-01-20,111.48,112.36,109.06,109.29,619094
58,2022-01-19,111.31,112.5491,110.52,111.05,491314
59,2022-01-18,113.14,113.32,110.09,110.71,890334
60,2022-01-14,112.35,114.22,112.28,114.1,767157
61,2022-01-13,111.4,114.51,111.1,113.49,938564
62,2022-01-12,111.23,112.01,110.1,111.24,566250
63,2022-01-11,108.37,109.54,107.48,109.39,528070
64,2022-01-10,107.81,107.81,106.11,107.4,632573
65,2022-01-07,108.16,108.55,107.19,108.21,669151
66,2022-01-06,110.08,110.36,107.89,107.9,716156
67,2022-01-05,111.87,112.31,108.86,109.0,770350
68,2022-01-04,109.61,111.88,109.61,111.21,928770
69,2022-01-03,110.56,111.58,110.05,110.15,674585
70,2021-12-31,109.45,110.34,109.12,109.89,433782
71,2021-12-30,109.03,110.0,108.4765,109.39,422453
72,2021-12-29,109.52,110.0,109.115,109.4,339420
73,2021-12-28,108.73,110.0,108.7201,109.57,517738
74,2021-12-27,109.07,109.47,107.93,108.95,512593
75,2021-12-23,107.76,109.685,107.57,109.12,730306
76,2021-12-22,105.5,107.74,105.25,107.5,707055
77,2021-12-21,103.21,106.16,102.94,105.78,922694
