,timestamp,open,high,low,close,volume
0,2022-04-12,136.57,137.67,134.09,135.07,1400849
1,2022-04-11,134.0,137.195,133.66,136.21,1202405
2,2022-04-08,134.05,136.25,133.04,134.91,1502291
3,2022-04-07,138.1,138.11,132.46,134.61,2330422
4,2022-04-06,138.17,139.7,136.4111,138.9,2152954
5,2022-04-05,140.79,141.44,138.85,139.39,1429086
6,2022-04-04,139.79,141.59,139.74,140.5,1676419
7,2022-04-01,137.88,139.93,136.58,139.78,1546358
8,2022-03-31,136.79,139.08,135.8,136.84,1799366
9,2022-03-30,139.6,140.255,136.02,137.52,1937918
10,2022-03-29,138.75,141.565,137.995,140.39,2033599
11,2022-03-28,136.07,136.346,133.41,135.51,1410157
12,2022-03-25,135.63,136.35,134.725,136.19,1632203
13,2022-03-24,134.18,135.41,133.58,134.93,1117748
14,2022-03-23,135.62,136.53,133.77,134.24,1605699
15,2022-03-22,135.31,138.387,135.09,136.95,1752151
16,2022-03-21,134.99,135.35,133.24,134.4,1784680
17,2022-03-18,132.99,135.17,132.27,135.0,3165860
18,2022-03-17,131.52,133.48,130.33,133.43,1674022
19,2022-03-16,130.66,133.59,129.89,133.55,1509137
20,2022-03-15,127.99,129.5,126.15,128.5,1530567
21,2022-03-14,127.57,129.6646,126.21,127.09,1197158
22,2022-03-11,128.88,128.88,126.61,126.99,1131036
23,2022-03-10,124.74,127.51,124.74,127.12,1145949
24,2022-03-09,126.9,128.595,126.24,128.1,1379917
25,2022-03-08,121.72,127.07,120.98,123.21,2031214
26,2022-03-07,127.71,127.955,122.59,122.65,2637021
27,2022-03-04,129.78,130.75,125.41,128.03,2907694
28,2022-03-03,136.43,136.72,129.73,130.48,2081148
29,2022-03-02,128.69,136.34,128.69,135.82,2805977
30,2022-03-01,132.63,134.19,127.74,128.92,2283961
31,2022-02-28,134.96,136.05,131.47,133.38,3116345
32,2022-02-25,135.48,138.42,134.025,137.59,1733221
33,2022-02-24,129.8,135.69,128.5,135.47,3698047
34,2022-02-23,136.3,137.01,133.2,133.52,1899799
35,2022-02-22,135.29,137.38,134.38,136.02,2169036
36,2022-02-18,137.75,138.55,135.3,136.62,2104972
37,2022-02-17,142.46,142.97,137.65,137.81,2332624
38,2022-02-16,143.6,144.96,142.43,144.29,2156485
39,2022-02-15,145.83,147.36,142.89,143.94,3163605
40,2022-02-14,146.72,148.53,145.6244,146.96,1830450
41,2022-02-11,146.47,150.14,145.92,146.7,2151377
42,2022-02-10,142.545,152.99,142.03,145.53,2917870
43,2022-02-09,146.27,148.14,145.26,146.37,2496148
44,2022-02-08,144.39,144.535,140.3,144.02,3110877
45,2022-02-07,146.39,148.29,144.37,146.87,1919671
46,2022-02-04,143.09,146.77,142.39,145.79,2327190
47,2022-02-03,148.63,149.44,144.32,144.53,2325525
48,2022-02-02,152.0,152.96,149.52,150.83,2046568
49,2022-02-01,149.17,152.28,148.16,151.62,1769624
50,2022-01-31,145.38,149.95,144.955,149.88,2411424
51,2022-01-28,141.16,147.33,141.07,147.33,2942070
52,2022-01-27,141.88,144.59,139.37,141.03,2578492
53,2022-01-26,141.77,144.52,139.34,140.48,2492080
54,2022-01-25,138.52,141.05,135.15,139.5,2059321
55,2022-01-24,138.0,141.1,134.8001,140.81,3157589
56,2022-01-21,146.33,146.33,140.62,140.77,2420361
57,2022-01-20,146.0,149.38,144.58,144.86,1737674
58,2022-01-19,147.08,148.93,145.74,145.86,1785016
59,2022-01-18,149.54,151.0,145.43,147.1,2217219
60,2022-01-14,147.802,150.67,147.54,150.55,2064679
61,2022-01-13,148.75,151.785,148.65,149.24,1565307
62,2022-01-12,148.73,149.87,144.95,148.73,1678739
63,2022-01-11,147.5,149.88,145.76,149.1,2393581
64,2022-01-10,150.78,151.38,143.36,147.01,2505452
65,2022-01-07,150.06,153.76,149.857,150.2,2698090
66,2022-01-06,148.03,153.57,147.53,151.26,4486825
67,2022-01-05,145.43,151.35,145.0,146.42,5054514
68,2022-01-04,143.18,146.44,140.75,145.43,3985050
69,2022-01-03,135.73,142.12,135.585,141.7,3071597
70,2021-12-31,135.2,137.15,134.78,135.18,1292915
71,2021-12-30,134.25,137.79,134.18,136.29,2026497
72,2021-12-29,134.82,136.14,133.86,134.24,1005307
73,2021-12-28,132.72,136.69,132.13,135.15,1217341
74,2021-12-27,135.15,135.27,131.65,133.54,1679252
75,2021-12-23,134.35,136.39,134.0,135.37,2064645
76,2021-12-22,132.99,135.6,132.13,134.84,2516192
77,2021-12-21,125.0,132.79,124.1296,131.85,3160931
78,2021-12-20,125.15,125.51,122.04,123.67,2769083
79,2021-12-17,126.31,128.84,123.28,128.07,3410233
80,2021-12-16,129.98,130.01,126.06,126.88,2910150
81,2021-12-15,129.28,129.82,125.74,128.06,1878168
82,2021-12-14,126.17,129.6,125.5,128.23,2962393
83,2021-12-13,125.54,128.0,125.1,126.95,1985038
84,2021-12-10,125.56,127.46,124.27,125.8,2280739
85,2021-12-09,129.25,131.29,127.11,127.37,2652725
86,2021-12-08,129.33,132.31,128.33,130.11,1743373
87,2021-12-07,128.0,132.5,128.0,129.77,3593756
88,2021-12-06,121.28,128.91,120.38,127.03,4235176
89,2021-12-03,122.2,122.51,118.08,120.27,3486828
