,timestamp,open,high,low,close,volume
0,2022-04-12,479.89,484.4899,461.17,461.62,1509719
1,2022-04-11,478.37,478.63,464.74,473.34,1595587
2,2022-04-08,493.32,493.32,481.5142,482.84,1712811
3,2022-04-07,484.62,498.45,484.23,495.01,1568187
4,2022-04-06,485.27,493.59,482.0843,490.21,2041374
5,2022-04-05,501.905,506.355,491.0,496.05,1598804
6,2022-04-04,485.38,507.71,485.0001,505.65,2326754
7,2022-04-01,480.64,487.49,477.07,483.93,1316214
8,2022-03-31,477.67,488.86,473.57,480.84,2647909
9,2022-03-30,480.96,481.52,468.22,471.95,1747841
10,2022-03-29,488.13,490.09,475.8,485.36,1918126
11,2022-03-28,460.54,481.705,458.2,480.5,2085040
12,2022-03-25,467.52,469.04,452.82,459.35,1312143
13,2022-03-24,464.16,467.22,453.04,465.63,1567165
14,2022-03-23,471.17,471.98,459.75,461.44,1718673
15,2022-03-22,466.46,478.705,465.98,475.99,1977656
16,2022-03-21,473.07,476.495,463.56,466.5,2041214
17,2022-03-18,475.69,483.315,467.86,479.87,3068210
18,2022-03-17,454.83,475.0,453.23,473.75,2680697
19,2022-03-16,445.0,457.9,437.99,457.9,2487526
20,2022-03-15,427.8,441.49,425.54,439.68,1953415
21,2022-03-14,439.92,445.28,423.03,424.63,2353906
22,2022-03-11,457.57,461.9,438.51,439.32,2303338
23,2022-03-10,460.15,460.15,443.34,452.37,1756284
24,2022-03-09,456.48,469.96,452.001,464.74,1950593
25,2022-03-08,438.43,455.25,432.15,442.21,2668961
26,2022-03-07,464.22,466.74,436.51,437.39,2312735
27,2022-03-04,470.81,474.63,460.96,464.95,1611860
28,2022-03-03,490.15,492.87,468.985,472.7,1640356
29,2022-03-02,472.11,489.3386,468.0,486.0,2083149
30,2022-03-01,476.13,484.56,465.85,468.58,2176743
31,2022-02-28,478.84,484.46,463.394,474.37,2525365
32,2022-02-25,489.025,492.13,474.61,487.18,2846463
33,2022-02-24,458.0,498.3,450.26,497.13,2683667
34,2022-02-23,491.91,491.91,465.55,467.0,1799540
35,2022-02-22,479.93,494.37,476.87,483.25,2202773
36,2022-02-18,497.695,498.67,478.75,481.2,2323266
37,2022-02-17,523.28,525.9,494.72,496.18,2145443
38,2022-02-16,525.97,530.425,511.7052,528.15,1318418
