,timestamp,open,high,low,close,volume
0,2022-04-12,55.61,56.82,55.56,55.95,1817565
1,2022-04-11,55.88,56.15,54.93,55.53,1068932
2,2022-04-08,55.7,56.28,55.17,55.93,1259177
3,2022-04-07,55.77,56.43,55.423,55.65,1468154
4,2022-04-06,55.02,56.2,54.62,56.17,1679749
5,2022-04-05,55.72,56.37,55.18,55.27,1512662
6,2022-04-04,56.23,56.25,55.27,55.83,1406757
7,2022-04-01,55.58,56.35,55.07,56.23,1889664
8,2022-03-31,55.6,56.51,55.15,55.41,2774988
9,2022-03-30,54.98,55.49,54.5501,55.46,1782134
10,2022-03-29,53.98,55.18,53.84,55.12,2492142
11,2022-03-28,53.19,53.8225,53.05,53.68,1117848
12,2022-03-25,52.75,53.39,52.46,53.34,1156498
13,2022-03-24,52.02,52.89,51.74,52.49,1707548
14,2022-03-23,50.99,52.39,50.56,52.15,2689556
15,2022-03-22,50.4,51.25,50.012,50.95,2117668
16,2022-03-21,49.49,50.6,49.49,50.15,1548755
17,2022-03-18,49.24,49.61,48.92,49.47,3023386
18,2022-03-17,49.17,49.82,48.91,49.57,1168076
19,2022-03-16,49.0,49.43,47.89,49.11,2040525
20,2022-03-15,48.12,48.91,47.7,48.68,2240251
21,2022-03-14,49.36,49.52,47.2306,48.03,3168159
22,2022-03-11,51.62,51.97,50.485,50.53,1649349
23,2022-03-10,50.72,51.48,50.27,51.39,1440312
24,2022-03-09,51.31,51.97,51.0,51.09,1482021
25,2022-03-08,51.0,51.91,50.56,50.74,2540234
26,2022-03-07,52.0,52.18,50.93,51.07,2120076
27,2022-03-04,51.36,52.22,50.92,52.14,2218844
28,2022-03-03,50.76,51.94,50.47,51.73,2169426
29,2022-03-02,49.67,50.805,49.21,50.48,2713601
30,2022-03-01,49.53,50.15,49.07,49.67,2963799
31,2022-02-28,47.83,49.78,47.4,49.18,3937051
32,2022-02-25,46.47,48.91,46.0,48.67,3710777
33,2022-02-24,41.9,45.55,41.67,45.43,3370382
34,2022-02-23,42.84,43.29,42.095,42.24,2109055
35,2022-02-22,42.79,43.29,42.17,42.68,2195312
36,2022-02-18,43.46,43.84,42.96,43.01,1659905
37,2022-02-17,43.91,44.07,43.47,43.57,1049453
38,2022-02-16,43.78,44.29,43.67,44.01,1551567
39,2022-02-15,44.26,44.52,43.55,43.75,1443347
40,2022-02-14,44.29,44.54,43.49,43.65,1467838
41,2022-02-11,44.77,45.18,44.08,44.43,1570360
42,2022-02-10,45.49,46.01,44.64,44.77,1380334
43,2022-02-09,45.31,46.09,45.31,46.07,1734321
44,2022-02-08,45.2,45.23,44.27,44.75,1951169
45,2022-02-07,45.6,45.8539,45.13,45.27,1209312
46,2022-02-04,45.59,46.25,45.185,45.64,1569186
47,2022-02-03,46.3,46.49,45.73,45.89,1571195
48,2022-02-02,46.35,46.91,46.2301,46.64,1785344
49,2022-02-01,46.0,46.34,45.61,46.12,2391828
50,2022-01-31,44.74,46.29,44.68,45.92,9852707
51,2022-01-28,43.68,45.03,42.91,45.0,2579528
52,2022-01-27,44.63,44.92,43.39,43.66,1635397
53,2022-01-26,44.36,45.32,43.81,44.28,3234531
54,2022-01-25,43.87,44.368,43.08,44.02,2831020
55,2022-01-24,42.88,44.57,42.05,44.37,3290664
56,2022-01-21,42.71,43.99,42.54,43.35,3470575
57,2022-01-20,43.16,43.67,42.55,42.59,2076735
58,2022-01-19,44.33,44.69,43.21,43.24,2265467
59,2022-01-18,44.39,44.52,43.72,44.09,2626706
60,2022-01-14,45.34,45.41,44.12,44.77,2834841
61,2022-01-13,46.83,47.35,45.54,45.7,2587293
62,2022-01-12,46.38,47.17,46.285,46.76,2084504
63,2022-01-11,46.74,46.86,45.75,46.38,2896320
64,2022-01-10,46.71,46.925,45.63,46.68,4167759
65,2022-01-07,46.7,47.1,46.5072,46.79,3016640
66,2022-01-06,48.6,48.6,46.57,46.77,4013101
67,2022-01-05,50.5,50.64,48.35,48.5,3041887
68,2022-01-04,51.46,51.96,50.7,50.75,2050451
69,2022-01-03,52.47,52.5,50.4101,51.32,2275176
70,2021-12-31,52.58,53.14,52.31,52.33,1204343
71,2021-12-30,52.86,52.98,52.205,52.54,1366865
72,2021-12-29,53.0,53.0,52.395,52.76,931252
73,2021-12-28,52.29,52.85,51.95,52.77,830639
74,2021-12-27,51.25,52.5,51.16,52.49,2029731
75,2021-12-23,51.95,52.04,50.92,51.3,1200538
76,2021-12-22,51.58,51.88,51.04,51.63,2041566
77,2021-12-21,51.05,51.73,50.94,51.51,3188816
78,2021-12-20,50.46,51.0625,49.62,50.95,2001991
79,2021-12-17,50.64,51.78,50.23,51.25,4003718
80,2021-12-16,49.7,50.81,49.52,50.7,2917861
81,2021-12-15,48.41,49.69,48.05,49.53,2467036
82,2021-12-14,49.01,49.4,47.43,48.3,2576897
83,2021-12-13,48.5,49.75,48.39,49.56,2308091
84,2021-12-10,48.0,48.53,47.48,48.42,1501331
85,2021-12-09,47.9,48.06,47.06,47.28,1274055
86,2021-12-08,48.11,48.3357,47.8039,47.91,1103579
87,2021-12-07,47.44,48.125,46.85,48.06,1471971
88,2021-12-06,47.71,47.77,46.98,47.13,1441549
89,2021-12-03,47.18,47.35,46.31,47.09,1462384
90,2021-12-02,45.28,47.47,45.28,47.03,2229816
91,2021-12-01,45.96,47.35,45.1,45.13,2409617
92,2021-11-30,46.62,47.13,45.32,45.44,4055018
93,2021-11-29,46.98,47.39,46.64,46.86,1387032
94,2021-11-26,46.85,47.36,46.46,46.69,726642
95,2021-11-24,46.84,47.55,46.73,47.47,798267
96,2021-11-23,46.87,46.9999,46.21,46.85,1241201
97,2021-11-22,46.61,47.28,46.41,46.75,1774079
98,2021-11-19,47.42,47.78,46.45,46.61,1430819
99,2021-11-18,47.34,47.7,46.93,47.41,1433090
100,2021-11-17,47.53,47.77,46.405,47.16,1716230
101,2021-11-16,48.8,48.828,47.6201,47.68,1464366
102,2021-11-15,47.82,49.0,47.69,48.96,1750289
103,2021-11-12,47.94,47.98,47.35,47.55,690541
104,2021-11-11,47.37,48.095,47.26,47.87,726357
105,2021-11-10,47.5,48.06,47.375,47.41,1187471
106,2021-11-09,46.95,47.67,46.39,47.58,1288121
107,2021-11-08,48.0,48.0458,46.785,47.1,2292770
108,2021-11-05,46.58,47.89,46.555,47.65,1819601
109,2021-11-04,48.5,49.4,45.64,46.22,4166209
110,2021-11-03,46.81,48.43,46.71,48.23,2568186
111,2021-11-02,46.0,47.08,45.43,46.68,2045155
112,2021-11-01,45.68,46.09,44.7402,45.93,1287113
113,2021-10-29,46.38,46.57,45.34,45.64,1943665
114,2021-10-28,45.73,46.74,45.65,46.42,1121542
115,2021-10-27,46.42,46.66,45.58,45.66,1049307
116,2021-10-26,46.02,46.43,45.665,46.24,1379149
