,timestamp,open,high,low,close,volume
0,2022-04-12,11.48,11.55,11.33,11.4,6967539
1,2022-04-11,11.37,11.62,11.33,11.4,9056143
2,2022-04-08,11.33,11.47,11.23,11.36,7882573
3,2022-04-07,11.31,11.51,11.16,11.4,8684723
4,2022-04-06,11.22,11.395,11.07,11.29,12045580
5,2022-04-05,11.52,11.68,11.275,11.28,11410623
6,2022-04-04,11.46,11.585,11.39,11.53,7891013
7,2022-04-01,11.34,11.52,11.16,11.51,9367671
8,2022-03-31,11.38,11.45,11.24,11.27,9076825
9,2022-03-30,11.32,11.54,11.25,11.38,9149439
10,2022-03-29,11.2,11.365,11.15,11.33,8095069
11,2022-03-28,11.19,11.21,10.94,11.21,10243682
12,2022-03-25,10.93,11.45,10.89,11.4,10672773
13,2022-03-24,10.89,10.95,10.79,10.89,7265732
14,2022-03-23,10.98,11.14,10.83,10.87,7396520
15,2022-03-22,11.03,11.09,10.805,10.96,9575139
16,2022-03-21,11.1,11.25,10.92,10.96,9504232
17,2022-03-18,10.87,11.15,10.78,11.09,24612345
18,2022-03-17,10.82,10.88,10.63,10.81,8643357
19,2022-03-16,10.8,10.9,10.61,10.82,10680571
20,2022-03-15,10.75,10.86,10.55,10.78,11724143
21,2022-03-14,10.81,10.85,10.54,10.71,9641428
22,2022-03-11,10.64,10.93,10.605,10.68,11398091
23,2022-03-10,10.58,10.77,10.41,10.59,15140135
24,2022-03-09,11.02,11.0901,10.565,10.62,20667103
25,2022-03-08,10.66,11.335,10.63,10.95,35183089
26,2022-03-07,10.18,10.69,10.145,10.68,17964673
27,2022-03-04,10.6,10.77,10.44,10.55,12723054
28,2022-03-03,10.47,10.78,10.4,10.73,15882022
29,2022-03-02,10.51,10.52,10.26,10.34,14279088
30,2022-03-01,10.35,10.52,10.2,10.42,14022663
31,2022-02-28,9.95,10.4,9.93,10.36,22138799
32,2022-02-25,9.68,10.27,9.68,10.09,16774350
33,2022-02-24,9.45,9.74,9.31,9.73,20977355
34,2022-02-23,9.8,9.885,9.58,9.62,18129079
35,2022-02-22,9.85,9.99,9.59,9.78,19626392
36,2022-02-18,9.71,9.96,9.66,9.94,17721157
37,2022-02-17,9.89,9.92,9.72,9.78,17434912
38,2022-02-16,9.94,10.05,9.82,9.86,19874101
39,2022-02-15,9.98,10.11,9.88,10.04,24005988
40,2022-02-14,10.0,10.14,9.72,9.91,34493278
41,2022-02-11,10.92,10.92,10.08,10.09,49941410
42,2022-02-10,11.17,11.25,10.74,10.83,65355771
43,2022-02-09,12.66,12.8658,12.63,12.82,20512911
44,2022-02-08,12.62,12.69,12.51,12.68,13099186
