,timestamp,open,high,low,close,volume
0,2022-04-12,98.51,99.59,92.24,94.13,3753600
1,2022-04-11,99.83,100.75,95.37,96.5,3789978
2,2022-04-08,101.61,103.035,99.98,100.48,1582281
3,2022-04-07,103.48,104.69,100.24,102.4,1712138
4,2022-04-06,105.75,106.66,102.59,104.4,1612205
5,2022-04-05,113.45,114.355,107.485,107.96,1745991
6,2022-04-04,110.14,114.064,109.345,113.34,1781313
7,2022-04-01,109.63,112.64,108.1,109.02,1894778
8,2022-03-31,110.41,111.85,108.65,108.74,2422044
9,2022-03-30,109.81,111.13,109.01,110.72,2420287
10,2022-03-29,109.44,111.55,107.517,111.16,1714078
11,2022-03-28,107.2,109.66,104.465,107.81,1509361
12,2022-03-25,106.28,107.13,104.5,106.73,2416046
13,2022-03-24,105.88,107.24,102.37,107.06,2221981
14,2022-03-23,103.05,106.69,102.08,102.49,2205466
15,2022-03-22,100.03,105.86,99.8,104.31,2750997
16,2022-03-21,101.57,102.68,98.585,100.03,2886859
17,2022-03-18,94.96,102.98,94.45,102.69,7007288
18,2022-03-17,91.25,95.71,89.8389,95.26,2794049
19,2022-03-16,90.33,93.115,88.62,92.36,5700587
20,2022-03-15,86.2,87.845,84.75,87.57,3642294
21,2022-03-14,87.83,90.21,84.51,85.06,3173801
22,2022-03-11,98.08,98.08,88.34,88.45,3162002
23,2022-03-10,96.84,97.99,94.09,94.91,2462202
24,2022-03-09,95.06,100.57,93.75,98.93,5407345
25,2022-03-08,88.64,90.13,84.2,87.7,8193451
26,2022-03-07,96.53,97.82,89.15,89.18,4521277
27,2022-03-04,102.77,103.48,95.74,96.59,4247628
28,2022-03-03,110.93,110.93,102.14,102.99,2516863
29,2022-03-02,110.79,111.01,107.33,109.23,2635237
30,2022-03-01,111.49,114.0,109.43,110.42,1795533
31,2022-02-28,112.24,114.02,110.24,111.49,2429334
32,2022-02-25,113.27,113.87,108.17,113.22,2682137
33,2022-02-24,101.28,113.55,100.6,113.04,2736393
34,2022-02-23,107.74,108.01,104.26,104.54,3741718
35,2022-02-22,106.82,109.3492,106.01,107.16,2261024
36,2022-02-18,111.91,112.16,106.61,107.56,2839896
37,2022-02-17,115.01,116.42,111.44,111.88,2329356
38,2022-02-16,116.055,117.96,114.782,117.33,2017910
