,timestamp,open,high,low,close,volume
0,2022-04-12,71.61,72.16,71.19,71.92,4184955
1,2022-04-11,72.43,72.64,71.48,71.73,3038155
2,2022-04-08,71.96,72.3,70.965,72.09,3573822
3,2022-04-07,72.08,72.19,71.44,71.61,2302170
4,2022-04-06,70.85,72.23,70.73,72.08,2939576
5,2022-04-05,70.42,71.43,70.23,70.56,1743160
6,2022-04-04,70.65,71.06,69.72,70.29,1692766
7,2022-04-01,70.37,71.09,69.48,71.06,2139232
8,2022-03-31,70.16,71.01,69.95,70.0,3043185
9,2022-03-30,69.28,69.985,69.03,69.94,2304072
10,2022-03-29,68.67,69.12,68.43,69.1,2339034
11,2022-03-28,68.24,68.555,67.9,68.52,2438496
12,2022-03-25,67.87,68.44,67.67,68.31,1730108
13,2022-03-24,66.95,67.68,66.94,67.54,1953586
14,2022-03-23,67.04,67.36,66.37,66.8,2297746
15,2022-03-22,67.71,67.71,66.845,67.1,2073551
16,2022-03-21,66.93,67.78,66.8,67.45,1723740
17,2022-03-18,66.27,67.52,65.88,66.8,6169515
18,2022-03-17,67.76,68.37,67.39,67.75,3415824
19,2022-03-16,67.48,67.73,66.54,67.71,2622065
20,2022-03-15,67.25,67.7,67.03,67.53,2980832
21,2022-03-14,66.04,67.1,66.04,66.53,2882993
22,2022-03-11,65.4,66.09,65.33,65.72,1939959
23,2022-03-10,65.45,66.04,64.88,65.4,3985395
24,2022-03-09,67.0,67.11,65.75,65.82,2170230
25,2022-03-08,68.01,68.31,66.67,66.68,2193342
26,2022-03-07,67.72,68.0,66.99,67.71,2102143
27,2022-03-04,66.02,67.7,65.87,67.6,1910675
28,2022-03-03,65.43,66.47,65.43,66.29,2795224
29,2022-03-02,64.39,65.56,64.37,65.38,2108486
30,2022-03-01,64.7,65.4194,64.0,64.46,2237132
31,2022-02-28,64.35,65.15,64.24,64.83,3555420
32,2022-02-25,63.05,65.02,62.8,64.87,2819108
33,2022-02-24,63.2,63.48,61.04,62.32,4986406
34,2022-02-23,64.74,64.94,63.47,63.57,2282765
35,2022-02-22,64.79,65.035,64.24,64.68,1841325
36,2022-02-18,64.34,65.485,64.34,64.68,3219890
37,2022-02-17,64.71,64.93,64.06,64.73,1751264
38,2022-02-16,64.4,65.02,63.78,64.79,2391839
39,2022-02-15,65.11,65.58,64.175,64.43,2434558
40,2022-02-14,66.22,66.36,64.03,64.77,3337887
41,2022-02-11,66.1,66.72,65.72,65.95,2083095
42,2022-02-10,66.85,67.183,65.64,65.85,3010299
43,2022-02-09,67.84,68.06,67.22,67.43,1698630
44,2022-02-08,67.14,67.54,66.78,67.25,1869206
45,2022-02-07,66.69,67.08,66.31,66.79,1819097
46,2022-02-04,66.56,67.22,65.66,66.64,1983643
47,2022-02-03,67.2,67.66,66.92,67.09,2232009
48,2022-02-02,66.28,67.47,66.09,67.28,2605041
49,2022-02-01,66.83,66.97,65.43,66.26,1888510
50,2022-01-31,65.69,66.67,65.415,66.53,2382828
51,2022-01-28,65.28,66.08,64.84,66.03,1978013
52,2022-01-27,65.31,66.36,64.97,65.4,2698547
53,2022-01-26,64.77,65.66,64.36,64.69,2358088
54,2022-01-25,64.06,65.265,63.72,64.72,2869927
55,2022-01-24,65.38,65.52,62.81,64.35,2582193
56,2022-01-21,65.91,66.36,65.25,65.44,2197845
57,2022-01-20,65.72,66.64,65.5,65.59,1608417
58,2022-01-19,65.32,66.26,65.23,65.55,1610891
59,2022-01-18,64.9,65.61,64.18,65.22,1970402
60,2022-01-14,66.13,66.22,65.15,65.25,2630908
61,2022-01-13,65.55,66.68,65.36,66.3,1403901
62,2022-01-12,65.64,66.2,65.4,66.04,1467861
63,2022-01-11,66.3,66.52,65.32,65.85,1668634
64,2022-01-10,66.9,66.93,65.93,66.26,1521273
65,2022-01-07,66.37,67.62,65.59,67.0,2098559
66,2022-01-06,66.22,66.76,65.83,65.89,1570400
67,2022-01-05,65.89,66.8,65.75,65.83,2037398
68,2022-01-04,66.13,67.17,65.93,65.99,1846396
69,2022-01-03,66.92,66.92,65.38,66.16,1134732
70,2021-12-31,66.22,67.05,66.02,66.73,1221831
71,2021-12-30,66.21,66.389,65.8,66.32,954417
72,2021-12-29,65.68,66.14,65.6,65.97,859517
73,2021-12-28,65.12,65.65,65.12,65.58,912821
74,2021-12-27,64.79,65.1,64.49,65.06,790494
75,2021-12-23,64.7,64.95,64.395,64.58,1190338
76,2021-12-22,64.12,64.67,63.91,64.6,979110
77,2021-12-21,64.65,64.8,63.85,64.31,1467326
78,2021-12-20,63.55,64.21,62.68,64.09,1570404
79,2021-12-17,65.73,65.73,63.89,64.09,4057958
80,2021-12-16,65.45,66.3,65.28,65.61,1698254
81,2021-12-15,64.78,65.58,64.5,65.55,1402842
82,2021-12-14,64.8,65.1647,64.335,64.53,2232296
83,2021-12-13,63.7,65.62,63.59,65.19,2401983
84,2021-12-10,64.06,64.34,63.675,63.8,2007612
85,2021-12-09,63.88,64.24,63.33,63.74,2143601
86,2021-12-08,63.96,64.539,63.68,63.91,1636522
87,2021-12-07,63.73,64.86,63.52,64.62,1491642
88,2021-12-06,63.99,64.75,63.67,63.71,2400589
89,2021-12-03,63.62,63.63,62.42,63.45,1710301
90,2021-12-02,62.53,63.73,62.45,63.17,1715153
91,2021-12-01,63.07,63.84,62.4,62.44,2141191
92,2021-11-30,63.74,63.82,62.38,62.49,3285707
93,2021-11-29,63.77,64.57,63.48,64.25,1368489
94,2021-11-26,64.0,64.54,63.37,63.64,1064494
95,2021-11-24,64.37,64.95,64.0,64.59,1972501
96,2021-11-23,63.59,64.58,63.43,64.2,1911130
97,2021-11-22,63.03,63.74,62.75,63.44,1552878
98,2021-11-19,62.55,63.15,62.44,63.07,1780564
99,2021-11-18,62.31,62.74,62.07,62.4,1614615
100,2021-11-17,62.65,62.79,62.23,62.46,1503502
101,2021-11-16,63.44,63.65,62.68,62.72,1938799
102,2021-11-15,62.56,63.36,62.18,63.34,1473343
103,2021-11-12,62.1,62.35,61.58,62.17,1542622
104,2021-11-11,62.47,62.6,61.74,62.19,1617319
105,2021-11-10,62.3,62.72,62.17,62.72,1638917
106,2021-11-09,62.0,62.39,61.621,62.16,1403131
107,2021-11-08,64.29,64.29,62.09,62.17,1755229
108,2021-11-05,63.46,64.38,63.46,64.19,1515203
109,2021-11-04,63.18,63.68,62.99,63.68,1700704
110,2021-11-03,63.82,64.18,62.68,63.37,1633510
111,2021-11-02,64.73,64.73,63.44,63.98,1802394
112,2021-11-01,63.66,64.515,63.45,64.36,1577893
113,2021-10-29,64.1,64.57,63.52,63.8,1759004
114,2021-10-28,64.01,64.38,63.84,64.33,1108246
115,2021-10-27,64.76,64.76,63.96,63.98,1523524
116,2021-10-26,64.03,64.985,63.88,64.61,1495544
117,2021-10-25,63.84,64.35,63.435,63.93,1282757
118,2021-10-22,63.19,63.95,63.0,63.84,895282
119,2021-10-21,63.38,63.52,62.97,63.09,1228081
120,2021-10-20,62.66,63.72,62.55,63.4,2048156
121,2021-10-19,62.26,62.56,62.01,62.45,2059958
122,2021-10-18,61.56,62.1899,61.34,61.73,2834402
123,2021-10-15,61.62,62.2374,61.36,62.11,2960155
124,2021-10-14,60.41,61.49,60.11,61.41,1517694
125,2021-10-13,59.47,60.29,59.22,60.17,1745141
