,timestamp,open,high,low,close,volume
0,2022-04-12,52.82,53.525,52.48,52.62,1556501
1,2022-04-11,53.61,54.415,52.45,52.56,1291557
2,2022-04-08,53.29,53.9,52.75,53.26,1793083
3,2022-04-07,52.66,53.45,52.16,53.22,1411181
4,2022-04-06,53.12,53.235,52.125,52.8,2350867
5,2022-04-05,54.68,55.08,53.7,53.9,1518741
6,2022-04-04,54.68,55.14,54.43,54.79,994901
7,2022-04-01,54.52,55.13,54.27,54.88,1489277
8,2022-03-31,55.98,56.54,54.2,54.21,1495584
9,2022-03-30,56.51,56.83,56.14,56.42,858047
10,2022-03-29,56.52,57.45,56.2,56.85,1005873
11,2022-03-28,55.4,55.78,54.8772,55.51,940368
12,2022-03-25,55.79,56.1,54.98,55.47,1837676
13,2022-03-24,56.67,56.67,54.94,55.43,1076467
14,2022-03-23,57.01,57.47,56.2,56.31,2164120
15,2022-03-22,57.25,57.53,56.76,57.38,1404693
16,2022-03-21,57.04,57.72,56.52,56.85,970717
17,2022-03-18,57.19,57.58,56.01,57.22,3462874
18,2022-03-17,56.23,57.25,56.145,56.95,1789453
19,2022-03-16,55.46,57.85,55.46,56.83,1963163
20,2022-03-15,54.31,55.08,54.22,54.84,1774108
21,2022-03-14,54.24,54.79,53.68,54.0,1390532
22,2022-03-11,55.28,55.47,53.64,53.8,1367863
23,2022-03-10,54.56,55.13,54.3,54.65,1218119
24,2022-03-09,55.33,56.25,54.98,55.52,1396983
25,2022-03-08,54.71,55.54,53.63,53.68,1695705
26,2022-03-07,56.37,56.56,54.5,54.53,1227277
27,2022-03-04,58.44,58.44,56.41,56.57,1421980
28,2022-03-03,58.59,58.8858,56.72,58.67,1569854
29,2022-03-02,56.6,57.975,56.59,57.4,769265
30,2022-03-01,57.84,57.84,55.75,56.04,1015883
31,2022-02-28,57.96,58.41,57.04,57.91,1660209
32,2022-02-25,57.43,58.38,56.455,58.36,1473184
33,2022-02-24,54.53,57.78,54.1,57.51,2102971
34,2022-02-23,56.89,57.07,55.66,55.72,1079945
35,2022-02-22,57.7,58.33,56.02,56.37,1007342
36,2022-02-18,57.58,58.0,57.26,57.81,1304914
37,2022-02-17,59.05,59.21,57.455,57.62,1567313
38,2022-02-16,59.31,59.68,58.65,59.27,765447
39,2022-02-15,60.05,60.61,59.16,59.58,738707
40,2022-02-14,58.71,59.235,58.095,58.96,984245
41,2022-02-11,60.43,60.735,58.08,58.65,906470
42,2022-02-10,61.09,61.95,59.67,60.17,1045520
43,2022-02-09,61.79,62.53,61.79,62.28,839093
44,2022-02-08,60.26,61.45,59.98,61.14,994476
45,2022-02-07,59.96,60.82,59.485,60.15,1069463
46,2022-02-04,61.01,61.44,59.2,59.81,1433419
47,2022-02-03,61.8,62.625,61.245,61.3,1061567
48,2022-02-02,63.34,63.87,61.8,62.3,3008485
49,2022-02-01,63.63,64.98,61.5,63.43,2233830
50,2022-01-31,62.91,63.96,62.69,63.7,2719280
51,2022-01-28,61.24,63.24,60.7,63.15,1772185
52,2022-01-27,63.1,63.53,60.94,61.41,1462209
53,2022-01-26,64.53,65.45,61.91,62.33,1584118
54,2022-01-25,64.1,64.4,62.5,63.61,1237308
55,2022-01-24,63.01,65.3,62.245,65.27,2540996
56,2022-01-21,64.13,65.52,63.61,64.34,1168413
57,2022-01-20,66.56,66.77,64.29,64.47,1287637
58,2022-01-19,67.2,67.88,65.795,66.3,1218673
59,2022-01-18,65.58,67.25,64.38,66.82,1833287
60,2022-01-14,67.65,68.03,65.5498,66.11,1855508
61,2022-01-13,69.83,70.0762,68.3,68.68,1055157
62,2022-01-12,70.62,71.4,69.45,69.6,1012473
63,2022-01-11,69.51,70.035,68.64,69.98,1275661
64,2022-01-10,68.85,69.57,67.81,69.51,1358631
65,2022-01-07,69.4,69.85,68.73,69.4,2110696
66,2022-01-06,70.38,71.05,69.4,69.42,1360742
67,2022-01-05,72.09,72.75,70.3,70.39,912631
68,2022-01-04,71.09,72.18,70.86,71.86,863322
69,2022-01-03,73.03,73.49,70.45,70.99,824836
70,2021-12-31,72.15,73.35,72.15,73.03,873982
71,2021-12-30,73.36,73.585,72.25,72.32,499751
72,2021-12-29,72.92,73.62,72.74,73.36,516752
73,2021-12-28,72.57,72.975,72.15,72.82,671837
74,2021-12-27,71.57,72.75,71.28,72.72,558837
75,2021-12-23,70.34,71.54,70.34,71.22,711861
76,2021-12-22,70.45,70.81,68.95,70.02,1713495
77,2021-12-21,69.78,70.46,69.55,70.25,2190082
78,2021-12-20,69.12,69.64,68.01,69.03,1607501
79,2021-12-17,71.98,72.05,69.87,70.12,2508858
80,2021-12-16,74.42,74.76,71.8,72.44,1528555
81,2021-12-15,72.23,73.835,72.02,73.73,2058111
82,2021-12-14,73.17,73.52,71.63,71.85,1853934
83,2021-12-13,75.23,75.95,73.56,73.73,1109600
84,2021-12-10,74.15,75.48,73.52,75.22,993446
85,2021-12-09,74.48,74.91,73.37,73.4,915867
86,2021-12-08,74.89,75.0,73.74,74.71,1142099
87,2021-12-07,74.91,75.68,74.39,74.76,1247140
88,2021-12-06,73.54,74.01,73.06,73.45,921037
89,2021-12-03,73.4,73.65,71.43,72.64,1074955
90,2021-12-02,72.83,73.94,72.39,72.99,1500549
91,2021-12-01,74.8,75.85,72.2,72.24,973309
92,2021-11-30,76.17,76.78,73.37,73.69,1912662
93,2021-11-29,75.76,77.66,75.63,76.8,819953
94,2021-11-26,75.46,76.8,74.79,75.24,758771
95,2021-11-24,77.41,77.68,76.78,77.42,613717
96,2021-11-23,78.25,78.39,77.14,77.9,675501
97,2021-11-22,79.62,80.1,77.72,77.82,1310537
98,2021-11-19,77.98,79.5586,77.64,79.34,1465519
99,2021-11-18,77.44,78.27,77.44,77.67,704830
100,2021-11-17,77.07,77.64,76.69,77.15,787261
101,2021-11-16,76.5,78.07,76.4,77.34,829127
102,2021-11-15,75.99,76.56,75.81,76.2,639789
103,2021-11-12,74.48,75.895,73.75,75.82,657401
104,2021-11-11,73.91,74.39,73.68,74.13,918187
105,2021-11-10,74.31,75.58,73.69,73.92,725478
106,2021-11-09,74.67,75.21,74.06,74.57,633422
107,2021-11-08,75.05,75.45,73.69,74.73,780245
108,2021-11-05,75.17,75.94,74.26,74.31,991150
109,2021-11-04,73.73,75.22,73.5501,74.63,1033101
110,2021-11-03,74.28,74.95,72.05,73.49,1773492
111,2021-11-02,74.2,74.985,73.5788,74.63,1785823
112,2021-11-01,74.37,74.625,73.69,73.91,879283
113,2021-10-29,73.63,74.7099,73.46,73.97,1739222
114,2021-10-28,73.79,75.23,73.54,74.08,1404497
115,2021-10-27,73.96,75.03,72.89,73.35,1554044
116,2021-10-26,76.98,76.98,73.98,74.26,1811436
117,2021-10-25,75.61,77.26,75.17,76.93,1736329
118,2021-10-22,75.49,76.29,75.14,75.77,852219
119,2021-10-21,73.22,75.31,72.6,75.27,1715736
120,2021-10-20,72.74,73.83,72.34,73.64,930736
121,2021-10-19,73.01,73.27,72.52,72.66,684706
122,2021-10-18,71.57,72.59,71.21,72.47,840019
123,2021-10-15,72.65,73.51,71.825,71.88,1211606
124,2021-10-14,70.37,72.24,70.01,72.15,1016641
125,2021-10-13,70.11,70.46,69.35,69.82,1177994
126,2021-10-12,70.32,71.0,69.59,69.95,960519
127,2021-10-11,70.73,71.58,70.01,70.02,764920
128,2021-10-08,72.11,72.64,70.0,70.8,2167320
129,2021-10-07,72.97,73.52,72.22,72.41,1420795
130,2021-10-06,71.91,72.55,70.72,72.49,1081458
131,2021-10-05,72.02,72.85,70.96,72.54,2124856
132,2021-10-04,72.71,73.24,71.52,71.72,1448210
133,2021-10-01,73.05,73.54,71.99,72.87,1126354
134,2021-09-30,75.25,75.25,72.61,72.63,1113445
135,2021-09-29,74.45,75.1,74.22,74.84,513380
136,2021-09-28,76.44,76.53,74.22,74.38,1046101
137,2021-09-27,77.32,78.57,76.77,76.78,951486
138,2021-09-24,76.43,77.43,76.36,77.23,814042
139,2021-09-23,75.97,77.71,75.69,76.65,974350
140,2021-09-22,75.85,76.18,75.04,75.34,677570
141,2021-09-21,75.76,75.76,74.13,74.49,873670
142,2021-09-20,74.86,75.64,74.25,75.31,1003652
143,2021-09-17,77.21,77.64,75.99,76.22,3126846
144,2021-09-16,77.8,77.99,77.0,77.48,923617
145,2021-09-15,75.86,78.24,75.86,77.77,1142888
146,2021-09-14,76.04,76.201,75.43,75.96,992735
147,2021-09-13,77.2,77.73,75.1,75.86,1051617
148,2021-09-10,76.8,77.16,76.19,76.53,874300
149,2021-09-09,77.28,77.54,75.93,76.2,872578
150,2021-09-08,76.14,77.42,75.9,77.18,1023318
151,2021-09-07,77.71,77.71,76.43,76.48,1178423
152,2021-09-03,78.31,78.31,77.305,77.87,1223836
153,2021-09-02,77.94,78.55,77.87,78.5,874188
