,timestamp,open,high,low,close,volume
0,2022-04-12,145.81,146.92,142.1,142.23,1239210
1,2022-04-11,150.31,150.8626,144.0175,144.29,1110146
2,2022-04-08,149.55,159.5456,147.0,151.84,2975922
3,2022-04-07,150.9,158.38,150.7,156.12,1215288
4,2022-04-06,149.77,153.86,149.525,151.9,705027
5,2022-04-05,150.66,154.6,149.89,150.79,741116
6,2022-04-04,149.7,151.3,148.28,149.91,594979
7,2022-04-01,144.26,148.94,142.52,148.89,825961
8,2022-03-31,142.24,145.09,140.86,144.05,594223
9,2022-03-30,143.61,143.64,141.11,141.56,672677
10,2022-03-29,141.35,143.66,140.1991,143.17,719867
11,2022-03-28,138.12,139.83,137.33,139.7,1135486
12,2022-03-25,142.55,142.55,136.9256,138.33,576372
13,2022-03-24,139.97,141.57,137.64,141.27,1160563
14,2022-03-23,142.55,143.09,138.59,138.73,739869
15,2022-03-22,140.6,144.35,139.4,142.93,720733
16,2022-03-21,141.11,143.32,140.165,141.55,849051
17,2022-03-18,142.62,145.57,140.87,142.81,1685505
18,2022-03-17,142.35,143.96,141.3,142.93,888672
19,2022-03-16,139.77,141.94,136.385,141.74,924063
20,2022-03-15,137.3,138.73,135.83,137.6,902936
21,2022-03-14,136.9,139.33,136.63,136.86,910460
22,2022-03-11,142.33,143.94,137.16,137.97,754717
23,2022-03-10,137.69,142.045,137.26,140.83,820110
24,2022-03-09,138.29,141.22,136.84,140.46,986096
25,2022-03-08,132.76,140.295,132.67,137.23,1396866
26,2022-03-07,132.3,136.477,131.94,134.39,1361582
27,2022-03-04,125.77,132.49,125.62,131.99,926243
28,2022-03-03,127.66,128.42,126.33,126.84,703915
29,2022-03-02,129.11,129.52,125.6894,126.68,665752
30,2022-03-01,128.29,131.155,127.225,129.46,1198740
31,2022-02-28,127.81,130.67,125.65,128.87,1127218
32,2022-02-25,126.01,128.61,125.09,128.38,923866
33,2022-02-24,117.7,126.48,117.46,126.27,917931
34,2022-02-23,124.53,124.53,118.91,119.61,908793
35,2022-02-22,119.65,124.82,119.29,123.44,997134
36,2022-02-18,123.96,126.5,119.89,120.26,1459363
37,2022-02-17,128.0,128.25,123.8,124.16,735831
38,2022-02-16,127.08,129.47,125.26,128.67,871276
39,2022-02-15,126.55,129.12,125.88,128.72,959973
40,2022-02-14,124.75,125.765,121.48,124.51,1528202
41,2022-02-11,123.34,127.065,121.2,125.37,2098333
42,2022-02-10,122.275,125.12,118.0,124.93,9216231
43,2022-02-09,141.71,143.42,139.65,141.41,1608295
44,2022-02-08,139.81,141.19,136.477,139.99,1819681
45,2022-02-07,137.29,141.789,137.03,140.79,1222085
46,2022-02-04,133.35,139.0,133.35,137.93,997235
47,2022-02-03,136.14,138.67,134.63,135.04,888449
48,2022-02-02,137.58,138.35,135.13,137.195,607298
49,2022-02-01,135.41,137.88,133.55,137.75,1102847
50,2022-01-31,130.23,135.46,129.45,134.51,1159091
51,2022-01-28,123.08,127.8,120.99,127.62,713048
52,2022-01-27,124.61,126.86,122.63,122.91,531378
53,2022-01-26,125.73,128.0,121.83,123.55,1102043
54,2022-01-25,126.24,128.25,124.2,125.1,987239
55,2022-01-24,128.04,130.13,123.5,129.55,1028649
56,2022-01-21,132.66,133.28,127.37,127.55,1224500
57,2022-01-20,134.34,137.37,132.29,133.06,987722
58,2022-01-19,130.84,133.18,129.675,132.55,796252
59,2022-01-18,133.44,134.63,129.61,130.29,1363012
60,2022-01-14,136.07,137.75,133.58,137.09,811330
61,2022-01-13,140.0,140.835,134.06,136.79,1080856
62,2022-01-12,144.4,145.13,140.14,141.03,580783
63,2022-01-11,146.2,146.2,142.1,144.37,584382
64,2022-01-10,144.04,145.77,137.38,145.08,1059935
65,2022-01-07,144.23,147.85,143.37,143.72,677537
66,2022-01-06,144.93,147.79,141.65,144.82,730517
67,2022-01-05,151.71,153.59,145.38,145.65,772906
68,2022-01-04,157.0,157.49,151.56,152.67,637609
69,2022-01-03,152.59,158.2749,151.1041,157.85,687231
70,2021-12-31,157.14,158.73,154.03,154.6,390906
71,2021-12-30,159.0,161.0,156.75,157.19,430825
72,2021-12-29,158.12,159.96,157.08,158.92,575741
73,2021-12-28,157.11,160.39,156.41,157.66,457225
74,2021-12-27,158.37,159.365,156.12,157.67,403204
75,2021-12-23,157.02,159.96,155.75,158.54,402795
76,2021-12-22,156.02,157.195,154.665,156.78,551026
77,2021-12-21,155.72,158.54,154.98,156.67,630069
78,2021-12-20,149.85,155.71,148.7165,154.76,864863
79,2021-12-17,147.47,153.24,146.52,150.15,1326724
80,2021-12-16,150.95,152.73,147.54,148.67,684714
81,2021-12-15,144.18,150.87,143.44,150.08,712175
82,2021-12-14,143.37,148.0,142.85,144.46,709822
83,2021-12-13,142.4,146.035,141.2375,144.17,815642
84,2021-12-10,144.22,145.52,141.6317,142.57,846206
85,2021-12-09,148.97,153.14,144.94,144.96,842877
86,2021-12-08,147.28,150.73,144.19,149.55,862572
87,2021-12-07,147.57,151.5,145.99,146.44,1679720
88,2021-12-06,150.21,150.74,145.85,146.01,1563903
89,2021-12-03,158.65,159.5175,148.04,150.74,1546657
90,2021-12-02,158.25,161.1136,157.0901,158.67,977049
91,2021-12-01,160.37,162.177,158.24,158.25,1488179
92,2021-11-30,165.06,166.95,159.09,160.0,3934777
93,2021-11-29,170.9,171.895,164.82,165.31,1261397
94,2021-11-26,176.63,178.89,169.055,169.5,735621
95,2021-11-24,173.0,174.05,167.01,173.2,822863
96,2021-11-23,175.35,175.92,171.01,173.82,992568
97,2021-11-22,182.31,182.8,175.38,176.12,865031
98,2021-11-19,184.95,187.35,181.293,183.62,796228
99,2021-11-18,183.79,186.52,181.535,184.21,738454
100,2021-11-17,183.14,184.94,181.11,183.83,527838
101,2021-11-16,182.1,182.47,176.875,182.41,710779
102,2021-11-15,178.07,186.37,177.72,182.68,789611
103,2021-11-12,178.14,179.32,174.505,179.01,564810
104,2021-11-11,179.84,179.84,175.93,177.38,683868
105,2021-11-10,184.16,187.65,179.89,180.5,630030
106,2021-11-09,190.66,190.685,185.42,185.86,654129
107,2021-11-08,190.16,192.7867,187.74,190.36,583315
108,2021-11-05,188.26,190.99,185.4,190.86,781376
109,2021-11-04,186.67,189.59,184.81,189.15,767306
110,2021-11-03,180.43,186.98,179.68,186.71,749431
111,2021-11-02,178.6,180.82,175.9519,180.49,496503
112,2021-11-01,174.44,179.66,172.5,178.61,631420
113,2021-10-29,180.0,181.46,171.41,176.33,1229263
114,2021-10-28,173.56,179.73,173.17,177.79,688258
115,2021-10-27,179.34,179.34,174.27,174.61,370936
116,2021-10-26,175.29,179.35,174.13,177.7,672408
117,2021-10-25,171.27,176.4,169.81,175.52,665396
118,2021-10-22,174.47,175.0,170.79,171.43,380059
119,2021-10-21,176.1,176.1,171.59,173.9,439297
120,2021-10-20,175.12,176.0,173.38,174.85,425147
121,2021-10-19,172.54,174.48,169.645,174.19,481187
122,2021-10-18,172.97,174.08,169.08,171.97,636917
123,2021-10-15,170.6,174.97,168.06,172.73,1055616
124,2021-10-14,169.67,172.09,168.17,170.19,502719
125,2021-10-13,165.77,169.05,165.77,167.86,465390
126,2021-10-12,162.5,166.185,161.55,164.69,594562
127,2021-10-11,162.14,164.41,161.0,162.15,657462
128,2021-10-08,161.78,162.33,158.87,161.86,530486
129,2021-10-07,165.77,166.0,161.84,162.21,975475
130,2021-10-06,172.37,172.95,164.98,165.76,696427
131,2021-10-05,172.8,177.75,172.25,172.69,1235629
132,2021-10-04,172.74,176.29,171.09,173.18,1480707
133,2021-10-01,169.98,174.93,166.5,173.21,1011769
134,2021-09-30,165.53,171.87,164.89,169.8,1049018
135,2021-09-29,163.26,167.14,161.78,164.25,668249
136,2021-09-28,160.22,162.26,156.965,161.4,1005189
137,2021-09-27,160.98,162.8,159.09,162.51,699784
138,2021-09-24,165.14,165.935,159.95,161.34,774416
139,2021-09-23,168.98,170.53,165.48,166.22,519345
140,2021-09-22,165.01,169.85,162.92,169.16,886177
141,2021-09-21,159.48,170.88,159.48,165.01,1460159
142,2021-09-20,154.82,160.155,154.82,159.06,1206050
143,2021-09-17,154.91,156.56,153.16,156.21,1375861
144,2021-09-16,151.17,153.795,148.7,153.57,464815
145,2021-09-15,150.07,153.8,149.64,152.09,484919
146,2021-09-14,151.01,153.51,150.06,150.46,456422
147,2021-09-13,152.83,154.88,149.8513,150.91,488631
148,2021-09-10,149.98,152.4,148.0,151.51,635192
149,2021-09-09,153.44,155.56,148.97,149.59,814751
150,2021-09-08,150.0,152.78,147.47,152.75,867336
151,2021-09-07,151.06,151.38,148.49,149.48,1015301
152,2021-09-03,156.57,157.01,152.1,152.22,783472
153,2021-09-02,159.79,161.38,156.33,157.89,725609
154,2021-09-01,165.56,166.57,157.74,159.41,1000444
155,2021-08-31,170.62,170.89,165.92,167.6,737933
156,2021-08-30,166.81,168.915,165.47,168.6,518589
157,2021-08-27,167.61,171.43,166.45,166.81,534684
158,2021-08-26,170.5,172.5,168.9,168.94,505828
159,2021-08-25,167.36,170.08,164.56,169.82,669946
160,2021-08-24,165.84,168.0,164.592,167.94,435197
161,2021-08-23,159.99,166.44,158.94,165.56,968712
162,2021-08-20,158.95,161.86,158.2,159.3,589788
163,2021-08-19,158.47,160.84,157.35,158.09,539551
164,2021-08-18,160.0,160.94,158.52,158.77,397768
