,timestamp,open,high,low,close,volume
0,2022-04-12,139.0,140.0,137.82,139.41,593552
1,2022-04-11,139.65,140.56,138.24,139.43,583375
2,2022-04-08,138.18,139.41,137.13,138.8,582111
3,2022-04-07,137.2,137.97,135.66,137.34,725226
4,2022-04-06,138.17,139.63,136.25,137.22,1061741
5,2022-04-05,134.25,137.79,134.25,137.77,1115710
6,2022-04-04,136.71,136.74,132.94,134.64,710956
7,2022-04-01,135.8,137.59,134.73,137.51,739337
8,2022-03-31,134.99,136.14,133.75,135.41,666030
9,2022-03-30,134.65,134.9,132.93,134.88,715242
10,2022-03-29,134.48,135.595,133.819,135.43,710783
11,2022-03-28,133.62,134.36,132.588,133.94,606548
12,2022-03-25,131.59,134.325,131.08,133.69,1060527
13,2022-03-24,130.22,131.94,130.22,131.39,502985
14,2022-03-23,131.19,132.77,130.16,130.18,826068
15,2022-03-22,130.53,130.89,128.75,130.3,735642
16,2022-03-21,128.63,130.53,128.63,130.17,791060
17,2022-03-18,129.72,129.72,127.01,128.07,1369637
18,2022-03-17,129.81,130.6,128.34,129.58,551910
19,2022-03-16,128.88,129.36,127.2,129.34,776254
20,2022-03-15,129.11,129.4899,127.225,129.3,994575
21,2022-03-14,129.22,130.91,128.01,128.93,877016
22,2022-03-11,128.64,130.785,128.64,128.84,869428
23,2022-03-10,128.86,130.055,127.93,128.65,730105
24,2022-03-09,133.54,134.32,129.2,129.34,876328
25,2022-03-08,135.68,136.215,131.71,131.89,1224992
26,2022-03-07,133.28,137.54,132.05,135.82,1076570
27,2022-03-04,131.61,134.34,131.04,133.78,1451385
28,2022-03-03,129.91,135.14,129.85,133.42,1108352
29,2022-03-02,125.06,131.0,124.89,130.7,1692874
30,2022-03-01,130.5,131.86,125.07,126.32,1865340
31,2022-02-28,135.17,136.06,133.425,134.75,1245831
32,2022-02-25,134.46,138.09,134.46,137.27,893805
33,2022-02-24,135.91,136.49,130.705,133.77,1024995
34,2022-02-23,139.45,139.84,136.55,136.9,797456
35,2022-02-22,139.48,139.99,137.13,138.64,745190
36,2022-02-18,137.82,139.46,137.09,138.99,604095
37,2022-02-17,135.72,139.1,134.9163,138.33,1082274
38,2022-02-16,135.99,137.48,133.875,135.72,954681
39,2022-02-15,137.38,138.11,135.4,136.09,621150
40,2022-02-14,136.76,138.25,134.46,137.43,963432
41,2022-02-11,133.87,137.25,133.86,136.68,661429
42,2022-02-10,135.3,136.235,133.25,133.59,624943
43,2022-02-09,136.34,137.28,136.24,136.55,527699
44,2022-02-08,137.2,137.86,135.87,136.49,659116
45,2022-02-07,137.34,137.86,135.85,137.1,493645
46,2022-02-04,139.49,139.7,135.951,136.87,587376
47,2022-02-03,140.19,141.63,139.08,140.38,514534
48,2022-02-02,138.1,140.73,138.1,139.58,806048
49,2022-02-01,140.61,140.92,136.725,138.5,875650
50,2022-01-31,139.54,141.57,139.0,140.58,1712076
51,2022-01-28,138.5,140.63,137.3,140.52,599901
52,2022-01-27,138.12,140.63,137.67,138.99,599614
53,2022-01-26,138.43,140.34,136.65,137.38,919207
54,2022-01-25,141.58,141.75,138.52,139.4,1121757
55,2022-01-24,143.36,145.03,138.82,142.02,881882
56,2022-01-21,142.94,143.73,141.72,143.22,658037
57,2022-01-20,143.57,143.57,141.0,141.14,815795
58,2022-01-19,145.28,145.76,143.14,143.4,851871
59,2022-01-18,144.47,145.82,142.86,145.35,779155
60,2022-01-14,142.75,145.49,142.35,145.15,675295
61,2022-01-13,141.1,144.12,140.79,143.0,566435
62,2022-01-12,141.01,142.91,140.23,140.83,678607
63,2022-01-11,143.73,143.73,139.47,142.11,529444
64,2022-01-10,143.73,144.8899,142.62,143.28,862517
65,2022-01-07,142.07,143.67,141.24,143.35,747705
66,2022-01-06,140.945,142.72,140.67,141.36,753796
67,2022-01-05,138.82,142.07,138.82,141.01,909244
68,2022-01-04,136.8,139.68,136.5418,138.57,774381
69,2022-01-03,135.37,136.94,133.63,136.8,735248
70,2021-12-31,135.46,136.07,134.59,135.82,435092
71,2021-12-30,135.64,135.7986,134.936,135.34,326689
72,2021-12-29,135.25,135.6,134.62,135.1,415106
73,2021-12-28,133.44,135.27,133.21,135.2,558740
74,2021-12-27,132.8,133.92,132.72,133.85,380859
75,2021-12-23,133.43,133.86,132.96,132.99,355456
76,2021-12-22,132.0,133.22,131.38,133.14,677009
77,2021-12-21,133.9,134.0,130.8099,131.89,757226
78,2021-12-20,134.73,135.585,134.05,135.04,882750
79,2021-12-17,138.58,139.87,136.16,136.41,1345066
80,2021-12-16,134.9,139.26,134.64,138.91,836983
81,2021-12-15,135.35,136.1167,134.07,134.73,750849
82,2021-12-14,135.06,136.07,133.9821,135.18,884385
83,2021-12-13,132.81,135.1,131.84,134.62,574253
84,2021-12-10,131.06,133.14,131.03,132.88,616893
85,2021-12-09,129.74,131.31,129.54,130.57,589201
86,2021-12-08,130.17,131.33,128.08,129.88,664241
87,2021-12-07,130.45,131.7,129.51,130.22,563109
88,2021-12-06,129.94,132.19,129.5,130.98,875874
89,2021-12-03,128.96,129.77,128.48,128.76,1494740
90,2021-12-02,127.49,129.1,127.11,127.85,1008217
91,2021-12-01,127.44,128.52,126.45,126.55,858719
92,2021-11-30,128.41,129.155,126.08,126.47,1724482
93,2021-11-29,131.22,131.6,129.17,129.37,743957
94,2021-11-26,132.24,134.28,130.61,130.95,579610
95,2021-11-24,134.0,134.0,130.98,132.3,1068779
96,2021-11-23,131.255,134.68,130.72,133.63,2006580
97,2021-11-22,124.14,127.88,124.09,126.44,821678
98,2021-11-19,126.27,126.93,124.13,124.31,811850
99,2021-11-18,126.81,127.02,124.6,125.85,645519
100,2021-11-17,127.0,128.22,126.81,127.8,597471
101,2021-11-16,129.14,129.4599,127.47,127.51,536873
102,2021-11-15,127.1,129.095,126.75,128.92,621455
103,2021-11-12,126.11,127.945,125.67,127.1,688011
104,2021-11-11,126.96,127.09,125.66,126.08,627315
105,2021-11-10,127.96,128.5,126.62,127.61,495983
106,2021-11-09,126.96,129.55,126.595,128.58,839879
107,2021-11-08,125.73,125.78,123.89,125.08,585627
108,2021-11-05,125.18,126.22,124.99,125.78,417917
109,2021-11-04,125.04,125.22,124.07,124.81,427116
110,2021-11-03,123.39,125.85,123.32,125.37,1334417
111,2021-11-02,123.44,124.465,122.61,123.71,645439
112,2021-11-01,122.7,123.66,122.3,123.62,633130
113,2021-10-29,124.68,125.7,122.64,122.86,1415503
114,2021-10-28,122.87,124.68,122.54,124.63,642284
115,2021-10-27,125.7,125.7,122.54,123.0,702923
116,2021-10-26,122.93,125.125,122.63,124.7,681470
117,2021-10-25,123.26,123.61,122.2,123.14,561066
118,2021-10-22,122.18,123.26,122.02,122.97,489571
119,2021-10-21,121.96,122.18,121.0902,121.8,399108
120,2021-10-20,121.21,122.59,120.93,121.76,491087
121,2021-10-19,121.26,121.55,119.85,120.94,364217
122,2021-10-18,121.56,122.345,120.83,121.48,470249
123,2021-10-15,122.13,122.48,121.51,122.08,532520
124,2021-10-14,121.38,122.03,120.96,122.0,700454
125,2021-10-13,122.07,122.62,120.32,121.09,646134
126,2021-10-12,121.82,122.705,121.45,122.0,450009
127,2021-10-11,122.08,122.72,121.04,121.56,395623
128,2021-10-08,121.61,122.4345,121.41,121.63,448935
129,2021-10-07,123.08,123.64,121.46,121.84,573451
130,2021-10-06,121.16,123.3,120.16,123.18,920316
131,2021-10-05,120.93,121.91,120.41,121.32,897275
132,2021-10-04,119.73,121.47,119.71,120.97,970166
133,2021-10-01,120.58,121.01,119.31,119.69,659110
134,2021-09-30,122.26,122.49,120.02,120.03,779663
135,2021-09-29,120.15,123.28,120.09,122.16,905928
136,2021-09-28,120.22,121.06,119.2527,120.12,1369584
137,2021-09-27,119.26,121.16,119.09,119.93,497906
138,2021-09-24,119.77,120.38,119.09,119.11,557481
139,2021-09-23,120.95,121.23,119.72,119.77,749128
140,2021-09-22,121.24,121.78,119.97,120.57,720192
141,2021-09-21,122.44,122.46,120.2,120.48,720159
142,2021-09-20,122.25,123.62,121.509,122.27,967154
143,2021-09-17,121.99,123.79,121.76,123.0,1779282
144,2021-09-16,122.11,123.215,121.25,122.69,796088
145,2021-09-15,122.49,122.77,121.505,121.81,866767
146,2021-09-14,122.97,123.34,121.505,122.46,839315
147,2021-09-13,121.58,123.8,121.49,122.72,1158479
148,2021-09-10,120.57,121.67,120.13,121.06,688636
149,2021-09-09,121.57,121.62,120.43,120.78,623884
150,2021-09-08,119.82,122.18,119.41,121.86,977155
151,2021-09-07,120.4,120.7,118.55,119.64,1225626
152,2021-09-03,121.92,121.92,120.33,120.61,737021
153,2021-09-02,122.35,123.43,121.46,121.99,769746
154,2021-09-01,124.0,124.0,121.1,122.35,1249115
155,2021-08-31,122.27,123.91,121.82,123.67,1147418
156,2021-08-30,123.22,124.57,122.091,122.28,935832
157,2021-08-27,122.75,124.12,121.93,123.57,1187332
158,2021-08-26,123.0,126.73,121.62,123.92,1991947
159,2021-08-25,126.82,127.885,126.23,127.28,1313815
160,2021-08-24,130.0,130.46,126.61,127.21,977469
161,2021-08-23,130.99,131.63,129.95,130.1,614654
162,2021-08-20,132.19,133.38,131.16,131.28,754206
163,2021-08-19,131.51,133.5,131.46,132.38,611258
164,2021-08-18,135.25,135.25,131.58,131.69,575633
165,2021-08-17,133.99,136.12,132.78,135.61,703279
166,2021-08-16,132.89,133.99,132.38,133.6,672181
167,2021-08-13,131.17,133.34,131.05,132.68,511749
168,2021-08-12,130.71,131.17,130.08,130.92,662163
169,2021-08-11,130.41,131.97,130.02,131.29,493974
170,2021-08-10,128.86,130.18,128.45,130.0,448407
171,2021-08-09,128.15,129.07,127.81,129.01,568662
172,2021-08-06,128.74,129.21,127.84,127.9,689404
173,2021-08-05,129.33,129.45,128.15,128.42,423746
174,2021-08-04,132.78,133.2,128.725,128.83,700821
175,2021-08-03,131.67,133.96,131.42,132.81,889447
176,2021-08-02,131.12,131.6,130.125,131.29,535808
177,2021-07-30,130.87,132.01,130.75,131.11,1238367
178,2021-07-29,131.43,132.325,131.01,131.39,749624
179,2021-07-28,131.64,131.7,129.6,130.76,785015
180,2021-07-27,130.66,133.21,130.38,132.0,561997
181,2021-07-26,130.5,131.29,130.0,130.69,523318
182,2021-07-23,129.58,130.83,129.16,130.5,508464
183,2021-07-22,129.45,129.45,127.19,129.23,1562450
184,2021-07-21,132.47,132.81,129.44,129.54,1115676
185,2021-07-20,134.83,136.35,132.41,132.51,1011954
186,2021-07-19,133.1,135.47,132.21,133.99,981088
187,2021-07-16,132.36,133.38,132.02,133.1,596398
188,2021-07-15,130.39,132.36,130.06,132.02,695756
189,2021-07-14,129.27,130.91,129.27,130.29,624132
190,2021-07-13,130.39,131.09,129.2193,129.74,556517
191,2021-07-12,130.13,130.83,129.5533,130.4,629167
192,2021-07-09,130.56,131.4,129.94,130.85,584502
193,2021-07-08,128.73,130.46,128.39,129.53,641890
194,2021-07-07,128.5,129.79,128.39,129.04,577389
195,2021-07-06,129.25,129.73,127.285,128.58,548998
196,2021-07-02,130.58,130.99,129.4,129.69,456191
197,2021-07-01,129.35,131.3,129.0967,130.05,552733
198,2021-06-30,130.15,131.39,129.08,129.57,1303447
199,2021-06-29,130.87,131.73,129.52,130.14,608189
200,2021-06-28,129.7,131.24,129.29,130.84,576466
201,2021-06-25,128.1,129.79,127.98,129.42,786119
202,2021-06-24,128.57,129.55,127.25,128.57,574826
203,2021-06-23,130.0,130.68,129.06,129.06,612006
204,2021-06-22,131.48,132.035,130.37,130.52,848096
205,2021-06-21,130.68,131.68,130.57,131.12,673193
206,2021-06-18,133.13,133.19,130.13,130.3,1372846
207,2021-06-17,133.92,134.25,132.31,133.61,835292
208,2021-06-16,135.05,135.4,133.69,133.78,688244
209,2021-06-15,136.47,136.47,134.58,134.78,454228
210,2021-06-14,136.24,136.24,133.97,136.1,505245
211,2021-06-11,136.08,136.35,135.06,136.24,526126
212,2021-06-10,136.33,136.67,135.31,135.68,622568
213,2021-06-09,135.74,136.82,134.73,135.97,1070414
214,2021-06-08,138.13,138.43,136.05,136.87,984505
215,2021-06-07,139.8,140.16,136.56,138.13,899066
216,2021-06-04,138.67,140.65,137.74,139.82,988046
217,2021-06-03,136.69,139.45,136.18,137.88,1535234
218,2021-06-02,133.51,136.375,133.145,135.93,1138280
219,2021-06-01,133.46,134.71,132.83,133.51,1047965
220,2021-05-28,132.82,135.57,132.66,133.29,1059874
221,2021-05-27,134.44,135.19,132.07,132.52,1676990
222,2021-05-26,134.94,135.29,134.16,134.5,713284
223,2021-05-25,135.47,135.87,133.9,135.29,661023
224,2021-05-24,135.64,136.88,135.2,135.61,577388
225,2021-05-21,134.61,136.26,134.61,135.51,817245
226,2021-05-20,135.3,136.08,134.595,134.81,568228
227,2021-05-19,133.88,134.44,132.48,134.3,574568
228,2021-05-18,133.32,134.59,133.1315,133.72,629100
229,2021-05-17,135.5,136.08,132.86,133.51,1241448
230,2021-05-14,136.42,137.87,135.29,135.33,837469
231,2021-05-13,133.07,136.74,132.12,136.19,937912
232,2021-05-12,136.88,137.27,134.525,134.8,1098344
233,2021-05-11,139.09,139.14,135.57,136.82,849796
234,2021-05-10,137.13,139.565,136.72,138.49,779906
235,2021-05-07,136.13,137.15,135.13,136.6,823829
236,2021-05-06,136.14,138.87,136.11,137.41,2020890
237,2021-05-05,132.1,135.1,131.39,134.84,1179000
238,2021-05-04,132.5,133.3,131.1,132.47,617800
239,2021-05-03,131.02,133.21,130.86,132.08,584568
240,2021-04-30,131.88,131.94,129.805,130.99,965541
241,2021-04-29,130.45,133.04,130.45,131.94,767521
242,2021-04-28,131.99,132.5,130.08,130.49,901813
243,2021-04-27,129.78,131.11,129.665,131.04,939123
244,2021-04-26,129.73,130.49,128.28,129.77,1028727
245,2021-04-23,131.89,132.11,129.2,129.77,778554
246,2021-04-22,133.26,133.4,131.88,132.11,732073
247,2021-04-21,132.94,133.8,131.8,133.66,1178208
248,2021-04-20,132.03,134.1189,132.0,132.51,1365297
