,timestamp,open,high,low,close,volume
0,2022-04-12,211.22,214.64,210.48,210.56,344498
1,2022-04-11,208.95,212.83,208.95,210.78,330378
2,2022-04-08,206.44,211.485,205.23,208.4,465169
3,2022-04-07,207.2,207.87,203.49,205.29,347857
4,2022-04-06,204.87,208.5,203.51,207.37,317608
5,2022-04-05,208.16,209.82,205.8,206.26,272281
6,2022-04-04,203.04,208.61,201.0,208.6,347416
7,2022-04-01,206.78,207.5,201.76,203.7,335350
8,2022-03-31,208.1,211.19,205.41,205.48,346546
9,2022-03-30,209.76,212.54,208.54,209.0,234460
10,2022-03-29,207.13,211.38,206.66,210.73,555251
11,2022-03-28,208.52,208.52,203.12,205.86,488323
12,2022-03-25,207.59,209.56,206.06,208.82,265339
13,2022-03-24,208.05,208.66,205.14,206.91,290021
14,2022-03-23,212.07,212.09,205.64,207.16,313115
15,2022-03-22,214.69,214.69,211.09,212.57,224344
16,2022-03-21,214.17,216.346,211.99,212.79,424183
17,2022-03-18,210.28,214.81,207.91,213.99,1165736
18,2022-03-17,205.0,210.36,204.51,210.35,408886
19,2022-03-16,203.67,206.77,202.235,206.22,467986
20,2022-03-15,206.6,206.6,200.45,202.59,576912
21,2022-03-14,205.0,206.515,202.18,204.72,724435
22,2022-03-11,207.95,209.43,205.53,205.7,222970
23,2022-03-10,204.38,207.34,204.38,207.02,213334
24,2022-03-09,210.73,212.265,207.39,207.69,297754
25,2022-03-08,206.59,214.08,205.37,206.35,503937
26,2022-03-07,207.5,207.5,201.35,204.15,478270
27,2022-03-04,207.05,207.71,204.041,207.5,319143
28,2022-03-03,210.76,212.34,208.5,210.65,309380
29,2022-03-02,204.58,211.065,203.93,209.25,331043
30,2022-03-01,209.13,210.34,200.19,202.0,379290
31,2022-02-28,209.35,212.38,208.06,210.18,499259
32,2022-02-25,205.3,212.37,205.03,212.1,361640
33,2022-02-24,199.5,205.365,197.75,204.95,349959
34,2022-02-23,209.48,210.1425,203.06,203.49,445584
35,2022-02-22,214.49,215.37,207.92,208.81,328283
36,2022-02-18,215.77,218.25,214.93,215.47,375453
37,2022-02-17,216.71,219.19,214.52,216.34,338464
38,2022-02-16,214.48,219.71,214.48,218.36,473644
39,2022-02-15,213.5,217.93,213.5,216.22,381261
40,2022-02-14,209.53,211.295,206.825,210.71,247139
41,2022-02-11,212.05,214.03,207.17,208.92,425454
42,2022-02-10,212.73,215.69,210.63,211.67,224062
43,2022-02-09,213.27,217.32,212.66,214.73,244776
44,2022-02-08,210.89,213.19,209.15,211.99,360355
45,2022-02-07,214.28,214.28,209.87,210.31,373368
46,2022-02-04,216.83,216.83,209.375,213.7,399058
47,2022-02-03,211.57,219.5,210.0,216.73,666729
48,2022-02-02,210.73,212.47,209.105,211.06,485996
49,2022-02-01,207.66,210.42,205.99,210.2,385650
50,2022-01-31,204.93,208.66,204.17,208.25,288535
51,2022-01-28,203.84,206.72,200.11,206.54,265608
52,2022-01-27,210.2,212.52,202.92,205.08,311438
