,timestamp,open,high,low,close,volume
0,2022-04-12,405.96,406.93,396.085,397.31,2225755
1,2022-04-11,411.23,412.43,401.47,405.61,1466527
2,2022-04-08,414.04,415.82,410.77,413.09,1061931
3,2022-04-07,409.3,416.36,408.08,414.99,2172669
4,2022-04-06,407.53,413.0,406.25,410.88,1558259
5,2022-04-05,411.93,415.98,410.155,411.88,1263610
6,2022-04-04,409.97,417.37,408.06,414.3,1620577
7,2022-04-01,409.98,412.195,405.64,407.88,1721945
8,2022-03-31,422.5,423.545,410.17,410.18,2414864
9,2022-03-30,416.39,419.4199,415.67,418.95,2096129
10,2022-03-29,419.8,420.82,414.97,417.45,1527047
11,2022-03-28,414.35,417.61,410.23,414.5,2529935
12,2022-03-25,408.95,413.85,407.89,413.47,1994045
13,2022-03-24,409.61,410.62,405.99,407.67,2066784
14,2022-03-23,411.66,412.865,404.83,405.71,2145205
15,2022-03-22,406.46,416.53,405.54,414.28,2336298
16,2022-03-21,405.59,407.99,401.86,404.76,2206113
17,2022-03-18,404.17,412.0,403.45,409.94,2833910
18,2022-03-17,391.5,402.97,391.5,402.66,2393741
19,2022-03-16,389.92,396.39,384.07,392.23,2092213
20,2022-03-15,380.96,388.36,375.42,387.39,1977228
21,2022-03-14,383.53,386.34,373.18,377.0,2558070
22,2022-03-11,385.0,388.645,379.28,379.68,2252080
23,2022-03-10,381.28,385.74,373.84,382.75,2767338
24,2022-03-09,401.4,402.11,390.98,391.51,3034286
25,2022-03-08,384.155,395.78,380.48,388.13,3693915
26,2022-03-07,406.83,407.9899,384.675,385.64,4221979
27,2022-03-04,399.88,408.37,397.26,407.55,3580544
28,2022-03-03,398.76,408.8,391.15,400.5,4359843
29,2022-03-02,394.0,406.56,391.98,399.12,5798528
30,2022-03-01,378.0,396.28,376.18,390.58,9770491
31,2022-02-28,379.0,389.48,372.13,375.7,5249949
32,2022-02-25,377.87,384.49,371.0,380.89,8122171
33,2022-02-24,364.27,383.72,363.54,381.68,1895373
34,2022-02-23,383.92,384.76,372.76,373.37,1766791
35,2022-02-22,376.37,384.3,376.05,380.25,1644387
36,2022-02-18,382.49,383.49,376.47,378.67,1253553
37,2022-02-17,386.82,388.02,380.91,381.49,1224809
38,2022-02-16,384.41,389.29,380.61,386.55,1813065
39,2022-02-15,387.26,390.0,382.81,385.37,1430583
40,2022-02-14,386.5,388.9799,375.45,380.71,3156694
41,2022-02-11,395.0,397.39,386.25,387.66,2731867
42,2022-02-10,399.33,406.685,394.12,396.45,2420547
43,2022-02-09,402.77,410.1,401.28,407.29,2351265
44,2022-02-08,401.34,403.08,391.75,399.78,2887766
45,2022-02-07,414.09,417.65,403.9,405.25,1471295
46,2022-02-04,409.4,420.01,408.34,414.39,1370767
47,2022-02-03,418.0,419.83,412.2,413.15,1226762
48,2022-02-02,421.3,423.41,417.5,422.07,1640608
49,2022-02-01,418.45,419.4,409.22,417.46,1457600
50,2022-01-31,406.65,415.51,405.47,415.22,1788220
51,2022-01-28,395.23,406.72,390.95,406.62,1701136
52,2022-01-27,403.72,410.05,393.09,395.08,1716684
53,2022-01-26,403.14,407.51,394.21,397.54,2119699
54,2022-01-25,410.56,413.11,399.02,399.53,2498494
55,2022-01-24,409.48,418.85,400.6865,417.95,1861436
56,2022-01-21,419.04,425.21,414.35,416.93,1634294
57,2022-01-20,425.29,431.44,416.42,417.98,1284152
58,2022-01-19,427.43,434.775,422.47,422.95,1535291
59,2022-01-18,426.21,427.7,420.64,424.15,1482826
60,2022-01-14,433.14,434.495,427.28,432.36,1400673
61,2022-01-13,447.83,450.07,434.7,436.27,1158011
62,2022-01-12,443.53,450.59,442.57,447.84,1910399
63,2022-01-11,435.39,441.17,430.9,441.02,1497230
64,2022-01-10,439.1,442.41,428.32,435.39,2357484
65,2022-01-07,450.08,452.08,446.13,446.75,1086373
66,2022-01-06,453.73,454.955,446.545,451.96,1452603
67,2022-01-05,461.23,463.15,455.41,455.76,1316057
68,2022-01-04,465.02,465.02,456.9591,459.82,1215234
69,2022-01-03,472.83,472.83,458.25,461.1,1282387
70,2021-12-31,469.58,473.93,469.02,471.93,811452
71,2021-12-30,474.94,476.78,470.05,470.48,820420
72,2021-12-29,475.92,477.485,472.35,474.55,709360
73,2021-12-28,478.63,481.44,474.51,475.1,717583
74,2021-12-27,478.24,480.265,472.51,478.1,850738
75,2021-12-23,474.31,477.42,473.47,473.74,1342569
76,2021-12-22,470.97,473.7,468.6,473.26,814671
77,2021-12-21,464.71,470.9,463.045,470.49,717273
78,2021-12-20,462.36,462.36,454.0,460.34,1675349
79,2021-12-17,475.43,475.56,464.845,467.64,2355503
80,2021-12-16,480.91,484.21,471.495,476.83,1377423
81,2021-12-15,471.37,479.53,469.64,478.97,1093332
82,2021-12-14,475.77,478.03,464.84,470.34,1440345
83,2021-12-13,475.13,481.605,473.08,478.86,1449465
84,2021-12-10,469.81,473.86,465.31,473.67,904299
85,2021-12-09,471.34,472.03,467.34,467.66,931019
86,2021-12-08,471.35,473.41,468.84,473.0,998575
87,2021-12-07,466.71,470.59,463.065,470.46,1093616
88,2021-12-06,460.19,460.19,451.61,456.53,1250822
89,2021-12-03,462.69,465.489,445.33,455.82,1488534
90,2021-12-02,448.04,462.5793,447.95,460.97,1369652
91,2021-12-01,461.05,462.52,448.72,449.06,1436808
92,2021-11-30,460.45,466.75,454.39,455.73,1865939
93,2021-11-29,459.7,467.1,457.91,464.93,1489163
94,2021-11-26,457.85,463.2531,453.09,454.53,833944
95,2021-11-24,455.89,464.5,455.165,463.53,905516
96,2021-11-23,454.38,459.0,451.5,458.34,1219344
97,2021-11-22,464.24,466.09,457.78,458.13,1190858
98,2021-11-19,467.41,469.0,459.16,461.31,1585358
99,2021-11-18,468.45,469.0,460.865,463.93,2835661
100,2021-11-17,467.0,468.94,451.32,465.5,1680247
101,2021-11-16,458.82,472.16,458.31,470.37,1538321
102,2021-11-15,453.5,464.065,449.89,459.28,2115824
103,2021-11-12,452.23,455.32,448.8,453.36,1798366
104,2021-11-11,456.79,457.32,451.02,451.52,741130
105,2021-11-10,459.65,461.135,450.2,454.21,1011008
106,2021-11-09,463.03,464.735,459.87,461.98,920834
107,2021-11-08,464.14,465.72,458.545,461.66,1027216
108,2021-11-05,467.1,467.99,458.55,460.29,1158352
109,2021-11-04,455.53,466.0,455.0,462.75,1438566
110,2021-11-03,458.25,460.97,452.49,455.05,1661951
111,2021-11-02,464.63,469.415,460.465,461.18,928384
112,2021-11-01,474.12,476.17,457.76,463.18,1214659
113,2021-10-29,467.99,475.66,466.14,474.16,1588507
114,2021-10-28,460.56,475.249,460.56,469.51,1830589
115,2021-10-27,465.28,470.21,462.35,462.6,1251812
116,2021-10-26,454.02,470.81,452.775,464.62,2318765
117,2021-10-25,450.14,450.83,443.71,447.37,1148477
118,2021-10-22,446.07,451.2,443.85,450.49,1349684
119,2021-10-21,440.54,446.05,436.83,445.44,961444
120,2021-10-20,452.05,453.0,435.89,440.56,1519419
121,2021-10-19,449.9,453.135,447.0,451.09,1042284
122,2021-10-18,444.01,448.36,442.04,447.86,836179
123,2021-10-15,445.75,446.48,442.64,443.92,953557
124,2021-10-14,435.44,445.99,433.89,441.78,1436708
125,2021-10-13,433.0,433.5,424.54,430.43,1271375
126,2021-10-12,431.44,434.88,426.15,430.67,1423457
127,2021-10-11,427.79,434.47,426.18,428.49,653882
128,2021-10-08,431.8,432.26,426.18,429.72,590986
129,2021-10-07,432.4,436.705,431.61,432.8,752223
130,2021-10-06,421.11,428.31,418.8,427.76,854198
131,2021-10-05,419.67,428.2,417.215,425.13,1194277
132,2021-10-04,426.43,428.405,414.935,415.85,1160000
133,2021-10-01,426.03,429.74,421.0,428.36,1262303
134,2021-09-30,429.34,432.81,424.58,424.89,1248875
135,2021-09-29,429.0,431.05,424.33,426.62,1145355
136,2021-09-28,438.66,442.01,420.03,426.11,1940242
137,2021-09-27,451.41,451.59,441.53,445.33,780936
138,2021-09-24,449.9,453.14,449.14,453.08,552731
139,2021-09-23,448.32,455.4,448.07,451.67,1092356
140,2021-09-22,448.98,448.98,441.45,445.64,1103765
141,2021-09-21,447.14,448.0,443.66,445.2,743919
142,2021-09-20,440.61,445.56,439.3,444.87,1088208
143,2021-09-17,452.15,453.81,445.04,446.42,1482723
144,2021-09-16,451.84,455.055,451.34,454.05,1119971
145,2021-09-15,453.99,454.18,448.56,452.15,891949
146,2021-09-14,449.68,455.15,449.3,451.59,801696
147,2021-09-13,453.83,456.59,443.83,449.42,1365628
148,2021-09-10,452.21,455.03,449.3,450.24,972083
149,2021-09-09,454.02,456.63,450.09,451.39,1078992
150,2021-09-08,447.52,451.9,445.58,450.61,1010793
151,2021-09-07,451.77,452.3,443.04,446.72,964215
152,2021-09-03,449.48,454.16,447.67,452.08,997356
