,timestamp,open,high,low,close,volume
0,2022-04-12,53.5,54.17,52.4,52.69,5413100
1,2022-04-11,53.41,54.69,53.11,53.64,4734757
2,2022-04-08,53.83,54.5,53.41,53.87,4688524
3,2022-04-07,54.88,55.07,53.175,53.88,5393636
4,2022-04-06,54.85,55.28,54.45,54.74,5755493
5,2022-04-05,55.05,55.995,54.82,55.36,5842100
6,2022-04-04,54.9,55.625,54.05,55.27,5407482
7,2022-04-01,57.0,57.5,55.04,55.33,6637357
8,2022-03-31,58.47,59.07,56.7,56.7,7428957
9,2022-03-30,60.56,60.65,58.37,58.74,4995613
10,2022-03-29,60.7,61.1,60.06,60.56,7414307
11,2022-03-28,59.23,59.585,58.07,59.56,8356550
12,2022-03-25,58.93,60.195,58.63,60.11,7356432
13,2022-03-24,58.47,58.8,57.885,58.79,5929081
14,2022-03-23,59.2,59.5,57.975,58.18,4964507
15,2022-03-22,59.55,60.28,59.1417,59.71,5090251
16,2022-03-21,59.1,59.61,58.005,58.62,5998067
17,2022-03-18,58.83,58.86,57.0099,58.56,15369847
18,2022-03-17,58.78,58.85,57.58,58.84,9084466
19,2022-03-16,58.85,59.97,58.68,59.71,9414836
20,2022-03-15,58.37,58.86,57.205,58.02,6405523
21,2022-03-14,58.05,58.955,57.5,57.89,5249882
22,2022-03-11,58.16,58.81,57.09,57.14,5046525
23,2022-03-10,57.71,58.31,56.95,57.65,4919776
24,2022-03-09,58.9,59.62,58.12,58.52,6243236
25,2022-03-08,57.4,58.7,56.26,56.85,6575829
26,2022-03-07,58.54,58.85,56.19,56.23,8460022
27,2022-03-04,58.85,59.22,58.34,58.96,8031302
28,2022-03-03,60.99,61.27,59.72,60.55,4755569
29,2022-03-02,59.06,61.24,58.85,60.69,6482952
30,2022-03-01,61.28,61.5,57.47,58.15,8964062
31,2022-02-28,60.49,62.53,59.95,62.22,8099473
32,2022-02-25,60.18,63.075,60.02,62.97,8405082
33,2022-02-24,58.55,59.44,57.165,59.21,10624409
34,2022-02-23,62.26,62.78,60.395,60.6,5640342
35,2022-02-22,62.88,62.89,61.56,62.18,4901782
36,2022-02-18,62.52,63.23,62.08,62.32,4008515
37,2022-02-17,63.86,64.17,62.42,62.55,4675138
38,2022-02-16,64.06,65.36,64.06,64.71,3877449
39,2022-02-15,63.66,64.87,63.57,64.8,5054254
40,2022-02-14,63.86,64.31,62.24,63.0,6146879
41,2022-02-11,64.15,65.2,63.1175,63.58,6068627
42,2022-02-10,64.89,65.84,64.305,64.62,5761444
43,2022-02-09,65.69,66.05,65.33,65.5,3711109
44,2022-02-08,65.34,66.1,65.07,65.85,6527258
45,2022-02-07,64.38,64.73,63.55,64.21,4799250
46,2022-02-04,63.39,64.465,63.34,63.98,9017066
47,2022-02-03,65.0,65.0,63.14,63.31,5370130
48,2022-02-02,63.67,64.65,63.38,64.57,5164334
49,2022-02-01,62.76,64.16,62.3,64.02,5492832
50,2022-01-31,61.91,63.26,61.04,62.82,6712731
51,2022-01-28,61.73,62.64,60.8999,62.58,5973043
52,2022-01-27,63.81,64.56,61.5217,61.91,9684275
53,2022-01-26,63.69,64.18,61.88,62.87,8914367
54,2022-01-25,61.84,63.61,60.61,63.03,8014806
55,2022-01-24,61.05,62.4,59.38,62.3,10083493
56,2022-01-21,63.0,63.08,61.135,61.47,6635985
57,2022-01-20,64.28,64.95,63.03,63.12,5876182
58,2022-01-19,67.69,67.83,64.48,64.58,7109389
59,2022-01-18,67.25,68.95,66.77,67.17,8438214
