,timestamp,open,high,low,close,volume
0,2022-04-12,42.57,43.32,41.79,42.73,9933290
1,2022-04-11,41.22,43.46,41.21,42.42,10624311
2,2022-04-08,42.27,42.7709,41.6,41.96,9124070
3,2022-04-07,42.83,42.86,41.08,42.4,11385899
4,2022-04-06,43.255,43.7,41.46,43.07,15403050
5,2022-04-05,45.69,46.0394,44.08,44.71,11990509
6,2022-04-04,45.43,46.005,44.33,45.53,8878189
7,2022-04-01,46.51,46.8,45.57,45.78,9768895
8,2022-03-31,46.13,46.86,45.62,46.36,11832055
9,2022-03-30,45.185,46.12,44.94,45.86,9884309
10,2022-03-29,45.37,46.28,44.84,45.67,15886545
11,2022-03-28,43.65,43.91,42.585,43.86,12507848
12,2022-03-25,42.68,43.95,42.62,43.18,12678256
13,2022-03-24,41.76,42.86,41.03,42.78,11308448
14,2022-03-23,41.76,42.11,41.34,41.53,9409864
15,2022-03-22,41.25,42.72,41.17,42.2,13152923
16,2022-03-21,41.615,41.71,40.46,40.85,14576027
17,2022-03-18,40.97,42.39,40.601,42.35,15630165
18,2022-03-17,39.87,41.42,39.45,41.42,17002053
19,2022-03-16,39.07,41.23,38.97,41.19,22511180
20,2022-03-15,37.26,38.78,37.0,38.24,23183168
21,2022-03-14,34.87,36.43,34.25,35.02,16023155
22,2022-03-11,35.94,36.14,34.67,34.87,15575920
23,2022-03-10,33.695,35.76,33.05,35.2,18456402
24,2022-03-09,34.435,36.46,34.28,34.9,34309039
25,2022-03-08,31.8,34.24,30.54,32.235,34172808
26,2022-03-07,36.14,36.5,30.865,31.2,45172415
27,2022-03-04,39.26,39.48,36.16,36.71,36684001
28,2022-03-03,42.92,43.29,40.105,40.37,15663882
29,2022-03-02,42.65,43.35,42.33,42.42,12915781
30,2022-03-01,43.638,43.88,41.01,41.85,18149042
31,2022-02-28,44.11,44.795,43.24,44.4,14839858
32,2022-02-25,45.01,46.49,44.57,45.85,15838156
33,2022-02-24,40.75,44.2211,40.43,44.06,19073472
34,2022-02-23,46.845,47.0459,43.78,43.85,12835912
35,2022-02-22,46.6,47.54,45.94,46.32,10999518
36,2022-02-18,48.215,48.91,47.23,47.43,10238296
37,2022-02-17,49.28,49.7232,47.94,48.36,9932345
38,2022-02-16,50.07,50.935,49.62,50.21,10118922
39,2022-02-15,48.6,50.51,48.47,50.48,17789060
40,2022-02-14,47.48,48.73,46.6,46.93,10641740
41,2022-02-11,49.2975,50.25,46.59,46.97,15711571
42,2022-02-10,48.23,50.16,47.98,49.24,16295801
43,2022-02-09,47.27,49.29,47.195,48.93,15867938
44,2022-02-08,44.99,46.91,44.57,46.83,12211668
45,2022-02-07,43.37,44.99,43.21,44.44,10462880
46,2022-02-04,42.74,43.1278,41.98,42.82,8956941
47,2022-02-03,43.5855,44.48,43.04,43.08,8016485
48,2022-02-02,43.95,45.35,43.2,44.12,12135270
49,2022-02-01,43.01,44.225,42.72,43.96,9614301
50,2022-01-31,40.52,42.91,40.2,42.88,11871003
51,2022-01-28,40.65,40.93,38.79,40.91,14042664
52,2022-01-27,41.85,42.78,40.71,40.93,12936444
53,2022-01-26,42.4606,43.06,41.02,41.43,13585746
54,2022-01-25,40.8,42.11,40.56,41.78,11304636
55,2022-01-24,40.15,41.49,38.84,41.39,20968679
56,2022-01-21,42.67,43.02,41.27,41.65,16065163
57,2022-01-20,44.345,44.84,42.805,42.88,15589624
58,2022-01-19,45.52,45.695,44.345,44.4,9869631
59,2022-01-18,45.915,46.9799,45.4473,45.61,11097430
60,2022-01-14,47.24,47.54,46.09,46.74,11204767
61,2022-01-13,47.21,49.265,46.78,48.17,14671228
62,2022-01-12,46.95,47.51,46.275,46.54,8995734
63,2022-01-11,46.41,47.55,46.15,46.9,7998528
64,2022-01-10,47.525,47.77,46.18,46.58,9204548
65,2022-01-07,46.31,47.77,45.99,47.31,11643916
66,2022-01-06,46.46,46.9,45.21,45.77,8225848
67,2022-01-05,46.7,47.1,45.54,45.78,10987887
68,2022-01-04,46.55,47.02,45.9,46.25,11254866
69,2022-01-03,44.6657,46.4,44.61,45.49,13889940
70,2021-12-31,44.135,44.71,43.715,43.78,7340008
71,2021-12-30,44.29,45.2,44.07,44.13,9854573
72,2021-12-29,44.82,45.17,44.33,44.43,8341042
73,2021-12-28,44.32,45.8,44.05,45.27,9256245
74,2021-12-27,43.56,44.78,43.08,44.58,11239297
75,2021-12-23,45.22,45.48,44.34,44.87,10322991
76,2021-12-22,43.95,45.205,43.51,44.57,13013124
77,2021-12-21,41.62,44.23,41.5805,43.93,19615766
78,2021-12-20,39.46,41.705,39.11,41.1,14567180
79,2021-12-17,40.33,41.62,39.48,40.78,15031335
80,2021-12-16,42.33,42.65,39.88,40.05,12724177
81,2021-12-15,41.1,41.64,39.74,41.5,14853342
82,2021-12-14,41.16,42.5941,41.16,41.38,12280254
83,2021-12-13,42.84,42.99,41.05,41.74,16089480
84,2021-12-10,44.16,44.29,43.1201,44.05,11038396
85,2021-12-09,44.8,45.25,43.98,44.44,12453111
86,2021-12-08,43.737,46.6,43.59,45.25,22497259
87,2021-12-07,44.975,45.46,42.98,43.41,17780996
88,2021-12-06,41.605,45.41,41.531,43.99,27543837
89,2021-12-03,41.22,41.59,39.7,40.61,17327272
90,2021-12-02,39.7718,42.04,38.9,41.64,24005568
91,2021-12-01,43.03,43.57,38.88,39.06,27539017
92,2021-11-30,41.4535,42.34,40.67,42.26,14919014
93,2021-11-29,43.18,44.11,41.68,42.54,18487111
94,2021-11-26,43.665,43.71,40.11,42.26,36386880
95,2021-11-24,46.2,47.1279,45.8,46.73,5595585
96,2021-11-23,46.745,47.584,46.46,46.7,7006859
97,2021-11-22,46.68,47.33,45.8,46.48,10953997
98,2021-11-19,46.5377,46.5377,45.2201,46.11,17013976
99,2021-11-18,48.68,48.85,46.91,47.43,9883648
100,2021-11-17,48.68,49.5,48.255,48.74,8291600
101,2021-11-16,50.2,50.36,48.9201,49.2,9333059
102,2021-11-15,50.2,50.83,50.07,50.48,6506751
103,2021-11-12,51.35,51.405,49.28,49.83,10208607
104,2021-11-11,51.57,52.15,51.31,51.34,5878841
105,2021-11-10,51.9281,52.81,51.53,51.77,7155824
106,2021-11-09,52.91,53.1,51.66,52.81,7568309
107,2021-11-08,53.87,54.52,52.81,53.11,14923105
108,2021-11-05,52.39,52.87,50.88,52.71,21551754
109,2021-11-04,49.295,49.47,48.38,49.14,8659241
110,2021-11-03,47.78,49.23,47.1888,49.05,11270831
111,2021-11-02,47.915,48.08,47.19,47.98,8610524
112,2021-11-01,46.18,48.15,45.82,48.05,12931612
113,2021-10-29,45.855,46.45,45.48,46.14,9674916
114,2021-10-28,45.995,46.26,45.44,46.01,7376817
115,2021-10-27,47.12,47.43,45.7877,45.82,7896598
116,2021-10-26,47.1,47.63,46.5367,46.79,9345532
117,2021-10-25,46.54,47.1799,46.2399,46.65,7494238
118,2021-10-22,46.12,47.375,46.12,46.73,8565757
119,2021-10-21,46.18,47.18,45.9801,46.72,13252595
120,2021-10-20,46.9,46.9,45.58,45.95,19751205
121,2021-10-19,47.2,47.25,46.075,46.22,14646375
122,2021-10-18,47.7,48.13,47.15,47.17,9126832
123,2021-10-15,48.63,49.2899,47.935,48.0,8527987
124,2021-10-14,48.33,48.6532,47.83,47.91,7434975
125,2021-10-13,49.3693,49.41,47.46,47.88,13271546
126,2021-10-12,49.085,50.14,48.67,49.67,7402318
127,2021-10-11,48.75,49.98,48.23,49.18,8145107
128,2021-10-08,49.5,49.65,48.65,49.16,7349319
129,2021-10-07,50.87,50.9,49.21,49.52,10812061
130,2021-10-06,49.85,50.28,49.06,50.22,9995859
131,2021-10-05,51.36,51.86,50.37,50.88,9828086
132,2021-10-04,51.76,52.43,50.98,51.3,13986660
133,2021-10-01,48.9,51.48,48.88,51.34,21464897
134,2021-09-30,48.38,48.4,47.18,47.57,12016541
135,2021-09-29,48.8808,49.41,47.78,48.71,9791562
136,2021-09-28,49.02,49.67,48.345,48.68,9820648
137,2021-09-27,49.51,50.56,48.98,49.08,14094302
138,2021-09-24,47.38,48.95,47.38,48.79,12236356
139,2021-09-23,46.18,47.83,46.1,47.47,13703508
140,2021-09-22,44.85,46.29,44.83,45.68,13782969
141,2021-09-21,45.5,46.26,44.28,44.45,12217719
142,2021-09-20,44.76,45.335,43.59,45.27,14700328
143,2021-09-17,44.78,45.5,44.11,44.54,11743870
144,2021-09-16,43.86,45.41,43.85,44.47,12204301
145,2021-09-15,43.646,43.91,43.02,43.86,10321569
146,2021-09-14,44.63,44.93,43.58,43.87,10762752
147,2021-09-13,44.73,45.175,43.57,44.84,14173593
148,2021-09-10,46.82,46.82,44.18,44.34,17498633
149,2021-09-09,45.24,47.7357,45.07,46.58,12872337
150,2021-09-08,46.7,47.19,45.42,45.53,9053359
151,2021-09-07,46.02,46.78,45.68,46.57,7812349
152,2021-09-03,46.6,47.355,45.92,46.22,7710172
153,2021-09-02,46.28,47.49,45.87,46.76,9785416
154,2021-09-01,46.75,46.93,45.95,46.19,8607983
155,2021-08-31,45.73,46.825,45.61,46.51,8884233
156,2021-08-30,48.01,48.01,45.71,45.91,11376129
157,2021-08-27,47.17,48.22,47.03,47.71,6824272
158,2021-08-26,47.3,48.02,46.4,47.01,8604046
159,2021-08-25,47.3,47.935,46.54,47.59,9772287
160,2021-08-24,46.34,47.555,46.28,47.12,10047996
161,2021-08-23,44.6444,45.625,44.32,45.53,8269215
162,2021-08-20,43.79,44.32,43.48,44.03,9866975
163,2021-08-19,44.7683,44.9,43.17,43.93,12360708
164,2021-08-18,45.1158,45.99,44.71,45.04,9460719
165,2021-08-17,45.435,45.8,44.52,45.29,9745534
166,2021-08-16,45.616,46.55,45.16,46.3,8408444
167,2021-08-13,47.08,47.38,46.265,46.49,7515254
168,2021-08-12,47.91,48.01,46.55,47.24,9323627
169,2021-08-11,47.14,48.41,46.46,48.21,12779269
170,2021-08-10,46.37,48.24,46.17,47.68,12551748
171,2021-08-09,46.9906,47.0,45.53,46.45,13064799
172,2021-08-06,47.72,48.1299,46.58,47.62,9919257
173,2021-08-05,45.5165,47.665,45.38,47.24,12644615
174,2021-08-04,45.52,46.645,44.9,45.28,12205041
175,2021-08-03,46.12,46.57,44.6112,46.54,12596991
176,2021-08-02,46.85,48.23,45.95,46.07,10995896
177,2021-07-30,47.692,48.23,46.49,46.72,12123471
178,2021-07-29,49.58,49.6,48.46,48.49,7616663
179,2021-07-28,49.08,49.51,48.04,49.14,9772459
180,2021-07-27,49.105,49.57,48.085,48.65,10559900
181,2021-07-26,47.5,49.525,47.4,49.46,10775250
182,2021-07-23,48.1364,48.48,47.16,47.53,9491348
183,2021-07-22,47.69,48.6984,46.8,47.95,12922278
184,2021-07-21,47.117,48.9391,46.99,48.1,23048276
185,2021-07-20,43.55,46.46,43.07,46.32,21894036
186,2021-07-19,43.7035,44.65,42.56,43.46,26444011
187,2021-07-16,48.45,48.4799,45.83,46.01,13760722
188,2021-07-15,47.9,48.63,46.96,47.71,12331828
189,2021-07-14,49.0357,49.96,47.8715,48.16,14949343
190,2021-07-13,49.76,50.04,48.38,48.5,14287157
191,2021-07-12,50.3273,51.02,49.44,50.62,11567189
192,2021-07-09,50.33,51.324,49.9746,51.1,9914705
193,2021-07-08,49.0815,50.52,48.57,49.66,13207761
194,2021-07-07,51.04,51.87,49.78,50.3,12719050
195,2021-07-06,52.68,53.21,51.02,51.44,10652336
196,2021-07-02,53.17,53.17,52.09,52.77,9219856
197,2021-07-01,52.79,53.76,52.69,53.08,8577588
198,2021-06-30,52.265,52.96,51.87,52.29,9244478
199,2021-06-29,52.66,53.08,52.03,52.15,12598306
200,2021-06-28,53.5,53.51,51.67,52.49,19098758
201,2021-06-25,54.52,54.57,53.72,53.88,12256367
202,2021-06-24,55.11,55.39,53.96,54.34,11548556
203,2021-06-23,55.1303,55.49,54.9,55.12,9957545
204,2021-06-22,55.49,55.57,54.1,55.17,9819669
205,2021-06-21,55.24,55.88,54.55,55.69,10891566
206,2021-06-18,53.87,55.38,53.54,54.92,12490745
207,2021-06-17,55.77,56.41,53.48,54.24,12509916
208,2021-06-16,55.18,56.1,54.98,55.6,9863448
209,2021-06-15,55.74,56.02,54.92,55.29,7541966
210,2021-06-14,56.625,57.0,55.54,55.74,8248534
211,2021-06-11,56.16,56.83,56.095,56.52,9780472
212,2021-06-10,57.596,58.07,55.925,56.26,11663964
213,2021-06-09,57.9888,58.01,57.17,57.23,8151464
214,2021-06-08,57.9,58.12,56.83,57.73,10777956
215,2021-06-07,57.3442,57.97,57.02,57.3,8914964
216,2021-06-04,58.3,58.4,56.72,56.93,13622768
217,2021-06-03,59.6,59.602,57.68,57.73,13746467
218,2021-06-02,60.15,60.585,59.61,60.29,12089180
219,2021-06-01,59.12,60.41,58.96,59.67,14321083
220,2021-05-28,58.95,59.1965,57.955,58.35,14357297
221,2021-05-27,58.59,59.23,57.87,59.13,12307490
222,2021-05-26,57.75,58.43,57.23,58.01,11697308
223,2021-05-25,57.65,59.29,56.781,56.98,23605740
224,2021-05-24,56.0,56.34,54.92,56.14,9470671
225,2021-05-21,55.45,55.97,55.12,55.3,10527393
226,2021-05-20,56.0,56.0,54.213,55.09,11702491
227,2021-05-19,55.08,56.27,54.48,55.79,15121626
228,2021-05-18,57.08,57.75,55.95,56.38,13706168
229,2021-05-17,55.01,56.73,54.26,56.57,17529926
230,2021-05-14,53.4,55.51,53.29,55.28,14499188
231,2021-05-13,51.42,52.73,51.07,52.43,13373744
232,2021-05-12,52.12,53.081,50.9,51.01,12728687
233,2021-05-11,52.04,53.17,51.2,52.7,15065935
234,2021-05-10,54.948,55.61,54.0,54.03,10852915
235,2021-05-07,52.93,54.9601,52.69,54.73,11819918
236,2021-05-06,53.43,53.7701,52.1,53.05,10524357
237,2021-05-05,52.75,53.96,52.44,53.27,11151324
238,2021-05-04,54.088,54.47,51.73,52.8,13673150
239,2021-05-03,54.668,54.87,53.61,54.46,9912920
240,2021-04-30,53.22,54.91,53.13,54.4,11143955
241,2021-04-29,54.1,54.3228,53.1198,53.69,9804825
242,2021-04-28,53.25,54.04,52.97,53.55,11535979
243,2021-04-27,53.7833,54.12,53.19,53.48,10331466
244,2021-04-26,54.05,54.47,53.22,53.78,12358766
245,2021-04-23,51.21,53.35,50.64,53.11,13862419
246,2021-04-22,52.34,53.09,50.875,51.03,20538150
247,2021-04-21,49.88,51.89,48.9,51.86,21085585
248,2021-04-20,53.47,53.7899,49.47,50.3,44364750
249,2021-04-19,55.79,55.965,54.7376,54.99,13984371
250,2021-04-16,56.47,57.15,55.71,55.87,10620386
251,2021-04-15,57.79,57.8514,55.57,56.12,12123396
252,2021-04-14,57.46,58.52,56.54,56.92,12971146
253,2021-04-13,54.406,56.86,53.9,56.66,15349381
254,2021-04-12,57.57,57.71,55.29,56.16,18714698
255,2021-04-09,59.02,59.3601,57.785,58.43,10896080
256,2021-04-08,59.14,59.47,57.75,59.43,13655758
257,2021-04-07,59.79,61.3399,59.19,59.57,13772591
258,2021-04-06,59.878,60.42,58.87,59.48,11917227
259,2021-04-05,59.34,60.89,58.94,59.29,17175712
260,2021-04-01,57.6619,58.545,57.28,57.82,10932226
261,2021-03-31,58.0,58.0115,57.06,57.54,11023782
262,2021-03-30,56.78,58.5,56.48,58.21,12708910
263,2021-03-29,56.8,57.31,55.41,56.2,12083040
264,2021-03-26,57.09,57.37,55.22,56.83,15432445
265,2021-03-25,52.905,56.29,52.0301,56.05,21500079
266,2021-03-24,55.66,56.96,53.78,53.83,18015776
267,2021-03-23,57.11,58.08,53.85,54.36,21698204
268,2021-03-22,59.75,60.2,58.21,58.33,12958276
269,2021-03-19,60.9,60.95,58.64,60.77,19643819
270,2021-03-18,62.17,63.6999,60.58,60.82,19129709
271,2021-03-17,59.11,62.56,58.86,62.45,18338038
272,2021-03-16,61.11,61.2,59.21,59.81,18306413
273,2021-03-15,58.25,61.69,57.9185,60.94,35374512
274,2021-03-12,54.0,56.44,53.61,56.29,19762477
275,2021-03-11,54.3,55.87,53.37,54.06,17140757
276,2021-03-10,53.4,54.37,52.85,53.92,13438932
277,2021-03-09,53.81,54.155,51.8,53.43,15292842
278,2021-03-08,51.35,54.3325,51.34,54.06,17588966
279,2021-03-05,52.6453,52.73,46.56,50.52,21503158
280,2021-03-04,54.64,54.85,49.95,52.05,19937491
281,2021-03-03,53.61,55.2,53.28,54.57,18438946
282,2021-03-02,53.66,54.05,52.75,53.21,12370989
