,timestamp,open,high,low,close,volume
0,2022-04-12,89.52,90.29,88.37,88.56,626560
1,2022-04-11,89.43,91.11,88.885,89.01,878007
2,2022-04-08,90.75,90.75,88.58,89.31,1169093
3,2022-04-07,90.07,91.1,89.1,90.61,1023496
4,2022-04-06,89.43,91.11,89.41,90.94,1173596
5,2022-04-05,93.16,93.625,89.35,90.11,1797828
6,2022-04-04,95.43,95.67,93.51,93.66,1201874
7,2022-04-01,97.11,97.32,94.31,95.44,968879
8,2022-03-31,98.35,99.18,95.98,96.17,1271761
9,2022-03-30,99.57,99.96,98.28,99.1,835296
10,2022-03-29,98.88,100.045,98.0,99.58,1355934
11,2022-03-28,96.88,98.5,96.86,98.27,1608447
12,2022-03-25,97.0,97.82,96.07,97.13,1344712
13,2022-03-24,96.05,97.0,95.63,96.95,905375
14,2022-03-23,95.21,96.59,94.791,95.7,924481
15,2022-03-22,96.54,98.08,95.36,95.69,1108197
16,2022-03-21,96.37,98.26,95.98,96.54,1412505
17,2022-03-18,94.22,96.4186,93.61,96.16,2761512
18,2022-03-17,92.65,94.25,92.56,94.22,1025032
19,2022-03-16,90.41,93.66,89.99,93.64,1260437
20,2022-03-15,90.0,90.12,88.73,89.64,747663
21,2022-03-14,89.97,90.225,88.49,89.06,1173590
22,2022-03-11,90.02,90.47,88.91,89.04,1317222
23,2022-03-10,91.05,91.58,87.0,89.0,1233318
24,2022-03-09,94.08,94.87,92.54,92.91,1569668
25,2022-03-08,91.06,94.55,89.951,92.94,1635512
26,2022-03-07,91.44,91.61,89.79,89.91,1858271
27,2022-03-04,91.2,91.97,89.43,91.56,1265733
28,2022-03-03,92.84,93.7299,91.5889,93.05,928798
29,2022-03-02,89.84,93.935,88.96,93.19,1787257
30,2022-03-01,92.5,92.5,86.85,88.79,1976069
31,2022-02-28,92.99,94.14,91.48,92.82,1528390
32,2022-02-25,93.29,94.67,92.91,94.38,1467458
33,2022-02-24,89.4,93.24,88.65,92.98,1301101
34,2022-02-23,95.52,95.52,91.19,91.43,1625285
35,2022-02-22,96.65,97.44,94.26,94.67,1705013
36,2022-02-18,95.34,97.74,95.34,96.86,1932473
37,2022-02-17,95.0,96.42,93.1,96.04,2425714
38,2022-02-16,89.16,95.88,88.51,95.51,2245152
39,2022-02-15,88.69,90.29,88.41,89.73,1154874
40,2022-02-14,87.92,88.32,86.51,87.48,1163956
41,2022-02-11,90.07,90.76,87.14,87.82,1270792
42,2022-02-10,91.44,92.36,89.3019,89.88,1068724
43,2022-02-09,91.21,93.19,91.21,92.66,804792
44,2022-02-08,89.29,90.63,88.8,90.33,633781
45,2022-02-07,88.07,89.57,86.98,88.53,1049306
46,2022-02-04,88.4,89.12,87.05,87.94,755003
47,2022-02-03,90.11,90.81,88.67,88.94,710062
48,2022-02-02,89.48,91.37,88.81,90.72,572691
49,2022-02-01,88.82,90.37,88.34,89.82,788370
50,2022-01-31,87.32,88.99,86.4655,88.9,836845
51,2022-01-28,86.65,87.94,84.54,87.88,894439
52,2022-01-27,90.44,91.325,86.585,87.31,757874
53,2022-01-26,89.86,91.825,88.26,89.34,1056100
54,2022-01-25,88.56,89.9,86.96,89.16,969716
55,2022-01-24,88.21,90.95,86.34,90.51,969984
56,2022-01-21,91.43,92.09,89.51,90.33,985987
57,2022-01-20,92.03,94.28,91.66,91.88,977509
58,2022-01-19,93.79,93.79,90.92,91.92,1304266
59,2022-01-18,95.41,95.75,92.56,93.13,713220
60,2022-01-14,92.46,95.78,92.1601,95.7,1016306
61,2022-01-13,92.22,93.92,91.75,93.49,1260644
62,2022-01-12,92.87,93.25,91.515,91.87,1153183
63,2022-01-11,94.41,94.41,92.0,92.4,1300885
64,2022-01-10,95.1,95.33,93.09,94.42,860274
65,2022-01-07,96.32,96.32,94.4,95.1,917803
66,2022-01-06,96.08,97.27,95.455,96.44,1057910
67,2022-01-05,98.04,99.17,96.42,96.55,1103067
68,2022-01-04,93.57,98.11,93.0,97.7,1337965
69,2022-01-03,92.66,93.79,92.22,92.29,755190
70,2021-12-31,91.76,92.61,91.36,92.11,359591
71,2021-12-30,92.12,92.76,91.64,91.81,337212
72,2021-12-29,91.14,92.21,90.85,91.94,395468
73,2021-12-28,90.84,91.53,90.8,91.21,314738
74,2021-12-27,89.9,91.06,89.37,91.02,430591
75,2021-12-23,90.2,90.92,89.85,89.85,520350
76,2021-12-22,89.23,89.77,89.01,89.73,366053
77,2021-12-21,87.7,89.39,87.52,89.23,754784
78,2021-12-20,87.74,87.74,85.105,86.81,734477
79,2021-12-17,89.15,89.96,87.19,88.96,1742648
80,2021-12-16,89.87,90.23,88.93,89.41,753435
81,2021-12-15,89.0,89.38,87.74,89.03,631368
82,2021-12-14,89.29,90.145,88.19,88.79,731270
83,2021-12-13,90.94,91.43,88.99,89.52,738914
84,2021-12-10,92.17,92.17,90.415,90.94,713188
85,2021-12-09,90.86,92.59,90.19,91.58,1005896
86,2021-12-08,91.7,92.32,90.99,91.35,557310
87,2021-12-07,90.63,92.075,90.4302,91.48,677009
88,2021-12-06,89.67,90.69,88.78,89.68,1217803
89,2021-12-03,90.94,91.0,87.84,88.45,984653
90,2021-12-02,87.77,90.88,87.61,90.49,757782
91,2021-12-01,90.83,91.23,87.08,87.08,859464
92,2021-11-30,91.54,91.83,88.4,88.77,1718058
93,2021-11-29,94.05,94.18,91.21,92.47,833860
94,2021-11-26,92.36,94.035,90.14,93.02,1134808
95,2021-11-24,95.44,96.68,95.28,96.18,819543
96,2021-11-23,96.01,96.4525,95.145,96.05,1581586
97,2021-11-22,96.04,97.12,95.46,95.92,1348188
98,2021-11-19,94.15,95.7299,93.84,95.36,897761
99,2021-11-18,95.37,95.446,93.82,94.57,769421
100,2021-11-17,95.58,95.58,94.3,95.16,472705
101,2021-11-16,95.9,96.84,95.5,95.71,887535
102,2021-11-15,97.37,97.37,95.57,95.91,611432
103,2021-11-12,97.36,97.39,96.26,97.11,489785
104,2021-11-11,96.51,97.45,96.39,97.06,929753
105,2021-11-10,96.39,97.71,96.05,96.36,958726
106,2021-11-09,96.94,97.3,95.65,96.52,667751
107,2021-11-08,96.05,97.66,95.99,97.12,1489971
108,2021-11-05,93.03,94.7499,92.94,94.21,992489
