,timestamp,open,high,low,close,volume
0,2022-04-12,47.7,48.415,47.43,47.5,2962131
1,2022-04-11,46.9,48.3,46.76,47.02,2406154
2,2022-04-08,47.49,48.15,47.12,47.2,2494736
3,2022-04-07,47.83,48.05,46.555,47.76,3649245
4,2022-04-06,47.23,48.0735,46.15,47.86,4679129
5,2022-04-05,48.8,49.15,47.98,48.12,5934711
6,2022-04-04,48.7,49.38,48.335,49.34,2813254
7,2022-04-01,50.13,50.51,47.62,48.39,3610735
8,2022-03-31,50.13,50.68,49.65,49.65,2923274
9,2022-03-30,51.8,52.12,50.29,50.62,2916692
10,2022-03-29,52.0,52.29,50.72,51.89,2852934
11,2022-03-28,50.51,50.71,49.72,50.7,2265436
12,2022-03-25,50.4,50.83,49.4,50.81,2718724
13,2022-03-24,48.8,50.56,48.72,50.5,2037931
14,2022-03-23,49.05,49.67,48.46,48.68,1707772
15,2022-03-22,49.05,49.9102,49.05,49.73,2032438
16,2022-03-21,49.46,49.64,48.34,48.95,1925897
17,2022-03-18,48.31,49.36,48.085,49.3,4058022
18,2022-03-17,47.67,48.89,47.31,48.86,2457485
19,2022-03-16,46.53,48.26,46.47,48.25,3488371
20,2022-03-15,44.71,46.03,44.6,45.94,2384512
21,2022-03-14,45.3,45.4,43.85,44.47,3271143
22,2022-03-11,47.285,47.3,45.14,45.3,2905286
23,2022-03-10,46.75,46.9283,45.8,46.59,2763461
24,2022-03-09,47.11,48.68,47.01,47.77,3411998
25,2022-03-08,46.89,48.72,45.72,45.77,5252351
26,2022-03-07,49.66,50.25,46.465,46.61,4744858
27,2022-03-04,51.18,51.65,49.93,50.27,3762761
28,2022-03-03,52.36,53.2,51.35,52.02,4486054
29,2022-03-02,50.26,52.21,50.01,51.84,3486688
30,2022-03-01,50.85,51.4,48.32,49.49,4279400
31,2022-02-28,52.05,52.38,50.08,50.94,4747131
32,2022-02-25,52.2,53.0,51.18,52.95,3111775
33,2022-02-24,49.77,51.9,49.2,51.83,4322280
34,2022-02-23,54.05,54.165,51.77,51.98,2887123
35,2022-02-22,54.78,55.21,52.57,53.42,3431541
36,2022-02-18,56.21,56.36,54.62,55.53,3471118
37,2022-02-17,55.82,57.56,55.6412,56.45,3791348
38,2022-02-16,55.0559,57.11,54.94,56.39,2651143
39,2022-02-15,53.18,55.935,53.108,55.87,3258131
40,2022-02-14,53.77,54.51,52.52,52.86,3543299
41,2022-02-11,53.95,55.53,53.48,53.73,4462109
42,2022-02-10,53.542,56.93,53.44,54.09,6240088
43,2022-02-09,52.91,54.53,52.82,54.48,3151155
44,2022-02-08,51.63,52.645,51.59,52.37,2763054
45,2022-02-07,51.96,52.35,51.34,51.85,3161708
46,2022-02-04,51.99,52.5,50.86,51.81,3369068
47,2022-02-03,52.56,53.59,52.24,52.29,5104508
48,2022-02-02,52.57,53.6,52.0,53.44,4210117
49,2022-02-01,51.38,52.78,50.545,52.57,4508601
50,2022-01-31,49.51,52.1,49.37,51.74,6532357
51,2022-01-28,49.09,52.04,48.62,49.9,19932937
52,2022-01-27,56.58,57.475,53.43,53.84,10209289
53,2022-01-26,56.53,56.54,54.15,54.58,4579321
54,2022-01-25,55.56,56.0652,53.98,55.09,5214986
55,2022-01-24,57.35,57.47,53.88,57.02,4866135
56,2022-01-21,59.34,59.78,57.52,57.81,5086463
57,2022-01-20,62.465,62.59,59.77,59.92,3823978
58,2022-01-19,64.81,66.1,61.87,61.94,3764243
59,2022-01-18,65.85,65.89,63.825,64.12,3047988
60,2022-01-14,66.11,67.43,65.96,66.64,2161006
61,2022-01-13,66.95,67.76,66.15,66.51,2624244
62,2022-01-12,66.55,67.45,65.61,66.54,2154681
63,2022-01-11,65.5,66.12,64.24,66.02,3608133
64,2022-01-10,65.36,65.955,63.6892,65.54,3078902
65,2022-01-07,64.66,66.23,64.52,65.83,3841450
66,2022-01-06,67.305,68.48,64.52,64.74,7513291
67,2022-01-05,67.61,69.36,67.06,67.06,5915882
68,2022-01-04,66.2,67.895,65.92,67.62,3753042
69,2022-01-03,65.75,66.37,65.0376,65.93,2950103
70,2021-12-31,65.33,66.1,65.17,65.21,1857030
71,2021-12-30,65.36,66.615,65.1901,65.37,2252065
72,2021-12-29,64.385,67.24,64.3,66.13,8998703
73,2021-12-28,62.21,62.935,61.865,62.84,2289506
74,2021-12-27,61.56,62.54,61.45,62.09,1856287
75,2021-12-23,60.0,61.84,59.93,61.2,3659041
76,2021-12-22,59.05,60.08,58.72,59.79,2919208
77,2021-12-21,58.0199,59.05,57.26,59.02,3180650
78,2021-12-20,55.9579,56.54,55.18,55.9,3768863
79,2021-12-17,56.58,57.5392,55.7,56.85,5105789
80,2021-12-16,56.83,58.17,56.37,56.71,2853713
81,2021-12-15,55.58,56.55,54.4,56.35,3310770
82,2021-12-14,55.255,56.59,55.051,55.63,3133839
83,2021-12-13,57.9,58.22,55.65,55.73,4081957
84,2021-12-10,56.955,57.96,56.825,57.87,2314891
85,2021-12-09,58.24,58.63,57.02,57.33,2432947
86,2021-12-08,59.16,59.43,58.1,59.0,2683290
87,2021-12-07,58.48,59.9,57.9,59.17,3775059
88,2021-12-06,57.81,58.36,55.9,57.06,3085299
