,timestamp,open,high,low,close,volume
0,2022-04-12,47.53,48.515,47.53,47.88,1386409
1,2022-04-11,47.43,48.55,47.17,47.6,1601156
2,2022-04-08,46.79,47.47,46.44,47.18,1849748
3,2022-04-07,46.39,46.59,45.56,46.3,1689096
4,2022-04-06,46.5,46.82,45.85,46.61,2049467
5,2022-04-05,46.83,47.58,46.67,46.76,2136567
6,2022-04-04,47.14,47.16,46.04,47.1,2447894
7,2022-04-01,47.6,47.78,46.34,47.19,1810954
8,2022-03-31,47.17,47.89,47.03,47.03,2114238
9,2022-03-30,47.86,48.2382,47.29,47.34,2146165
10,2022-03-29,47.94,48.4,47.635,47.99,1583532
11,2022-03-28,47.84,47.95,47.0,47.51,2321716
12,2022-03-25,47.22,48.07,47.14,47.96,1353972
13,2022-03-24,46.53,47.46,46.23,47.12,2827366
14,2022-03-23,46.99,47.22,46.09,46.12,2842398
15,2022-03-22,47.66,48.54,46.9,47.34,2558578
16,2022-03-21,47.51,47.85,46.52,46.91,3432529
17,2022-03-18,47.57,47.92,46.68,47.58,6210997
18,2022-03-17,47.0,47.82,46.59,47.82,3635199
19,2022-03-16,46.35,47.9,46.35,47.34,2848467
20,2022-03-15,46.01,46.43,45.21,46.04,3570572
21,2022-03-14,44.0,45.87,44.0,45.71,3582630
22,2022-03-11,43.05,43.66,42.84,43.3,2523176
23,2022-03-10,41.99,43.56,41.77,42.61,2257210
24,2022-03-09,42.02,42.795,41.6,42.49,2733930
25,2022-03-08,41.91,42.268,40.78,40.78,2907944
26,2022-03-07,43.75,43.825,41.25,41.51,3282627
27,2022-03-04,43.36,44.03,43.14,43.71,2757835
28,2022-03-03,44.47,44.74,43.86,44.33,2323825
29,2022-03-02,43.78,44.59,43.51,43.98,4289426
30,2022-03-01,45.0,45.125,43.13,43.39,3221048
31,2022-02-28,45.05,45.33,44.4,45.27,2928778
32,2022-02-25,44.76,46.5,44.76,46.24,1579220
33,2022-02-24,43.78,44.67,43.22,44.51,2918895
34,2022-02-23,46.69,46.94,44.72,45.02,3597301
35,2022-02-22,46.68,47.18,46.09,46.47,2000853
36,2022-02-18,46.6,47.29,46.41,46.65,1828307
37,2022-02-17,46.9,47.37,46.095,46.51,3413804
38,2022-02-16,47.28,47.91,46.94,47.16,1574696
39,2022-02-15,46.25,47.76,46.06,47.44,2782883
40,2022-02-14,46.51,46.68,45.495,45.79,2295799
41,2022-02-11,46.43,47.13,46.19,46.46,1915197
42,2022-02-10,47.1,47.9195,46.45,46.67,2197617
43,2022-02-09,47.46,48.0,47.31,47.4,1824165
44,2022-02-08,45.8,47.17,45.55,47.12,3037969
45,2022-02-07,45.75,45.97,45.05,45.29,3287374
46,2022-02-04,46.01,46.405,45.1,45.37,2495076
47,2022-02-03,45.36,46.66,44.87,46.13,2596608
48,2022-02-02,45.96,46.15,45.275,45.86,2915696
49,2022-02-01,46.23,46.91,45.95,46.32,2539754
50,2022-01-31,44.09,46.33,44.04,46.16,2844999
51,2022-01-28,43.73,44.52,43.16,44.42,2328043
52,2022-01-27,43.9,45.18,43.47,43.86,2539538
53,2022-01-26,44.36,45.1,43.01,43.39,1574144
54,2022-01-25,44.2,44.71,43.26,44.1,1930828
55,2022-01-24,43.06,45.11,42.28,44.99,3205457
56,2022-01-21,45.23,45.44,43.65,43.88,2430395
57,2022-01-20,45.21,46.4367,44.44,45.24,3377788
58,2022-01-19,46.0,46.65,45.655,46.27,2008958
59,2022-01-18,46.45,46.69,45.3,45.73,1632277
60,2022-01-14,46.81,47.09,46.34,46.91,2856176
61,2022-01-13,46.25,47.51,46.11,47.25,2533410
62,2022-01-12,46.16,46.44,45.62,46.0,2063867
63,2022-01-11,45.97,46.08,45.27,45.94,2349092
64,2022-01-10,47.13,47.66,45.15,45.58,1514492
65,2022-01-07,46.25,47.11,46.18,46.94,1701014
66,2022-01-06,46.8,47.355,45.965,46.13,2444501
67,2022-01-05,45.93,47.09,45.93,46.18,3022385
68,2022-01-04,44.53,46.51,44.53,45.77,1974635
69,2022-01-03,44.64,45.11,44.11,44.19,1441481
70,2021-12-31,44.04,44.43,44.04,44.36,1005813
71,2021-12-30,44.44,44.95,44.11,44.22,852062
72,2021-12-29,44.19,44.59,44.06,44.28,603405
