,timestamp,open,high,low,close,volume
0,2022-04-13,79.38,79.81,78.07,79.59,23727776
1,2022-04-12,78.7,79.85,78.265,78.42,31964711
2,2022-04-11,78.68,78.7,76.965,77.14,26230495
3,2022-04-08,77.61,79.75,77.61,79.53,26713051
4,2022-04-07,76.76,77.66,75.34,77.4,27048693
5,2022-04-06,76.78,77.47,75.975,76.4,32164186
6,2022-04-05,77.3,78.49,75.86,75.95,27208700
7,2022-04-04,77.56,77.81,76.34,77.16,23003669
8,2022-04-01,76.34,77.775,76.29,77.06,24806291
9,2022-03-31,76.76,78.21,76.43,76.44,32803294
10,2022-03-30,77.34,78.04,76.8571,77.49,24868234
11,2022-03-29,75.08,76.64,74.19,76.6,36636968
12,2022-03-28,77.13,77.16,76.305,76.8,34880188
13,2022-03-25,76.6,78.85,76.535,78.75,27763377
14,2022-03-24,77.16,77.82,76.545,77.06,26350284
15,2022-03-23,76.99,77.58,76.62,76.87,29331529
16,2022-03-22,75.81,76.23,74.71,75.57,30854479
17,2022-03-21,74.66,76.37,74.62,76.13,33864308
18,2022-03-18,73.82,74.38,73.3209,73.88,25821714
19,2022-03-17,72.76,74.135,72.3089,73.95,38478153
20,2022-03-16,72.09,72.72,70.74,71.49,53768064
21,2022-03-15,71.66,72.65,70.44,71.82,62362196
22,2022-03-14,75.21,75.74,73.55,74.55,50745013
23,2022-03-11,76.23,77.81,76.11,76.85,45918864
24,2022-03-10,76.06,77.665,75.52,77.47,68901344
25,2022-03-09,74.7,76.94,73.5,75.17,87018243
26,2022-03-08,78.08,80.22,75.33,77.54,98027181
27,2022-03-07,76.01,77.56,74.635,76.34,65607361
28,2022-03-04,73.11,75.27,72.92,75.23,52625893
29,2022-03-03,72.21,73.619,72.06,73.12,44559875
30,2022-03-02,72.38,73.5002,72.03,72.92,45454101
31,2022-03-01,71.21,72.49,70.29,71.29,62115463
32,2022-02-28,68.39,70.66,68.01,70.58,48197133
33,2022-02-25,67.26,68.95,67.26,68.88,39211463
34,2022-02-24,69.08,69.16,65.361,67.11,61742931
35,2022-02-23,67.34,68.16,66.95,67.64,33978980
36,2022-02-22,70.11,70.11,65.94,66.95,45751032
37,2022-02-18,67.5,68.59,67.39,68.05,31645770
38,2022-02-17,68.52,69.185,67.9403,68.47,33811427
39,2022-02-16,68.57,69.77,68.16,68.58,36722109
40,2022-02-15,67.06,68.19,66.68,68.03,43072396
41,2022-02-14,69.98,70.0599,67.93,68.75,49816495
42,2022-02-11,68.88,70.5,68.45,70.41,46517005
43,2022-02-10,68.51,69.74,67.97,68.42,37821621
44,2022-02-09,68.44,69.38,68.27,68.85,35395715
45,2022-02-08,69.57,69.71,67.8,68.28,37882124
46,2022-02-07,68.57,70.43,68.05,69.78,32582458
47,2022-02-04,68.7,70.0,68.54,68.9,40866724
48,2022-02-03,68.21,68.35,67.1001,67.84,30981274
49,2022-02-02,67.92,68.62,67.08,68.49,32598533
50,2022-02-01,65.53,68.43,65.38,68.27,45222321
51,2022-01-31,65.48,66.34,64.44,65.92,31649182
52,2022-01-28,65.47,66.27,64.26,65.63,52651198
53,2022-01-27,66.35,67.06,64.82,65.91,54450687
54,2022-01-26,66.0,66.53,64.49,65.2,65362736
55,2022-01-25,62.63,65.55,61.47,65.31,59217211
56,2022-01-24,60.97,63.09,59.84,62.87,62294641
57,2022-01-21,62.99,63.39,61.785,62.45,57269777
58,2022-01-20,63.88,65.42,63.58,63.71,41990402
59,2022-01-19,65.27,65.34,63.79,64.3,32627133
60,2022-01-18,65.2,65.53,63.78,64.77,40830082
61,2022-01-14,63.09,64.615,63.05,64.51,32400471
62,2022-01-13,63.35,63.86,62.77,63.03,29776988
63,2022-01-12,63.57,63.735,62.89,63.35,30248350
64,2022-01-11,61.68,63.34,61.1601,63.23,38273895
65,2022-01-10,61.48,61.6,60.3506,61.15,33236482
66,2022-01-07,60.74,61.5,60.32,61.34,35584587
67,2022-01-06,60.58,60.845,59.66,60.51,37340673
68,2022-01-05,59.78,60.44,59.1,59.19,45402016
69,2022-01-04,58.0,59.43,57.81,59.2,39978797
70,2022-01-03,55.58,57.31,55.55,57.22,32527141
71,2021-12-31,55.22,55.785,55.13,55.5,13214428
72,2021-12-30,55.72,56.16,55.31,55.36,13589987
73,2021-12-29,55.97,56.24,55.43,55.7,15109066
